actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
18,PT10M08.00S,2021-11-27T03:13:24.5Z,1,REGULAR,turnover,lost ball,[],203994,,,1610612757,8,5,2021-11-27T03:13:29Z,180000,,,0,,J. Nurkic lost ball TURNOVER (1 TO),"[203994, 203110]",1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,1.0,Green,203110.0,,,,,,,,,,,,,,
19,PT10M08.00S,2021-11-27T03:13:24.5Z,1,REGULAR,steal,,[],203110,,,1610612744,8,5,2021-11-27T03:13:27Z,190000,,,0,,D. Green STEAL (1 STL),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,
20,PT09M58.00S,2021-11-27T03:13:35.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629673,73.27529566360053,59.55882352941176,1610612744,10,5,2021-11-27T03:13:39Z,200000,48.0,199.0,1,right,J. Poole 20' pullup Jump Shot (2 PTS),[1629673],1610612744.0,GSW,pullup,,,Poole,J. Poole,,,,,20.44,Made,2.0,,,,,,,,,,,,,,,,,,
21,PT09M44.00S,2021-11-27T03:13:48.2Z,1,REGULAR,3pt,Jump Shot,[],203496,21.23850197109067,8.823529411764707,1610612757,10,5,2021-11-27T03:13:51Z,210000,206.0,147.0,1,left,MISS R. Covington 25' 3PT,[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,25.3,Missed,,,,,,,,,,,,,,,,,,,
22,PT09M41.00S,2021-11-27T03:13:51.6Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,10,5,2021-11-27T03:13:51Z,220000,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,
23,PT09M31.00S,2021-11-27T03:14:00.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626172,92.72339027595268,58.333333333333336,1610612744,12,5,2021-11-27T03:14:04Z,230000,42.0,16.0,1,right,K. Looney cutting Layup (2 PTS) (D. Green 2 AST),"[1626172, 203110]",1610612744.0,GSW,cutting,,,Looney,K. Looney,,,,,4.46,Made,2.0,,,,,D. Green,203110.0,2.0,,,,,,,,,,,
25,PT09M19.00S,2021-11-27T03:14:12.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203994,7.966491458607096,51.71568627450981,1610612757,12,7,2021-11-27T03:14:14Z,250000,-9.0,22.0,1,left,J. Nurkic DUNK (4 PTS) (D. Lillard 2 AST),"[203994, 203081]",1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,2.4,Made,4.0,,,,,D. Lillard,203081.0,2.0,,,,,,,,,,,
65,PT09M03.00S,2021-11-27T03:14:20.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629673,90.3580814717477,50.98039215686274,1610612744,12,7,2021-11-27T03:22:20Z,265000,5.0,38.0,1,right,MISS J. Poole driving Layup - blocked,"[1629673, 203468]",1610612744.0,GSW,driving,,,Poole,J. Poole,,,,,3.84,Missed,,,,,,,,,,,,,McCollum,203468.0,,,,,
66,PT09M03.00S,2021-11-27T03:14:20.8Z,1,REGULAR,block,,[],203468,,,1610612744,12,7,2021-11-27T03:22:20Z,267500,,,0,,C. McCollum BLOCK (1 BLK),[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT09M03.00S,2021-11-27T03:14:20.8Z,1,REGULAR,rebound,defensive,[],203468,,,1610612757,12,7,2021-11-27T03:22:20Z,268750,,,0,,C. McCollum REBOUND (Off:0 Def:1),[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,65.0,1.0,1.0,0.0,,,,,,,
29,PT08M58.00S,2021-11-27T03:14:36.0Z,1,REGULAR,foul,personal,[],203952,,,1610612757,12,7,2021-11-27T03:14:51Z,290000,,,0,,A. Wiggins personal FOUL (1 PF),"[203952, 1626181]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,1201.0,,,,,,,,,,,,,1.0,0.0,Powell,1626181.0,
31,PT08M51.00S,2021-11-27T03:15:02.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203468,8.623521681997373,42.40196078431372,1610612757,12,7,2021-11-27T03:22:33Z,310000,38.0,29.0,1,left,MISS C. McCollum driving Layup,[203468],1610612757.0,POR,driving,,,McCollum,C. McCollum,,,,,4.76,Missed,,,,,,,,,,,,,,,,,,,
32,PT08M49.00S,2021-11-27T03:15:04.8Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,12,7,2021-11-27T03:20:02Z,320000,,,0,,K. Looney REBOUND (Off:0 Def:2),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,31.0,2.0,2.0,0.0,,,,,,,
33,PT08M43.00S,2021-11-27T03:15:16.9Z,1,REGULAR,foul,offensive,[],203110,,,1610612744,12,7,2021-11-27T03:15:21Z,330000,,,0,,D. Green offensive FOUL (1 PF),"[203110, 203081]",1610612744.0,GSW,,,,Green,D. Green,,,,,,,,1201.0,,,,,,,,,,,,,1.0,0.0,Lillard,203081.0,
