actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
82,PT05M19.00S,2021-11-27T03:23:32.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203994,7.440867279894875,43.627450980392155,1610612757,16,15,2021-11-27T03:23:48Z,780000,32.0,17.0,1,left,J. Nurkic driving reverse Layup (7 PTS) (N. Powell 2 AST),"[203994, 1626181]",1610612757.0,POR,driving reverse,,,Nurkic,J. Nurkic,,,,,3.63,Made,7.0,,,,,N. Powell,1626181.0,2.0,,,,,,,,,,,
84,PT04M56.00S,2021-11-27T03:23:54.7Z,1,REGULAR,2pt,Jump Shot,[],203490,88.78120893561103,77.20588235294117,1610612744,18,15,2021-11-27T03:23:58Z,800000,136.0,53.0,1,right,O. Porter Jr. 14' pullup Jump Shot (2 PTS) (D. Green 3 AST),"[203490, 203110]",1610612744.0,GSW,pullup,,,Porter Jr.,O. Porter Jr.,,,,,14.6,Made,2.0,,,,,D. Green,203110.0,3.0,,,,,,,,,,,
86,PT04M43.00S,2021-11-27T03:24:11.4Z,1,REGULAR,foul,personal,[],203952,,,1610612757,18,15,2021-11-27T03:24:15Z,820000,,,0,,A. Wiggins personal FOUL (2 PF),"[203952, 1629014]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,1201.0,,,,,,,,,,,,,2.0,0.0,Simons,1629014.0,
88,PT04M43.00S,2021-11-27T03:24:27.3Z,1,REGULAR,substitution,out,[],203952,,,1610612757,18,15,2021-11-27T03:24:31Z,840000,,,0,,SUB out: A. Wiggins,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M43.00S,2021-11-27T03:24:27.3Z,1,REGULAR,substitution,in,[],1629308,,,1610612757,18,15,2021-11-27T03:24:31Z,850000,,,0,,SUB in: J. Toscano-Anderson,[1629308],1610612744.0,GSW,,,,Toscano-Anderson,J. Toscano-Anderson,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M43.00S,2021-11-27T03:24:27.3Z,1,REGULAR,substitution,out,[],1626181,,,1610612757,18,15,2021-11-27T03:24:49Z,860000,,,0,,SUB out: N. Powell,[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M43.00S,2021-11-27T03:24:27.3Z,1,REGULAR,substitution,in,[],1629642,,,1610612757,18,15,2021-11-27T03:24:49Z,870000,,,0,,SUB in: N. Little,[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M38.00S,2021-11-27T03:25:01.7Z,1,REGULAR,2pt,Jump Shot,[],203081,7.5722733245729295,83.33333333333334,1610612757,18,15,2021-11-27T03:25:05Z,880000,-167.0,19.0,1,left,MISS D. Lillard 16' fadeaway Shot,[203081],1610612757.0,POR,fadeaway,,,Lillard,D. Lillard,,,,,16.77,Missed,,,,,,,,,,,,,,,,,,,
93,PT04M36.00S,2021-11-27T03:25:03.7Z,1,REGULAR,rebound,defensive,[],1629308,,,1610612744,18,15,2021-11-27T03:25:30Z,890000,,,0,,J. Toscano-Anderson REBOUND (Off:0 Def:1),[1629308],1610612744.0,GSW,,,,Toscano-Anderson,J. Toscano-Anderson,,,,,,,,,,,,,,,92.0,1.0,1.0,0.0,,,,,,,
94,PT04M30.00S,2021-11-27T03:25:12.9Z,1,REGULAR,foul,personal,['2freethrow'],203994,,,1610612744,18,15,2021-11-27T03:25:24Z,900000,,,0,,J. Nurkic shooting personal FOUL (1 PF) (Payton II 2 FT),"[203994, 1627780]",1610612757.0,POR,shooting,,,Nurkic,J. Nurkic,,,,,,,,1201.0,,,,,,,,,,,,,1.0,0.0,Payton II,1627780.0,
96,PT04M30.00S,2021-11-27T03:25:34.1Z,1,REGULAR,freethrow,1 of 2,[],1627780,,,1610612744,19,15,2021-11-27T03:25:34Z,920000,,,0,,G. Payton II Free Throw 1 of 2 (1 PTS),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
97,PT04M30.00S,2021-11-27T03:25:49.4Z,1,REGULAR,freethrow,2 of 2,[],1627780,,,1610612744,19,15,2021-11-27T03:25:49Z,930000,,,0,,MISS G. Payton II Free Throw 2 of 2,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,Missed,,,,,,,,,,,,,,,,,,,
98,PT04M28.00S,2021-11-27T03:25:51.0Z,1,REGULAR,rebound,defensive,[],1629014,,,1610612757,19,15,2021-11-27T03:25:51Z,940000,,,0,,A. Simons REBOUND (Off:0 Def:1),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,,97.0,1.0,1.0,0.0,,,,,,,
99,PT04M17.00S,2021-11-27T03:26:04.1Z,1,REGULAR,3pt,Jump Shot,[],1629014,32.933639947437584,16.911764705882355,1610612757,19,15,2021-11-27T03:27:02Z,950000,165.0,257.0,1,left,MISS A. Simons 30' pullup 3PT - blocked,"[1629014, 203110]",1610612757.0,POR,pullup,,,Simons,A. Simons,,,,,30.57,Missed,,,,,,,,,,,,,Green,203110.0,,,,,
109,PT04M17.00S,2021-11-27T03:26:04.1Z,1,REGULAR,block,,[],203110,,,1610612757,19,15,2021-11-27T03:28:28Z,955000,,,0,,D. Green BLOCK (1 BLK),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT04M16.00S,2021-11-27T03:26:05.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612757,19,15,2021-11-27T03:27:02Z,960000,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,
101,PT04M16.00S,2021-11-27T03:26:10.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612757,19,15,2021-11-27T03:26:10Z,970000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT04M16.00S,2021-11-27T03:26:27.6Z,1,REGULAR,stoppage,blood rule,[],0,,,1610612757,19,15,2021-11-27T03:26:27Z,980000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT04M12.00S,2021-11-27T03:27:25.8Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203081,6.652431011826544,17.892156862745097,1610612757,19,17,2021-11-27T03:27:29Z,990000,161.0,10.0,1,left,D. Lillard 16' Jump Shot (4 PTS),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,16.08,Made,4.0,,,,,,,,,,,,,,,,,,
104,PT03M57.00S,2021-11-27T03:27:40.9Z,1,REGULAR,3pt,Jump Shot,[],203490,71.96123521681997,81.37254901960785,1610612744,19,17,2021-11-27T03:27:44Z,1000000,157.0,211.0,1,right,MISS O. Porter Jr. 26' 3PT,[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,26.3,Missed,,,,,,,,,,,,,,,,,,,
105,PT03M55.00S,2021-11-27T03:27:42.9Z,1,REGULAR,rebound,defensive,[],1629642,,,1610612757,19,17,2021-11-27T03:31:22Z,1010000,,,0,,N. Little REBOUND (Off:0 Def:1),[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,,,,,,,,,104.0,1.0,1.0,0.0,,,,,,,
106,PT03M47.00S,2021-11-27T03:27:54.3Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629673,,,1610612757,19,17,2021-11-27T03:28:04Z,1020000,,,0,,J. Poole shooting personal FOUL (1 PF) (Lillard 2 FT),"[1629673, 203081]",1610612744.0,GSW,shooting,,,Poole,J. Poole,,,,,,,,1627534.0,,,,,,,,,,,,,1.0,0.0,Lillard,203081.0,
108,PT03M47.00S,2021-11-27T03:28:22.5Z,1,REGULAR,freethrow,1 of 2,[],203081,,,1610612757,19,18,2021-11-27T03:28:22Z,1040000,,,0,,D. Lillard Free Throw 1 of 2 (5 PTS),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,Made,5.0,,,,,,,,,,,,,,,,,,
110,PT03M47.00S,2021-11-27T03:28:28.4Z,1,REGULAR,substitution,out,[],203994,,,1610612757,19,18,2021-11-27T03:28:31Z,1050000,,,0,,SUB out: J. Nurkic,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT03M47.00S,2021-11-27T03:28:28.4Z,1,REGULAR,substitution,in,[],1626204,,,1610612757,19,18,2021-11-27T03:28:31Z,1060000,,,0,,SUB in: L. Nance Jr.,[1626204],1610612757.0,POR,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT03M47.00S,2021-11-27T03:28:45.2Z,1,REGULAR,freethrow,2 of 2,[],203081,,,1610612757,19,19,2021-11-27T03:28:45Z,1070000,,,0,,D. Lillard Free Throw 2 of 2 (6 PTS),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,Made,6.0,,,,,,,,,,,,,,,,,,
113,PT03M34.00S,2021-11-27T03:28:59.1Z,1,REGULAR,3pt,Jump Shot,[],1629673,68.80749014454665,74.50980392156863,1610612744,19,19,2021-11-27T03:29:02Z,1080000,123.0,241.0,1,right,MISS J. Poole 27' pullup 3PT,[1629673],1610612744.0,GSW,pullup,,,Poole,J. Poole,,,,,27.01,Missed,,,,,,,,,,,,,,,,,,,
114,PT03M32.00S,2021-11-27T03:29:01.1Z,1,REGULAR,rebound,defensive,[],1629642,,,1610612757,19,19,2021-11-27T03:31:06Z,1090000,,,0,,N. Little REBOUND (Off:0 Def:2),[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,,,,,,,,,113.0,2.0,2.0,0.0,,,,,,,
115,PT03M19.00S,2021-11-27T03:29:14.4Z,1,REGULAR,3pt,Jump Shot,[],1629014,12.302890932982917,96.07843137254902,1610612757,19,19,2021-11-27T03:29:16Z,1100000,-230.0,63.0,1,left,MISS A. Simons 3PT,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,23.89,Missed,,,,,,,,,,,,,,,,,,,
116,PT03M16.00S,2021-11-27T03:29:17.7Z,1,REGULAR,rebound,defensive,[],203490,,,1610612744,19,19,2021-11-27T03:29:17Z,1110000,,,0,,O. Porter Jr. REBOUND (Off:0 Def:1),[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,,,,,,,,,115.0,1.0,1.0,0.0,,,,,,,
117,PT03M11.00S,2021-11-27T03:29:26.4Z,1,REGULAR,turnover,out-of-bounds,[],203110,,,1610612744,19,19,2021-11-27T03:29:32Z,1120000,,,0,,D. Green bad pass out-of-bounds TURNOVER (4 TO),[203110],1610612744.0,GSW,bad pass,,,Green,D. Green,,,,,,,,2534.0,4.0,,,,,,,,,,,,,,,,
118,PT02M52.00S,2021-11-27T03:29:53.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203496,6.521024967148489,43.627450980392155,1610612757,19,21,2021-11-27T03:29:56Z,1130000,32.0,9.0,1,left,R. Covington driving Layup (5 PTS) (L. Nance Jr. 1 AST),"[203496, 1626204]",1610612757.0,POR,driving,,,Covington,R. Covington,,,,,3.31,Made,5.0,,,,,L. Nance Jr.,1626204.0,1.0,,,,,,,,,,,
119,PT02M44.00S,2021-11-27T03:30:01.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629673,84.57621550591328,51.470588235294116,1610612744,21,21,2021-11-27T03:30:04Z,1140000,7.0,92.0,1,right,J. Poole 9' driving floating Jump Shot (4 PTS),[1629673],1610612744.0,GSW,driving floating,,,Poole,J. Poole,,,,,9.28,Made,4.0,,,,,,,,,,,,,,,,,,
120,PT02M27.00S,2021-11-27T03:30:17.2Z,1,REGULAR,3pt,Jump Shot,[],203081,34.37910643889619,67.40196078431373,1610612757,21,21,2021-11-27T03:30:20Z,1150000,-87.0,271.0,1,left,MISS D. Lillard 28' pullup 3PT,[203081],1610612757.0,POR,pullup,,,Lillard,D. Lillard,,,,,28.43,Missed,,,,,,,,,,,,,,,,,,,
121,PT02M24.00S,2021-11-27T03:30:20.2Z,1,REGULAR,rebound,defensive,[],1629308,,,1610612744,21,21,2021-11-27T03:30:25Z,1160000,,,0,,J. Toscano-Anderson REBOUND (Off:0 Def:2),[1629308],1610612744.0,GSW,,,,Toscano-Anderson,J. Toscano-Anderson,,,,,,,,,,,,,,,120.0,2.0,2.0,0.0,,,,,,,
122,PT02M16.00S,2021-11-27T03:30:32.6Z,1,REGULAR,violation,kicked ball,[],1626204,,,1610612744,21,21,2021-11-27T03:30:35Z,1170000,,,0,,L. Nance Jr. kicked ball VIOLATION,[1626204],1610612757.0,POR,,,,Nance Jr.,L. Nance Jr.,,,,,,,,1627534.0,,,,,,,,,,,,,,,,,
123,PT02M16.00S,2021-11-27T03:30:41.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,21,21,2021-11-27T03:30:41Z,1180000,,,0,,POR Timeout,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT02M16.00S,2021-11-27T03:32:41.6Z,1,REGULAR,substitution,out,[],1629673,,,1610612744,21,21,2021-11-27T03:33:13Z,1190000,,,0,,SUB out: J. Poole,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT02M16.00S,2021-11-27T03:32:41.6Z,1,REGULAR,substitution,out,[],203110,,,1610612744,21,21,2021-11-27T03:33:13Z,1200000,,,0,,SUB out: D. Green,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT02M16.00S,2021-11-27T03:32:41.6Z,1,REGULAR,substitution,out,[],203081,,,1610612744,21,21,2021-11-27T03:33:13Z,1210000,,,0,,SUB out: D. Lillard,[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT02M16.00S,2021-11-27T03:32:41.6Z,1,REGULAR,substitution,out,[],203496,,,1610612744,21,21,2021-11-27T03:33:13Z,1220000,,,0,,SUB out: R. Covington,[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT02M16.00S,2021-11-27T03:32:41.6Z,1,REGULAR,substitution,in,[],202357,,,1610612744,21,21,2021-11-27T03:33:13Z,1230000,,,0,,SUB in: N. Bjelica,[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT02M16.00S,2021-11-27T03:32:41.6Z,1,REGULAR,substitution,in,[],201939,,,1610612744,21,21,2021-11-27T03:33:13Z,1240000,,,0,,SUB in: S. Curry,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT02M16.00S,2021-11-27T03:32:41.6Z,1,REGULAR,substitution,in,[],203468,,,1610612744,21,21,2021-11-27T03:33:13Z,1250000,,,0,,SUB in: C. McCollum,[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT02M16.00S,2021-11-27T03:32:41.6Z,1,REGULAR,substitution,in,[],203503,,,1610612744,21,21,2021-11-27T03:33:13Z,1260000,,,0,,SUB in: T. Snell,[203503],1610612757.0,POR,,,,Snell,T. Snell,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT02M08.00S,2021-11-27T03:33:37.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627780,92.9862023653088,44.6078431372549,1610612744,23,21,2021-11-27T03:33:41Z,1270000,-27.0,13.0,1,right,G. Payton II driving Layup (3 PTS),[1627780],1610612744.0,GSW,driving,,,Payton II,G. Payton II,,,,,3.01,Made,3.0,,,,,,,,,,,,,,,,,,
134,PT01M57.00S,2021-11-27T03:33:55.8Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627780,,,1610612757,23,21,2021-11-27T03:34:05Z,1280000,,,0,,G. Payton II personal FOUL (1 PF) (Nance Jr. 2 FT),"[1627780, 1626204]",1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,1201.0,,,,,,,,,,,,,1.0,0.0,Nance Jr.,1626204.0,
136,PT01M57.00S,2021-11-27T03:34:15.8Z,1,REGULAR,freethrow,1 of 2,[],1626204,,,1610612757,23,22,2021-11-27T03:34:15Z,1300000,,,0,,L. Nance Jr. Free Throw 1 of 2 (1 PTS),[1626204],1610612757.0,POR,,,,Nance Jr.,L. Nance Jr.,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
137,PT01M57.00S,2021-11-27T03:34:31.1Z,1,REGULAR,freethrow,2 of 2,[],1626204,,,1610612757,23,23,2021-11-27T03:34:31Z,1310000,,,0,,L. Nance Jr. Free Throw 2 of 2 (2 PTS),[1626204],1610612757.0,POR,,,,Nance Jr.,L. Nance Jr.,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
138,PT01M44.00S,2021-11-27T03:34:46.2Z,1,REGULAR,3pt,Jump Shot,[],203490,84.57621550591328,94.6078431372549,1610612744,23,23,2021-11-27T03:34:48Z,1320000,223.0,92.0,1,right,MISS O. Porter Jr. 24' 3PT,[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,24.14,Missed,,,,,,,,,,,,,,,,,,,
139,PT01M42.00S,2021-11-27T03:34:48.2Z,1,REGULAR,rebound,offensive,[],1629308,,,1610612744,23,23,2021-11-27T03:39:04Z,1330000,,,0,,J. Toscano-Anderson REBOUND (Off:1 Def:2),[1629308],1610612744.0,GSW,,,,Toscano-Anderson,J. Toscano-Anderson,,,,,,,,,,,,,,,138.0,3.0,2.0,1.0,,,,,,,
140,PT01M36.00S,2021-11-27T03:34:54.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201939,91.93495400788436,57.107843137254896,1610612744,23,23,2021-11-27T03:34:56Z,1340000,36.0,23.0,1,right,MISS S. Curry driving finger roll Layup,[201939],1610612744.0,GSW,driving finger roll,,,Curry,S. Curry,,,,,4.25,Missed,,,,,,,,,,,,,,,,,,,
141,PT01M33.00S,2021-11-27T03:34:57.3Z,1,REGULAR,rebound,defensive,[],1629014,,,1610612757,23,23,2021-11-27T03:34:57Z,1350000,,,0,,A. Simons REBOUND (Off:0 Def:2),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,,140.0,2.0,2.0,0.0,,,,,,,
142,PT01M31.00S,2021-11-27T03:34:59.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629642,26.363337713534822,87.00980392156863,1610612757,23,23,2021-11-27T03:37:36Z,1360000,-185.0,195.0,1,left,MISS N. Little 26' pullup 3PT,[1629642],1610612757.0,POR,pullup,,,Little,N. Little,,,,,26.9,Missed,,,,,,,,,,,,,,,,,,,
143,PT01M29.00S,2021-11-27T03:35:01.2Z,1,REGULAR,rebound,defensive,[],203490,,,1610612744,23,23,2021-11-27T03:38:56Z,1370000,,,0,,O. Porter Jr. REBOUND (Off:0 Def:2),[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,,,,,,,,,142.0,2.0,2.0,0.0,,,,,,,
144,PT01M19.00S,2021-11-27T03:35:17.1Z,1,REGULAR,foul,personal,[],203468,,,1610612744,23,23,2021-11-27T03:35:23Z,1380000,,,0,,C. McCollum personal FOUL (1 PF),"[203468, 201939]",1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,2534.0,,,,,,,,,,,,,1.0,0.0,Curry,201939.0,
146,PT01M07.00S,2021-11-27T03:35:43.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201939,90.3580814717477,44.36274509803921,1610612744,25,23,2021-11-27T03:35:46Z,1400000,-28.0,38.0,1,right,S. Curry driving finger roll Layup (5 PTS),[201939],1610612744.0,GSW,driving finger roll,,,Curry,S. Curry,,,,,4.74,Made,5.0,,,,,,,,,,,,,,,,,,
147,PT00M51.00S,2021-11-27T03:36:00.0Z,1,REGULAR,3pt,Jump Shot,[],203468,30.699737187910642,79.16666666666666,1610612757,25,26,2021-11-27T03:36:02Z,1410000,-146.0,236.0,1,left,C. McCollum 27' 3PT  (6 PTS) (A. Simons 1 AST),"[203468, 1629014]",1610612757.0,POR,,,,McCollum,C. McCollum,,,,,27.75,Made,6.0,,,,,A. Simons,1629014.0,1.0,,,,,,,,,,,
149,PT00M35.90S,2021-11-27T03:36:19.8Z,1,REGULAR,3pt,Jump Shot,[],201939,62.23718791064389,43.627450980392155,1610612744,25,26,2021-11-27T03:36:23Z,1430000,-32.0,302.0,1,right,MISS S. Curry 30' step back 3PT,[201939],1610612744.0,GSW,step back,,,Curry,S. Curry,,,,,30.42,Missed,,,,,,,,,,,,,,,,,,,
150,PT00M33.90S,2021-11-27T03:36:21.8Z,1,REGULAR,rebound,defensive,[],1629014,,,1610612757,25,26,2021-11-27T03:38:45Z,1440000,,,0,,A. Simons REBOUND (Off:0 Def:3),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,,149.0,3.0,3.0,0.0,,,,,,,
151,PT00M15.10S,2021-11-27T03:36:40.6Z,1,REGULAR,turnover,bad pass,[],1629014,,,1610612757,25,26,2021-11-27T03:36:42Z,1450000,,,0,,A. Simons bad pass TURNOVER (1 TO),"[1629014, 1627780]",1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,1.0,Payton II,1627780.0,,,,,,,,,,,,,,
152,PT00M15.10S,2021-11-27T03:36:40.6Z,1,REGULAR,steal,,[],1627780,,,1610612744,25,26,2021-11-27T03:36:42Z,1460000,,,0,,G. Payton II STEAL (1 STL),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT00M10.70S,2021-11-27T03:36:48.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612744,25,26,2021-11-27T03:36:48Z,1470000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT00M10.70S,2021-11-27T03:37:00.0Z,1,REGULAR,substitution,out,[],1627780,,,1610612744,25,26,2021-11-27T03:37:10Z,1480000,,,0,,SUB out: G. Payton II,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT00M10.70S,2021-11-27T03:37:00.0Z,1,REGULAR,substitution,in,[],1629673,,,1610612744,25,26,2021-11-27T03:37:10Z,1490000,,,0,,SUB in: J. Poole,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT00M03.60S,2021-11-27T03:37:28.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201939,94.03745072273325,47.30392156862745,1610612744,27,26,2021-11-27T03:37:59Z,1500000,-13.0,4.0,1,right,S. Curry driving finger roll Layup (7 PTS),[201939],1610612744.0,GSW,driving finger roll,,,Curry,S. Curry,,,,,1.39,Made,7.0,,,,,,,,,,,,,,,,,,
159,PT00M00.00S,2021-11-27T03:37:46.3Z,1,REGULAR,period,end,[],0,,,1610612757,27,26,2021-11-27T03:37:46Z,1530000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT12M00.00S,2021-11-27T03:39:28.4Z,2,REGULAR,substitution,out,['startperiod'],1629673,,,1610612757,27,26,2021-11-27T03:40:10Z,1540000,,,0,,SUB out: J. Poole,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT12M00.00S,2021-11-27T03:39:28.4Z,2,REGULAR,substitution,in,['startperiod'],1629185,,,1610612757,27,26,2021-11-27T03:40:10Z,1550000,,,0,,SUB in: C. Chiozza,[1629185],1610612744.0,GSW,,,,Chiozza,C. Chiozza,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT12M00.00S,2021-11-27T03:40:20.1Z,2,REGULAR,period,start,[],0,,,1610612744,27,26,2021-11-27T03:40:20Z,1560000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT11M45.00S,2021-11-27T03:40:34.6Z,2,REGULAR,3pt,Jump Shot,[],201939,65.1281208935611,67.15686274509804,1610612744,27,26,2021-11-27T03:40:37Z,1570000,86.0,275.0,1,right,MISS S. Curry 28' pullup 3PT,[201939],1610612744.0,GSW,pullup,,,Curry,S. Curry,,,,,28.84,Missed,,,,,,,,,,,,,,,,,,,
164,PT11M43.00S,2021-11-27T03:40:36.6Z,2,REGULAR,rebound,defensive,[],1626204,,,1610612757,27,26,2021-11-27T03:44:20Z,1580000,,,0,,L. Nance Jr. REBOUND (Off:0 Def:1),[1626204],1610612757.0,POR,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,163.0,1.0,1.0,0.0,,,,,,,
165,PT11M36.00S,2021-11-27T03:40:43.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203503,10.068988173455978,58.333333333333336,1610612757,27,26,2021-11-27T03:40:46Z,1590000,-42.0,42.0,1,left,MISS T. Snell Layup - blocked,"[203503, 203490]",1610612757.0,POR,,,,Snell,T. Snell,,,,,5.93,Missed,,,,,,,,,,,,,Porter Jr.,203490.0,,,,,
221,PT11M36.00S,2021-11-27T03:40:43.2Z,2,REGULAR,block,,[],203490,,,1610612757,27,26,2021-11-27T03:49:29Z,1595000,,,0,,O. Porter Jr. BLOCK (1 BLK),[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT11M34.00S,2021-11-27T03:40:45.2Z,2,REGULAR,rebound,defensive,[],1629308,,,1610612744,27,26,2021-11-27T03:44:25Z,1600000,,,0,,J. Toscano-Anderson REBOUND (Off:1 Def:3),[1629308],1610612744.0,GSW,,,,Toscano-Anderson,J. Toscano-Anderson,,,,,,,,,,,,,,,165.0,4.0,3.0,1.0,,,,,,,
167,PT11M25.00S,2021-11-27T03:40:54.5Z,2,REGULAR,3pt,Jump Shot,[],202357,89.56964520367937,95.83333333333334,1610612744,27,26,2021-11-27T03:40:57Z,1610000,229.0,46.0,1,right,MISS N. Bjelica 3PT,[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,23.37,Missed,,,,,,,,,,,,,,,,,,,
168,PT11M23.00S,2021-11-27T03:40:56.5Z,2,REGULAR,rebound,defensive,[],1626204,,,1610612757,27,26,2021-11-27T03:44:29Z,1620000,,,0,,L. Nance Jr. REBOUND (Off:0 Def:2),[1626204],1610612757.0,POR,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,167.0,2.0,2.0,0.0,,,,,,,
169,PT11M16.00S,2021-11-27T03:41:03.3Z,2,REGULAR,turnover,lost ball,[],1629014,,,1610612757,27,26,2021-11-27T03:41:05Z,1630000,,,0,,A. Simons lost ball TURNOVER (2 TO),"[1629014, 1629185]",1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,2.0,Chiozza,1629185.0,,,,,,,,,,,,,,
