actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,value
2,PT12M00.00S,2021-12-24T03:10:20.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-24T03:10:20Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-12-24T03:10:23.6Z,1,REGULAR,jumpball,recovered,[],203490,,,1610612744,0,0,2021-12-24T03:10:23Z,40000,,,0,,Jump Ball K. Looney vs. S. Adams: Tip to O. Porter Jr.,"[203490, 1626172, 203500]",1610612744.0,GSW,startperiod,O. Porter Jr.,203490.0,Porter Jr.,O. Porter Jr.,Looney,1626172.0,Adams,203500.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2021-12-24T03:10:39.4Z,1,REGULAR,turnover,out-of-bounds,[],1626172,,,1610612744,0,0,2021-12-24T03:11:00Z,70000,,,0,,K. Looney bad pass out-of-bounds TURNOVER (1 TO),[1626172],1610612744.0,GSW,bad pass,,,Looney,K. Looney,,,,,201639.0,1.0,,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2021-12-24T03:11:00.4Z,1,REGULAR,foul,personal,[],1627780,,,1610612763,0,0,2021-12-24T03:11:07Z,80000,,,0,,G. Payton II personal FOUL (1 PF),"[1627780, 1629630]",1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,201245.0,,1.0,0.0,Morant,1629630.0,,,,,,,,,,,,,,,
10,PT11M27.00S,2021-12-24T03:11:26.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628415,90.22667542706965,70.34313725490196,1610612763,0,2,2021-12-24T03:12:00Z,100000,102.0,39.0,1,right,D. Brooks 10' step back Jump Shot (2 PTS),[1628415],1610612763.0,MEM,step back,,,Brooks,D. Brooks,,,,,,,,,,,10.91,Made,2.0,,,,,,,,,,,,
11,PT11M17.00S,2021-12-24T03:11:37.6Z,1,REGULAR,foul,personal,[],1629630,,,1610612744,0,2,2021-12-24T03:11:42Z,110000,,,0,,J. Morant personal FOUL (1 PF),"[1629630, 1627780]",1610612763.0,MEM,,,,Morant,J. Morant,,,,,201245.0,,1.0,0.0,Payton II,1627780.0,,,,,,,,,,,,,,,
13,PT11M09.00S,2021-12-24T03:12:02.8Z,1,REGULAR,foul,personal,['2freethrow'],1628991,,,1610612744,0,2,2021-12-24T03:12:13Z,130000,,,0,,J. Jackson Jr. shooting personal FOUL (1 PF) (Curry 2 FT),"[1628991, 201939]",1610612763.0,MEM,shooting,,,Jackson Jr.,J. Jackson Jr.,,,,,201639.0,,1.0,0.0,Curry,201939.0,,,,,,,,,,,,,,,
15,PT11M09.00S,2021-12-24T03:12:35.4Z,1,REGULAR,freethrow,1 of 2,[],201939,,,1610612744,1,2,2021-12-24T03:12:35Z,150000,,,0,,S. Curry Free Throw 1 of 2 (1 PTS),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,
16,PT11M09.00S,2021-12-24T03:12:48.5Z,1,REGULAR,freethrow,2 of 2,[],201939,,,1610612744,2,2,2021-12-24T03:12:48Z,160000,,,0,,S. Curry Free Throw 2 of 2 (2 PTS),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,
17,PT10M55.00S,2021-12-24T03:13:05.6Z,1,REGULAR,2pt,Jump Shot,[],1628415,90.62089356110381,27.205882352941174,1610612763,2,4,2021-12-24T04:06:31Z,170000,-114.0,36.0,1,right,D. Brooks 11' fadeaway Jump Shot (4 PTS),[1628415],1610612763.0,MEM,fadeaway,,,Brooks,D. Brooks,,,,,,,,,,,11.95,Made,4.0,,,,,,,,,,,,
