actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-02-11T03:10:45.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-11T03:10:45Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-02-11T03:10:46.9Z,1,REGULAR,jumpball,recovered,[],202689,,,1610612752,0,0,2022-02-11T03:10:46Z,40000,,,0,,Jump Ball M. Robinson vs. K. Looney: Tip to K. Walker,"[202689, 1629011, 1626172]",1610612752.0,NYK,startperiod,K. Walker,202689.0,Walker,K. Walker,Robinson,1629011.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2022-02-11T03:11:07.4Z,1,REGULAR,2pt,Jump Shot,[],203944,15.456636005256241,71.07843137254902,1610612752,0,0,2022-02-11T03:11:10Z,70000,-105.0,93.0,1,left,MISS J. Randle 14' turnaround fadeaway Shot,[203944],1610612752.0,NYK,turnaround fadeaway,,,Randle,J. Randle,,,,,14.04,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2022-02-11T03:11:11.2Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,0,0,2022-02-11T03:11:11Z,80000,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M19.00S,2022-02-11T03:11:25.3Z,1,REGULAR,3pt,Jump Shot,[],201939,73.9323258869908,82.1078431372549,1610612744,0,0,2022-02-11T03:11:28Z,90000,161.0,193.0,1,right,MISS S. Curry 25' 3PT,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,25.06,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M16.00S,2022-02-11T03:11:28.5Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,0,0,2022-02-11T03:11:28Z,100000,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M01.00S,2022-02-11T03:11:44.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629011,7.966491458607096,47.30392156862745,1610612752,0,0,2022-02-11T03:19:14Z,110000,13.0,22.0,1,left,MISS M. Robinson cutting Layup,[1629011],1610612752.0,NYK,cutting,,,Robinson,M. Robinson,,,,,2.62,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M00.00S,2022-02-11T03:11:45.1Z,1,REGULAR,rebound,offensive,[],1629011,,,1610612752,0,0,2022-02-11T03:19:14Z,120000,,,0,,M. Robinson REBOUND (Off:1 Def:0),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
13,PT10M58.00S,2022-02-11T03:11:48.5Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629011,5.590000152587891,50.0,1610612752,0,0,2022-02-11T03:19:32Z,130000,0.0,0.0,1,left,MISS M. Robinson putback Layup - blocked,"[1629011, 1626172]",1610612752.0,NYK,putback,,,Robinson,M. Robinson,,,,,0.0,Missed,,,,,Looney,1626172.0,,,,,,,,,,,,,
14,PT10M58.00S,2022-02-11T03:11:48.5Z,1,REGULAR,block,,[],1626172,,,1610612752,0,0,2022-02-11T03:19:18Z,140000,,,0,,K. Looney BLOCK (1 BLK),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT10M56.00S,2022-02-11T03:11:50.5Z,1,REGULAR,rebound,offensive,[],1629011,,,1610612752,0,0,2022-02-11T03:19:32Z,150000,,,0,,M. Robinson REBOUND (Off:2 Def:0),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,13.0,2.0,0.0,2.0,,,,,,,,,,,,,,,
16,PT10M54.00S,2022-02-11T03:11:52.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202689,21.107095926412615,91.42156862745098,1610612752,0,0,2022-02-11T03:19:43Z,160000,-207.0,146.0,1,left,MISS K. Walker 25' 3PT,[202689],1610612752.0,NYK,,,,Walker,K. Walker,,,,,25.33,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M52.00S,2022-02-11T03:11:54.7Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,0,0,2022-02-11T03:19:43Z,170000,,,0,,K. Looney REBOUND (Off:0 Def:2),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,16.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
