actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-01-04T03:10:34.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-04T03:10:34Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-04T03:10:37.5Z,1,REGULAR,jumpball,recovered,[],1626172,,,1610612744,0,0,2022-01-04T03:10:37Z,40000,,,0,,Jump Ball K. Looney vs. O. Yurtseven: Tip to K. Looney,"[1626172, 1626172, 1630209]",1610612744.0,GSW,startperiod,K. Looney,1626172.0,Looney,K. Looney,Looney,1626172.0,Yurtseven,1630209.0,,,,,,,,,,,,,,,,,,,,,
9,PT11M36.00S,2022-01-04T03:11:12.6Z,1,REGULAR,turnover,offensive goaltending,[],1626172,,,1610612744,0,0,2022-01-04T03:11:19Z,90000,,,0,,K. Looney offensive goaltending TURNOVER (1 TO),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,202007.0,1.0,,,,,,,,,,,,,,,,,,,
10,PT11M22.00S,2022-01-04T03:11:26.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",200768,16.507884362680684,50.98039215686274,1610612748,0,0,2022-01-04T03:12:02Z,100000,-5.0,103.0,1,left,MISS K. Lowry 10' fadeaway Shot,[200768],1610612748.0,MIA,fadeaway,,,Lowry,K. Lowry,,,,,,,10.28,Missed,,,,,,,,,,,,,,,,,
11,PT11M20.00S,2022-01-04T03:11:28.1Z,1,REGULAR,rebound,offensive,[],1628997,,,1610612748,0,0,2022-01-04T03:13:34Z,110000,,,0,,C. Martin REBOUND (Off:1 Def:0),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,,10.0,1.0,0.0,1.0,,,,,,,,,,,,,
12,PT11M19.00S,2022-01-04T03:11:35.7Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1628997,5.590000152587891,50.0,1610612748,0,2,2022-01-04T03:13:41Z,120000,0.0,0.0,1,left,C. Martin driving Layup (2 PTS),[1628997],1610612748.0,MIA,driving,,,Martin,C. Martin,,,,,,,0.0,Made,,,,,2.0,,,,,,,,,,,,
13,PT10M58.00S,2022-01-04T03:11:49.5Z,1,REGULAR,3pt,Jump Shot,[],201939,74.45795006570303,9.558823529411764,1610612744,0,2,2022-01-04T03:11:51Z,130000,-202.0,188.0,1,right,MISS S. Curry 27' 3PT,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,27.58,Missed,,,,,,,,,,,,,,,,,
14,PT10M55.00S,2022-01-04T03:11:53.8Z,1,REGULAR,rebound,defensive,[],1628997,,,1610612748,0,2,2022-01-04T03:11:53Z,140000,,,0,,C. Martin REBOUND (Off:1 Def:1),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,,13.0,2.0,1.0,1.0,,,,,,,,,,,,,
15,PT10M38.00S,2022-01-04T03:12:10.4Z,1,REGULAR,2pt,Jump Shot,[],1630209,16.245072273324574,67.40196078431373,1610612748,0,2,2022-01-04T03:12:13Z,150000,-87.0,100.0,1,left,MISS O. Yurtseven 13' Jump Shot,[1630209],1610612748.0,MIA,,,,Yurtseven,O. Yurtseven,,,,,,,13.27,Missed,,,,,,,,,,,,,,,,,
16,PT10M35.00S,2022-01-04T03:12:13.6Z,1,REGULAR,rebound,defensive,[],1627780,,,1610612744,0,2,2022-01-04T03:12:13Z,160000,,,0,,G. Payton II REBOUND (Off:0 Def:1),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,
17,PT10M28.00S,2022-01-04T03:12:20.5Z,1,REGULAR,3pt,Jump Shot,[],203952,67.23061760840999,43.872549019607845,1610612744,3,2,2022-01-04T03:12:24Z,170000,-31.0,256.0,1,right,A. Wiggins 25' 3PT step back (3 PTS) (D. Green 1 AST),"[203952, 203110]",1610612744.0,GSW,step back,,,Wiggins,A. Wiggins,,,,,,,25.73,Made,,,,,3.0,D. Green,203110.0,1.0,,,,,,,,,
19,PT10M12.00S,2022-01-04T03:12:36.0Z,1,REGULAR,turnover,lost ball,[],1629639,,,1610612748,3,2,2022-01-04T03:12:37Z,190000,,,0,,T. Herro lost ball TURNOVER (1 TO),"[1629639, 1627780]",1610612748.0,MIA,,,,Herro,T. Herro,,,,,,1.0,,,,,,,,,,,Payton II,1627780.0,,,,,,,
20,PT10M12.00S,2022-01-04T03:12:36.0Z,1,REGULAR,steal,,[],1627780,,,1610612744,3,2,2022-01-04T03:12:38Z,200000,,,0,,G. Payton II STEAL (1 STL),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,,
21,PT10M07.00S,2022-01-04T03:12:41.1Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",203952,94.95729303547962,2.696078431372549,1610612744,6,2,2022-01-04T03:12:45Z,210000,-237.0,-5.0,1,right,A. Wiggins 3PT  (6 PTS) (S. Curry 1 AST),"[203952, 201939]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,23.66,Made,,,,,6.0,S. Curry,201939.0,1.0,,,,,,,,,
23,PT09M44.00S,2022-01-04T03:13:06.4Z,1,REGULAR,foul,personal,['2freethrow'],201939,,,1610612748,6,2,2022-01-04T03:13:14Z,230000,,,0,,S. Curry shooting personal FOUL (1 PF) (Butler 2 FT),"[201939, 202710]",1610612744.0,GSW,shooting,,,Curry,S. Curry,,,,,202007.0,,,,,,,,,,,,,,1.0,0.0,Butler,202710.0,,,
25,PT09M44.00S,2022-01-04T03:13:23.6Z,1,REGULAR,stoppage,blood rule,[],0,,,1610612748,6,2,2022-01-04T03:13:23Z,250000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PT09M44.00S,2022-01-04T03:13:55.2Z,1,REGULAR,substitution,out,[],1630209,,,1610612748,6,2,2022-01-04T03:13:58Z,260000,,,0,,SUB out: O. Yurtseven,[1630209],1610612748.0,MIA,,,,Yurtseven,O. Yurtseven,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT09M44.00S,2022-01-04T03:13:55.2Z,1,REGULAR,substitution,in,[],1629735,,,1610612748,6,2,2022-01-04T03:13:58Z,270000,,,0,,SUB in: C. Silva,[1629735],1610612748.0,MIA,,,,Silva,C. Silva,,,,,,,,,,,,,,,,,,,,,,,,,
28,PT09M44.00S,2022-01-04T03:14:53.0Z,1,REGULAR,freethrow,1 of 2,[],202710,,,1610612748,6,3,2022-01-04T03:14:53Z,280000,,,0,,J. Butler Free Throw 1 of 2 (1 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,
29,PT09M44.00S,2022-01-04T03:15:07.4Z,1,REGULAR,freethrow,2 of 2,[],202710,,,1610612748,6,4,2022-01-04T03:15:07Z,290000,,,0,,J. Butler Free Throw 2 of 2 (2 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,
30,PT09M31.00S,2022-01-04T03:15:27.3Z,1,REGULAR,foul,personal,['2freethrow'],200768,,,1610612744,6,4,2022-01-04T03:15:36Z,300000,,,0,,K. Lowry shooting personal FOUL (1 PF) (Wiggins 2 FT),"[200768, 203952]",1610612748.0,MIA,shooting,,,Lowry,K. Lowry,,,,,2534.0,,,,,,,,,,,,,,1.0,0.0,Wiggins,203952.0,,,
32,PT09M31.00S,2022-01-04T03:15:52.0Z,1,REGULAR,freethrow,1 of 2,[],203952,,,1610612744,7,4,2022-01-04T03:15:52Z,320000,,,0,,A. Wiggins Free Throw 1 of 2 (7 PTS),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,Made,,,,,7.0,,,,,,,,,,,,
33,PT09M31.00S,2022-01-04T03:16:09.4Z,1,REGULAR,freethrow,2 of 2,[],203952,,,1610612744,8,4,2022-01-04T03:16:09Z,330000,,,0,,A. Wiggins Free Throw 2 of 2 (8 PTS),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,Made,,,,,8.0,,,,,,,,,,,,
34,PT09M18.00S,2022-01-04T03:16:29.4Z,1,REGULAR,foul,personal,[],201939,,,1610612748,8,4,2022-01-04T03:17:00Z,340000,,,0,,S. Curry personal FOUL (2 PF),"[201939, 1628997]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,202007.0,,,,,,,,,,,,,,2.0,0.0,Martin,1628997.0,,,
36,PT09M18.00S,2022-01-04T03:16:42.7Z,1,REGULAR,substitution,out,[],201939,,,1610612748,8,4,2022-01-04T03:16:49Z,360000,,,0,,SUB out: S. Curry,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,
37,PT09M18.00S,2022-01-04T03:16:42.7Z,1,REGULAR,substitution,in,[],1629673,,,1610612748,8,4,2022-01-04T03:16:49Z,370000,,,0,,SUB in: J. Poole,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,
38,PT09M04.00S,2022-01-04T03:17:12.8Z,1,REGULAR,2pt,Jump Shot,[],1628997,25.837713534822605,38.48039215686275,1610612748,8,4,2022-01-04T03:17:16Z,380000,58.0,190.0,1,left,MISS C. Martin 19' pullup Shot,[1628997],1610612748.0,MIA,pullup,,,Martin,C. Martin,,,,,,,19.89,Missed,,,,,,,,,,,,,,,,,
39,PT09M02.00S,2022-01-04T03:17:14.8Z,1,REGULAR,rebound,defensive,[],203952,,,1610612744,8,4,2022-01-04T03:17:24Z,390000,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,38.0,1.0,1.0,0.0,,,,,,,,,,,,,
40,PT08M49.00S,2022-01-04T03:17:26.9Z,1,REGULAR,3pt,Jump Shot,[],203110,72.48685939553219,80.3921568627451,1610612744,8,4,2022-01-04T03:17:30Z,400000,152.0,206.0,1,right,MISS D. Green 25' 3PT,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,25.61,Missed,,,,,,,,,,,,,,,,,
41,PT08M47.00S,2022-01-04T03:17:28.9Z,1,REGULAR,rebound,defensive,[],1629735,,,1610612748,8,4,2022-01-04T03:18:37Z,410000,,,0,,C. Silva REBOUND (Off:0 Def:1),[1629735],1610612748.0,MIA,,,,Silva,C. Silva,,,,,,,,,40.0,1.0,1.0,0.0,,,,,,,,,,,,,
42,PT08M35.00S,2022-01-04T03:17:42.0Z,1,REGULAR,3pt,Jump Shot,[],200768,23.99802890932983,89.70588235294117,1610612748,8,4,2022-01-04T03:17:45Z,420000,-199.0,173.0,1,left,MISS K. Lowry 26' step back 3PT,[200768],1610612748.0,MIA,step back,,,Lowry,K. Lowry,,,,,,,26.34,Missed,,,,,,,,,,,,,,,,,
43,PT08M33.00S,2022-01-04T03:17:44.0Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,8,4,2022-01-04T03:18:10Z,430000,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,42.0,1.0,1.0,0.0,,,,,,,,,,,,,
