actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-02-13T01:40:59.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-13T01:40:59Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-02-13T01:41:01.7Z,1,REGULAR,jumpball,recovered,[],2544,,,1610612747,0,0,2022-02-13T01:41:01Z,40000,,,0,,Jump Ball A. Davis vs. K. Looney: Tip to L. James,"[2544, 203076, 1626172]",1610612747.0,LAL,startperiod,L. James,2544.0,James,L. James,Davis,203076.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-02-13T01:41:16.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203076,13.748357424441524,48.28431372549019,1610612747,0,0,2022-02-13T01:42:23Z,70000,9.0,77.0,1,left,MISS A. Davis 7' turnaround Shot,[203076],1610612747.0,LAL,turnaround,,,Davis,A. Davis,,,,,7.72,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2022-02-13T01:41:18.5Z,1,REGULAR,rebound,offensive,[],1626169,,,1610612747,0,0,2022-02-13T01:42:00Z,80000,,,0,,S. Johnson REBOUND (Off:1 Def:0),[1626169],1610612747.0,LAL,,,,Johnson,S. Johnson,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
9,PT11M39.00S,2022-02-13T01:41:22.2Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1626169,5.590000152587891,50.0,1610612747,0,0,2022-02-13T01:42:25Z,90000,0.0,0.0,1,left,MISS S. Johnson tip Layup,[1626169],1610612747.0,LAL,tip,,,Johnson,S. Johnson,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M37.00S,2022-02-13T01:41:24.2Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,0,0,2022-02-13T01:42:25Z,100000,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M21.00S,2022-02-13T01:41:39.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",202691,90.75229960578186,60.5392156862745,1610612744,2,0,2022-02-13T01:41:48Z,110000,53.0,34.0,1,right,K. Thompson 6' finger roll Layup (2 PTS),[202691],1610612744.0,GSW,finger roll,,,Thompson,K. Thompson,,,,,6.29,Made,,,,,2.0,,,,,,,,,,,,,,
12,PT11M21.00S,2022-02-13T01:41:45.1Z,1,REGULAR,violation,defensive goaltending,[],203076,,,1610612744,2,0,2022-02-13T01:41:54Z,120000,,,0,,A. Davis defensive goaltending VIOLATION,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,,202041.0,,,,,,,,,,,,,
13,PT11M10.00S,2022-02-13T01:42:06.0Z,1,REGULAR,foul,personal,['2freethrow'],1630228,,,1610612747,2,0,2022-02-13T01:42:12Z,130000,,,0,,J. Kuminga shooting personal FOUL (1 PF) (James 2 FT),"[1630228, 2544]",1610612744.0,GSW,shooting,,,Kuminga,J. Kuminga,,,,,,,,,,,,1148.0,1.0,0.0,James,2544.0,,,,,,,,,
15,PT11M10.00S,2022-02-13T01:42:31.2Z,1,REGULAR,freethrow,1 of 2,[],2544,,,1610612747,2,1,2022-02-13T01:42:31Z,150000,,,0,,L. James Free Throw 1 of 2 (1 PTS),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
16,PT11M10.00S,2022-02-13T01:42:40.6Z,1,REGULAR,freethrow,2 of 2,[],2544,,,1610612747,2,2,2022-02-13T01:42:40Z,160000,,,0,,L. James Free Throw 2 of 2 (2 PTS),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,Made,,,,,2.0,,,,,,,,,,,,,,
17,PT10M58.00S,2022-02-13T01:42:54.0Z,1,REGULAR,3pt,Jump Shot,[],203952,69.20170827858082,20.34313725490196,1610612744,5,2,2022-02-13T01:43:23Z,170000,-148.0,237.0,1,right,A. Wiggins 27' 3PT pullup (3 PTS) (S. Curry 1 AST),"[203952, 201939]",1610612744.0,GSW,pullup,,,Wiggins,A. Wiggins,,,,,27.96,Made,,,,,3.0,,,,,,S. Curry,201939.0,1.0,,,,,,
19,PT10M40.00S,2022-02-13T01:43:12.3Z,1,REGULAR,3pt,Jump Shot,[],202340,28.86005256241787,78.43137254901961,1610612747,5,5,2022-02-13T01:43:15Z,190000,-142.0,219.0,1,left,A. Bradley 26' 3PT  (3 PTS) (L. James 1 AST),"[202340, 2544]",1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,26.09,Made,,,,,3.0,,,,,,L. James,2544.0,1.0,,,,,,
21,PT10M24.00S,2022-02-13T01:43:28.5Z,1,REGULAR,2pt,Jump Shot,[],202691,72.61826544021025,57.107843137254896,1610612744,5,5,2022-02-13T01:43:31Z,210000,36.0,205.0,1,right,MISS K. Thompson 20' pullup Shot,[202691],1610612744.0,GSW,pullup,,,Thompson,K. Thompson,,,,,20.8,Missed,,,,,,,,,,,,,,,,,,,
22,PT10M21.00S,2022-02-13T01:43:32.0Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,5,5,2022-02-13T01:43:32Z,220000,,,0,,L. James REBOUND (Off:0 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
23,PT10M19.00S,2022-02-13T01:43:35.4Z,1,REGULAR,foul,personal,['2freethrow'],202691,,,1610612747,5,5,2022-02-13T01:43:41Z,230000,,,0,,K. Thompson shooting personal FOUL (1 PF) (Davis 2 FT),"[202691, 203076]",1610612744.0,GSW,shooting,,,Thompson,K. Thompson,,,,,,,,,,,,202041.0,1.0,0.0,Davis,203076.0,,,,,,,,,
