actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-11-08T01:40:42.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-08T01:40:42Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-08T01:40:44.3Z,1,REGULAR,jumpball,recovered,[],1629645,,,1610612745,0,0,2021-11-08T01:40:44Z,40000,,,0,,Jump Ball C. Wood vs. K. Looney: Tip to K. Porter Jr.,"[1629645, 1626174, 1626172]",1610612745.0,HOU,startperiod,K. Porter Jr.,1629645.0,Porter Jr.,K. Porter Jr.,Wood,1626174.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2021-11-08T01:41:00.0Z,1,REGULAR,turnover,out-of-bounds,[],1628464,,,1610612745,0,0,2021-11-08T01:41:08Z,70000,,,0,,D. Theis bad pass out-of-bounds TURNOVER (1 TO),[1628464],1610612745.0,HOU,bad pass,,,Theis,D. Theis,,,,,202053.0,1.0,,,,,,,,,,,,,,,,,,,
8,PT11M32.00S,2021-11-08T01:41:23.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629673,69.20170827858082,66.91176470588235,1610612744,0,0,2021-11-08T01:41:28Z,80000,85.0,237.0,1,right,MISS J. Poole 25' 3PT,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,25.16,Missed,,,,,,,,,,,,,,,,,
9,PT11M29.00S,2021-11-08T01:41:26.6Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612745,0,0,2021-11-08T01:41:28Z,90000,,,0,,D. Theis REBOUND (Off:0 Def:1),[1628464],1610612745.0,HOU,,,,Theis,D. Theis,,,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M21.00S,2021-11-08T01:41:35.7Z,1,REGULAR,2pt,Jump Shot,[],1630224,25.18068331143233,54.90196078431373,1610612745,0,2,2021-11-08T01:41:41Z,100000,-25.0,184.0,1,left,J. Green 18' pullup Jump Shot (2 PTS) (D. Theis 1 AST),"[1630224, 1628464]",1610612745.0,HOU,pullup,,,Green,J. Green,,,,,,,18.58,Made,,,,,2.0,D. Theis,1628464.0,1.0,,,,,,,,,
12,PT11M03.00S,2021-11-08T01:41:52.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629673,91.80354796320631,50.0,1610612744,2,2,2021-11-08T01:43:25Z,120000,0.0,25.0,1,right,J. Poole cutting Layup (2 PTS) (D. Green 1 AST),"[1629673, 203110]",1610612744.0,GSW,cutting,,,Poole,J. Poole,,,,,,,2.45,Made,,,,,2.0,D. Green,203110.0,1.0,,,,,,,,,
14,PT10M51.00S,2021-11-08T01:42:04.9Z,1,REGULAR,2pt,Jump Shot,[],1628464,20.71287779237845,31.372549019607842,1610612745,2,4,2021-11-08T01:42:12Z,140000,93.0,142.0,1,left,D. Theis 17' Jump Shot (2 PTS) (J. Green 1 AST),"[1628464, 1630224]",1610612745.0,HOU,,,,Theis,D. Theis,,,,,,,17.0,Made,,,,,2.0,J. Green,1630224.0,1.0,,,,,,,,,
16,PT10M42.00S,2021-11-08T01:42:13.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629673,92.06636005256242,55.392156862745104,1610612744,4,4,2021-11-08T01:44:07Z,160000,27.0,22.0,1,right,J. Poole driving Layup (4 PTS) (D. Green 2 AST),"[1629673, 203110]",1610612744.0,GSW,driving,,,Poole,J. Poole,,,,,,,3.49,Made,,,,,4.0,D. Green,203110.0,2.0,,,,,,,,,
18,PT10M36.00S,2021-11-08T01:42:24.1Z,1,REGULAR,turnover,out-of-bounds,[],1630224,,,1610612745,4,4,2021-11-08T01:42:30Z,180000,,,0,,J. Green lost ball out-of-bounds TURNOVER (1 TO),[1630224],1610612745.0,HOU,lost ball,,,Green,J. Green,,,,,202053.0,1.0,,,,,,,,,,,,,,,,,,,
19,PT10M30.00S,2021-11-08T01:42:31.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629673,93.38042049934296,45.34313725490196,1610612744,6,4,2021-11-08T01:42:45Z,190000,-23.0,10.0,1,right,J. Poole running reverse Layup (6 PTS) (D. Green 3 AST),"[1629673, 203110]",1610612744.0,GSW,running reverse,,,Poole,J. Poole,,,,,,,2.52,Made,,,,,6.0,D. Green,203110.0,3.0,,,,,,,,,
21,PT10M12.00S,2021-11-08T01:42:50.2Z,1,REGULAR,2pt,Jump Shot,[],1629645,14.273981603153747,33.33333333333333,1610612745,6,4,2021-11-08T01:45:56Z,210000,83.0,82.0,1,left,MISS K. Porter Jr. 11' fadeaway Shot,[1629645],1610612745.0,HOU,fadeaway,,,Porter Jr.,K. Porter Jr.,,,,,,,11.67,Missed,,,,,,,,,,,,,,,,,
22,PT10M09.00S,2021-11-08T01:42:53.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612745,6,4,2021-11-08T01:42:57Z,220000,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,
23,PT10M09.00S,2021-11-08T01:42:59.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612745,6,4,2021-11-08T01:42:59Z,230000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PT10M07.00S,2021-11-08T01:43:07.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630224,6.915243101182654,94.11764705882352,1610612745,6,4,2021-11-08T01:43:12Z,240000,-221.0,13.0,1,left,MISS J. Green 3PT,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,22.1,Missed,,,,,,,,,,,,,,,,,
25,PT10M02.00S,2021-11-08T01:43:12.4Z,1,REGULAR,rebound,defensive,[],1629673,,,1610612744,6,4,2021-11-08T01:43:12Z,250000,,,0,,J. Poole REBOUND (Off:0 Def:1),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,
26,PT09M55.00S,2021-11-08T01:43:21.6Z,1,REGULAR,foul,personal,['2freethrow'],1630224,,,1610612744,6,4,2021-11-08T01:43:30Z,260000,,,0,,J. Green shooting personal FOUL (1 PF) (Poole 2 FT),"[1630224, 1629673]",1610612745.0,HOU,shooting,,,Green,J. Green,,,,,1146.0,,,,,,,,,,,,1.0,0.0,Poole,1629673.0,,,,,
