actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-12-29T03:11:51.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-29T03:11:51Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-12-29T03:11:53.6Z,1,REGULAR,jumpball,recovered,[],1630267,,,1610612743,0,0,2021-12-29T03:11:53Z,40000,,,0,,Jump Ball N. Jokic vs. K. Looney: Tip to F. Campazzo,"[1630267, 203999, 1626172]",1610612743.0,DEN,startperiod,F. Campazzo,1630267.0,Campazzo,F. Campazzo,Jokic,203999.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2021-12-29T03:12:05.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,14.668199737187912,49.754901960784316,1610612743,0,0,2021-12-29T03:12:10Z,70000,1.0,85.0,1,left,MISS N. Jokic 8' floating Shot,[203999],1610612743.0,DEN,floating,,,Jokic,N. Jokic,,,,,8.54,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2021-12-29T03:12:07.9Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,0,0,2021-12-29T03:13:29Z,80000,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M28.00S,2021-12-29T03:12:22.8Z,1,REGULAR,3pt,Jump Shot,[],1629308,73.14388961892247,13.480392156862745,1610612744,0,0,2021-12-29T03:12:25Z,90000,-183.0,200.0,1,right,MISS J. Toscano-Anderson 27' 3PT,[1629308],1610612744.0,GSW,,,,Toscano-Anderson,J. Toscano-Anderson,,,,,27.07,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M27.00S,2021-12-29T03:12:23.8Z,1,REGULAR,rebound,offensive,[],1627780,,,1610612744,0,0,2021-12-29T03:13:34Z,100000,,,0,,G. Payton II REBOUND (Off:1 Def:0),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
11,PT11M23.00S,2021-12-29T03:12:27.7Z,1,REGULAR,turnover,bad pass,[],1627780,,,1610612744,0,0,2021-12-29T03:12:29Z,110000,,,0,,G. Payton II bad pass TURNOVER (1 TO),"[1627780, 203999]",1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,1.0,Jokic,203999.0,,,,,,,,,,,,
12,PT11M23.00S,2021-12-29T03:12:27.7Z,1,REGULAR,steal,,[],203999,,,1610612743,0,0,2021-12-29T03:18:47Z,120000,,,0,,N. Jokic STEAL (1 STL),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M19.00S,2021-12-29T03:12:31.4Z,1,REGULAR,turnover,lost ball,[],203115,,,1610612743,0,0,2021-12-29T03:12:35Z,130000,,,0,,W. Barton lost ball TURNOVER (1 TO),"[203115, 1627780]",1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,,1.0,Payton II,1627780.0,,,,,,,,,,,,
14,PT11M19.00S,2021-12-29T03:12:31.4Z,1,REGULAR,steal,,[],1627780,,,1610612744,0,0,2021-12-29T03:12:35Z,140000,,,0,,G. Payton II STEAL (1 STL),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,,
