actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-12-09T03:14:02.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-09T03:14:02Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-12-09T03:14:04.2Z,1,REGULAR,jumpball,recovered,[],203110,,,1610612744,0,0,2021-12-09T03:14:04Z,40000,,,0,,Jump Ball K. Looney vs. J. Nurkic: Tip to D. Green,"[203110, 1626172, 203994]",1610612744.0,GSW,startperiod,D. Green,203110.0,Green,D. Green,Looney,1626172.0,Nurkic,203994.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2021-12-09T03:14:14.0Z,1,REGULAR,3pt,Jump Shot,[],201939,79.31997371879106,93.62745098039215,1610612744,0,0,2021-12-09T03:14:16Z,70000,218.0,142.0,1,right,MISS S. Curry 26' 3PT,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,26.02,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M46.00S,2021-12-09T03:14:16.0Z,1,REGULAR,rebound,defensive,[],1629642,,,1610612757,0,0,2021-12-09T03:14:44Z,80000,,,0,,N. Little REBOUND (Off:0 Def:1),[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M36.00S,2021-12-09T03:14:27.8Z,1,REGULAR,foul,personal,[],1626172,,,1610612757,0,0,2021-12-09T03:14:39Z,90000,,,0,,K. Looney personal FOUL (1 PF),"[1626172, 203994]",1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,1162.0,1.0,0.0,Nurkic,203994.0,,,,,,,,,,
11,PT11M33.00S,2021-12-09T03:14:49.6Z,1,REGULAR,2pt,Jump Shot,[],1626181,21.369908015768726,24.019607843137255,1610612757,0,0,2021-12-09T03:14:52Z,110000,130.0,148.0,1,left,MISS N. Powell 19' Jump Shot,[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,19.72,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M31.00S,2021-12-09T03:14:51.6Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,0,0,2021-12-09T03:15:25Z,120000,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
13,PT11M24.00S,2021-12-09T03:14:58.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203110,65.52233902759527,46.07843137254902,1610612744,0,0,2021-12-09T03:15:01Z,130000,-20.0,272.0,1,right,MISS D. Green 27' 3PT,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,27.23,Missed,,,,,,,,,,,,,,,,,,,
14,PT11M22.00S,2021-12-09T03:15:00.0Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,0,0,2021-12-09T03:15:30Z,140000,,,0,,J. Nurkic REBOUND (Off:0 Def:1),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
15,PT11M12.00S,2021-12-09T03:15:12.6Z,1,REGULAR,foul,offensive,[],203994,,,1610612757,0,0,2021-12-09T03:15:18Z,150000,,,0,,J. Nurkic offensive FOUL (1 PF),"[203994, 203110]",1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,1162.0,1.0,0.0,Green,203110.0,,,,,,,,,,
17,PT11M12.00S,2021-12-09T03:15:12.6Z,1,REGULAR,turnover,offensive foul,[],203994,,,1610612757,0,0,2021-12-09T03:15:12Z,170000,,,0,,J. Nurkic offensive foul TURNOVER (1 TO),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,1162.0,,,,,1.0,,,,,,,,,
18,PT10M54.00S,2021-12-09T03:15:47.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203952,84.44480946123521,56.127450980392155,1610612744,2,0,2021-12-09T03:15:50Z,180000,31.0,94.0,1,right,A. Wiggins 9' driving floating Jump Shot (2 PTS),[203952],1610612744.0,GSW,driving floating,,,Wiggins,A. Wiggins,,,,,9.86,Made,,,,,,,,,,,2.0,,,,,,,,
