actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-01-24T01:40:51.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-24T01:40:51Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-01-24T01:40:53.0Z,1,REGULAR,jumpball,recovered,[],201939,,,1610612744,0,0,2022-01-24T01:40:53Z,40000,,,0,,Jump Ball K. Looney vs. R. Gobert: Tip to S. Curry,"[201939, 1626172, 203497]",1610612744.0,GSW,startperiod,S. Curry,201939.0,Curry,S. Curry,Looney,1626172.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2022-01-24T01:41:04.4Z,1,REGULAR,3pt,Jump Shot,[],1629673,23.73521681997372,7.8431372549019605,1610612744,0,0,2022-01-24T01:41:25Z,70000,211.0,171.0,1,left,MISS J. Poole 27' 3PT,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,27.12,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2022-01-24T01:41:06.4Z,1,REGULAR,rebound,defensive,[],202711,,,1610612762,0,0,2022-01-24T01:41:33Z,80000,,,0,,B. Bogdanovic REBOUND (Off:0 Def:1),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M26.00S,2022-01-24T01:41:23.7Z,1,REGULAR,2pt,Jump Shot,[],202711,87.33574244415243,28.676470588235293,1610612762,0,2,2022-01-24T01:41:27Z,90000,-107.0,67.0,1,right,B. Bogdanovic 12' pullup Jump Shot (2 PTS) (J. Ingles 1 AST),"[202711, 204060]",1610612762.0,UTA,pullup,,,Bogdanovic,B. Bogdanovic,,,,,12.56,Made,,,,,2.0,J. Ingles,204060.0,1.0,,,,,,,,,,,
10,PT11M08.00S,2022-01-24T01:41:41.3Z,1,REGULAR,2pt,Jump Shot,[],203952,23.866622864651774,56.372549019607845,1610612744,0,2,2022-01-24T01:41:44Z,100000,-32.0,172.0,1,left,MISS A. Wiggins 17' pullup Shot,[203952],1610612744.0,GSW,pullup,,,Wiggins,A. Wiggins,,,,,17.47,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M05.00S,2022-01-24T01:41:45.1Z,1,REGULAR,rebound,defensive,[],203497,,,1610612762,0,2,2022-01-24T01:41:45Z,110000,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
12,PT10M48.00S,2022-01-24T01:42:02.9Z,1,REGULAR,3pt,Jump Shot,[],201144,88.51839684625493,3.9215686274509802,1610612762,0,5,2022-01-24T01:42:06Z,120000,-230.0,55.0,1,right,M. Conley 3PT step back (3 PTS) (B. Bogdanovic 1 AST),"[201144, 202711]",1610612762.0,UTA,step back,,,Conley,M. Conley,,,,,23.7,Made,,,,,3.0,B. Bogdanovic,202711.0,1.0,,,,,,,,,,,
15,PT10M23.00S,2022-01-24T01:42:26.8Z,1,REGULAR,2pt,Jump Shot,[],1626172,22.815374507227332,55.63725490196079,1610612744,2,5,2022-01-24T01:42:30Z,140000,-28.0,162.0,1,left,K. Looney 16' pullup Jump Shot (2 PTS),[1626172],1610612744.0,GSW,pullup,,,Looney,K. Looney,,,,,16.44,Made,,,,,2.0,,,,,,,,,,,,,,
16,PT10M01.00S,2022-01-24T01:42:48.8Z,1,REGULAR,turnover,bad pass,[],201144,,,1610612762,2,5,2022-01-24T01:42:50Z,150000,,,0,,M. Conley bad pass TURNOVER (1 TO),"[201144, 203490]",1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,,,,,1.0,Porter Jr.,203490.0,,,,,,,,
