actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-12-21T03:10:52.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-21T03:10:52Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-21T03:10:54.8Z,1,REGULAR,jumpball,recovered,[],1630169,,,1610612758,0,0,2021-12-21T03:10:54Z,40000,,,0,,Jump Ball T. Thompson vs. K. Looney: Tip to T. Haliburton,"[1630169, 202684, 1626172]",1610612758.0,SAC,startperiod,T. Haliburton,1630169.0,Haliburton,T. Haliburton,Thompson,202684.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2021-12-21T03:11:07.4Z,1,REGULAR,turnover,bad pass,[],1630169,,,1610612758,0,0,2021-12-21T03:11:08Z,70000,,,0,,T. Haliburton bad pass TURNOVER (1 TO),"[1630169, 1630228]",1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,1.0,Kuminga,1630228.0,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2021-12-21T03:11:07.4Z,1,REGULAR,steal,,[],1630228,,,1610612744,0,0,2021-12-21T03:11:13Z,80000,,,0,,J. Kuminga STEAL (1 STL),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M23.00S,2021-12-21T03:11:31.5Z,1,REGULAR,foul,personal,['2freethrow'],1629002,,,1610612744,0,0,2021-12-21T03:11:40Z,90000,,,0,,C. Metu shooting personal FOUL (1 PF) (Green 2 FT),"[1629002, 203110]",1610612758.0,SAC,shooting,,,Metu,C. Metu,,,,,,,,202049.0,1.0,0.0,Green,203110.0,,,,,,,,,,,,,
11,PT11M23.00S,2021-12-21T03:12:00.1Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203110,,,1610612744,0,0,2021-12-21T03:12:00Z,110000,,,0,,MISS D. Green Free Throw 1 of 2,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,Missed,,,,,,,,,,,,
12,PT11M23.00S,2021-12-21T03:12:00.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612744,0,0,2021-12-21T03:12:00Z,120000,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,
13,PT11M23.00S,2021-12-21T03:12:17.5Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],203110,,,1610612744,1,0,2021-12-21T03:12:17Z,130000,,,0,,D. Green Free Throw 2 of 2 (1 PTS),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,Made,,1.0,,,,,,,,,,
14,PT11M05.00S,2021-12-21T03:12:35.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202684,11.645860709592641,44.11764705882353,1610612758,1,0,2021-12-21T03:12:50Z,140000,29.0,57.0,1,left,MISS T. Thompson 6' driving Hook,[202684],1610612758.0,SAC,driving,,,Thompson,T. Thompson,,,,,,,,,,,,,Missed,,,6.41,,,,,,,,,
15,PT11M03.00S,2021-12-21T03:12:37.7Z,1,REGULAR,rebound,defensive,[],1630228,,,1610612744,1,0,2021-12-21T03:13:00Z,150000,,,0,,J. Kuminga REBOUND (Off:0 Def:1),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,,,,,,,,14.0,,,1.0,1.0,0.0,,,,,,
