actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-03-15T02:10:25.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-15T02:10:25Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-03-15T02:10:27.0Z,1,REGULAR,jumpball,recovered,[],203526,,,1610612764,0,0,2022-03-15T02:10:27Z,40000,,,0,,Jump Ball K. Porzingis vs. K. Looney: Tip to R. Neto,"[203526, 204001, 1626172]",1610612764.0,WAS,startperiod,R. Neto,203526.0,Neto,R. Neto,Porzingis,204001.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-03-15T02:10:44.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],204001,14.14257555847569,48.28431372549019,1610612764,0,0,2022-03-15T02:10:47Z,70000,9.0,80.0,1,left,MISS K. Porzingis 8' turnaround Shot - blocked,"[204001, 1630228]",1610612764.0,WAS,turnaround,,,Porzingis,K. Porzingis,,,,,8.09,Missed,Kuminga,1630228.0,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2022-03-15T02:10:44.5Z,1,REGULAR,block,,[],1630228,,,1610612764,0,0,2022-03-15T02:10:48Z,80000,,,0,,J. Kuminga BLOCK (1 BLK),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M38.00S,2022-03-15T02:10:46.5Z,1,REGULAR,rebound,defensive,[],202691,,,1610612744,0,0,2022-03-15T02:14:09Z,90000,,,0,,K. Thompson REBOUND (Off:0 Def:1),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M33.00S,2022-03-15T02:10:51.6Z,1,REGULAR,turnover,bad pass,[],202691,,,1610612744,0,0,2022-03-15T02:10:53Z,100000,,,0,,K. Thompson bad pass TURNOVER (1 TO),"[202691, 203526]",1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,,,1.0,Neto,203526.0,,,,,,,,,,
11,PT11M33.00S,2022-03-15T02:10:51.6Z,1,REGULAR,steal,,[],203526,,,1610612764,0,0,2022-03-15T02:11:09Z,110000,,,0,,R. Neto STEAL (1 STL),[203526],1610612764.0,WAS,,,,Neto,R. Neto,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M29.00S,2022-03-15T02:10:55.8Z,1,REGULAR,turnover,lost ball,[],203526,,,1610612764,0,0,2022-03-15T02:10:57Z,120000,,,0,,R. Neto lost ball TURNOVER (1 TO),"[203526, 1629673]",1610612764.0,WAS,,,,Neto,R. Neto,,,,,,,,,,,,,1.0,Poole,1629673.0,,,,,,,,,,
13,PT11M29.00S,2022-03-15T02:10:55.8Z,1,REGULAR,steal,,[],1629673,,,1610612744,0,0,2022-03-15T02:18:32Z,130000,,,0,,J. Poole STEAL (1 STL),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M25.00S,2022-03-15T02:10:58.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630228,90.09526938239159,51.470588235294116,1610612744,2,0,2022-03-15T02:11:32Z,140000,7.0,41.0,1,right,J. Kuminga running Layup (2 PTS) (K. Thompson 1 AST),"[1630228, 202691]",1610612744.0,GSW,running,,,Kuminga,J. Kuminga,,,,,4.13,Made,,,,,,,,,,2.0,K. Thompson,202691.0,1.0,,,,,,
16,PT11M12.00S,2022-03-15T02:11:12.3Z,1,REGULAR,2pt,Jump Shot,[],203484,21.369908015768726,58.333333333333336,1610612764,2,0,2022-03-15T02:11:15Z,160000,-42.0,148.0,1,left,MISS K. Caldwell-Pope 15' pullup Shot,[203484],1610612764.0,WAS,pullup,,,Caldwell-Pope,K. Caldwell-Pope,,,,,15.41,Missed,,,,,,,,,,,,,,,,,,,
17,PT11M10.00S,2022-03-15T02:11:14.3Z,1,REGULAR,rebound,offensive,[],203484,,,1610612764,2,0,2022-03-15T02:13:13Z,170000,,,0,,K. Caldwell-Pope REBOUND (Off:1 Def:0),[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,16.0,1.0,0.0,1.0,,,,,,,,,,,,,
