actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-01-22T03:10:34.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-22T03:10:34Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-22T03:10:36.8Z,1,REGULAR,jumpball,recovered,[],1629645,,,1610612745,0,0,2022-01-22T03:10:36Z,40000,,,0,,Jump Ball C. Wood vs. K. Looney: Tip to K. Porter Jr.,"[1629645, 1626174, 1626172]",1610612745.0,HOU,startperiod,K. Porter Jr.,1629645.0,Porter Jr.,K. Porter Jr.,Wood,1626174.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-01-22T03:10:50.2Z,1,REGULAR,3pt,Jump Shot,[],1626174,33.590670170827856,47.794117647058826,1610612745,0,3,2022-01-22T03:10:52Z,70000,11.0,263.0,1,left,C. Wood 26' 3PT  (3 PTS) (K. Porter Jr. 1 AST),"[1626174, 1629645]",1610612745.0,HOU,,,,Wood,C. Wood,,,,,26.35,Made,3.0,K. Porter Jr.,1629645.0,1.0,,,,,,,,,,,,,,,
9,PT11M24.00S,2022-01-22T03:11:08.8Z,1,REGULAR,3pt,Jump Shot,[],203490,79.31997371879106,7.352941176470589,1610612744,0,3,2022-01-22T03:11:11Z,90000,-213.0,142.0,1,right,MISS O. Porter Jr. 25' 3PT,[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,25.61,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M21.00S,2022-01-22T03:11:12.1Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,0,3,2022-01-22T03:11:12Z,100000,,,0,,C. Wood REBOUND (Off:0 Def:1),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M11.00S,2022-01-22T03:11:23.5Z,1,REGULAR,foul,personal,[],201939,,,1610612745,0,3,2022-01-22T03:11:26Z,110000,,,0,,S. Curry personal FOUL (1 PF),"[201939, 1630224]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,101284.0,1.0,0.0,Green,1630224.0,,,,,,
13,PT11M01.00S,2022-01-22T03:11:51.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,8.09789750328515,39.46078431372549,1610612745,0,3,2022-01-22T03:12:05Z,130000,53.0,24.0,1,left,MISS J. Green driving Layup,[1630224],1610612745.0,HOU,driving,,,Green,J. Green,,,,,5.77,Missed,,,,,,,,,,,,,,,,,,,
14,PT11M00.00S,2022-01-22T03:11:52.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612745,0,3,2022-01-22T03:12:05Z,140000,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,
15,PT11M00.00S,2022-01-22T03:11:57.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612745,0,3,2022-01-22T03:11:57Z,150000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PT10M58.00S,2022-01-22T03:12:07.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630224,11.12023653088042,95.34313725490196,1610612745,0,3,2022-01-22T03:12:11Z,160000,-227.0,52.0,1,left,MISS J. Green 3PT,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,23.26,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M56.00S,2022-01-22T03:12:09.6Z,1,REGULAR,rebound,defensive,[],1629673,,,1610612744,0,3,2022-01-22T03:13:47Z,170000,,,0,,J. Poole REBOUND (Off:0 Def:1),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,
18,PT10M42.00S,2022-01-22T03:12:24.2Z,1,REGULAR,3pt,Jump Shot,[],203952,93.24901445466492,97.05882352941177,1610612744,0,3,2022-01-22T03:12:27Z,180000,235.0,11.0,1,right,MISS A. Wiggins step back 3PT,[203952],1610612744.0,GSW,step back,,,Wiggins,A. Wiggins,,,,,23.56,Missed,,,,,,,,,,,,,,,,,,,
19,PT10M40.00S,2022-01-22T03:12:26.2Z,1,REGULAR,rebound,defensive,[],1629645,,,1610612745,0,3,2022-01-22T03:13:43Z,190000,,,0,,K. Porter Jr. REBOUND (Off:0 Def:1),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,
20,PT10M27.00S,2022-01-22T03:12:39.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630256,6.389618922470433,58.57843137254902,1610612745,0,3,2022-01-22T03:12:43Z,200000,-43.0,8.0,1,left,MISS J. Tate cutting Layup,[1630256],1610612745.0,HOU,cutting,,,Tate,J. Tate,,,,,4.36,Missed,,,,,,,,,,,,,,,,,,,
21,PT10M25.00S,2022-01-22T03:12:41.5Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,0,3,2022-01-22T03:13:18Z,210000,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,
22,PT10M20.00S,2022-01-22T03:12:46.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203952,94.03745072273325,96.56862745098039,1610612744,3,3,2022-01-22T03:12:49Z,220000,233.0,4.0,1,right,A. Wiggins 3PT  (3 PTS) (O. Porter Jr. 1 AST),"[203952, 203490]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,23.28,Made,3.0,O. Porter Jr.,203490.0,1.0,,,,,,,,,,,,,,,
24,PT10M06.00S,2022-01-22T03:13:02.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,7.966491458607096,58.57843137254902,1610612745,3,3,2022-01-22T03:13:13Z,240000,-43.0,22.0,1,left,MISS J. Green driving Layup - blocked,"[1630224, 1626172]",1610612745.0,HOU,driving,,,Green,J. Green,,,,,4.84,Missed,,,,,,,,,,,,,,Looney,1626172.0,,,,
25,PT10M06.00S,2022-01-22T03:13:02.3Z,1,REGULAR,block,,[],1626172,,,1610612745,3,3,2022-01-22T03:13:05Z,250000,,,0,,K. Looney BLOCK (1 BLK),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,
26,PT10M05.00S,2022-01-22T03:13:03.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612745,3,3,2022-01-22T03:13:13Z,260000,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,
27,PT10M05.00S,2022-01-22T03:13:10.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612745,3,3,2022-01-22T03:13:10Z,270000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,PT09M55.00S,2022-01-22T03:13:29.1Z,1,REGULAR,foul,personal,['2freethrow'],1626172,,,1610612745,3,3,2022-01-22T03:13:35Z,280000,,,0,,K. Looney shooting personal FOUL (1 PF) (Wood 2 FT),"[1626172, 1626174]",1610612744.0,GSW,shooting,,,Looney,K. Looney,,,,,,,,,,,,,,,1193.0,1.0,0.0,Wood,1626174.0,,,,,,
30,PT09M55.00S,2022-01-22T03:13:53.3Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1626174,,,1610612745,3,4,2022-01-22T03:13:53Z,300000,,,0,,C. Wood Free Throw 1 of 2 (4 PTS),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
31,PT09M55.00S,2022-01-22T03:14:10.0Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1626174,,,1610612745,3,5,2022-01-22T03:14:10Z,310000,,,0,,C. Wood Free Throw 2 of 2 (5 PTS),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,Made,5.0,,,,,,,,,,,,,,,,,,
