actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-03-21T00:40:20.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-21T00:40:20Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-03-21T00:40:22.1Z,1,REGULAR,jumpball,recovered,[],1630563,,,1610612759,0,0,2022-03-21T00:40:22Z,40000,,,0,,Jump Ball J. Poeltl vs. K. Looney: Tip to J. Primo,"[1630563, 1627751, 1626172]",1610612759.0,SAS,startperiod,J. Primo,1630563.0,Primo,J. Primo,Poeltl,1627751.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-03-21T00:40:35.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627751,10.726018396846255,52.69607843137255,1610612759,0,2,2022-03-21T00:40:48Z,70000,-13.0,48.0,1,left,J. Poeltl cutting DUNK (2 PTS) (J. Primo 1 AST),"[1627751, 1630563]",1610612759.0,SAS,cutting,,,Poeltl,J. Poeltl,,,,,5.02,Made,2.0,J. Primo,1630563.0,1.0,,,,,,,,,,,,,,,
9,PT11M37.00S,2022-03-21T00:40:45.3Z,1,REGULAR,foul,offensive,[],203110,,,1610612744,0,2,2022-03-21T00:40:55Z,90000,,,0,,D. Green offensive FOUL (1 PF),"[203110, 1630563]",1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,201245.0,1.0,0.0,Primo,1630563.0,,,,,,,,,,
11,PT11M37.00S,2022-03-21T00:40:45.3Z,1,REGULAR,turnover,offensive foul,[],203110,,,1610612744,0,2,2022-03-21T00:40:45Z,110000,,,0,,D. Green offensive foul TURNOVER (1 TO),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,201245.0,,,,,1.0,,,,,,,,,
12,PT11M28.00S,2022-03-21T00:41:05.4Z,1,REGULAR,foul,personal,['2freethrow'],1626172,,,1610612759,0,2,2022-03-21T00:41:16Z,120000,,,0,,K. Looney shooting personal FOUL (1 PF) (Poeltl 2 FT),"[1626172, 1627751]",1610612744.0,GSW,shooting,,,Looney,K. Looney,,,,,,,,,,,201245.0,1.0,0.0,Poeltl,1627751.0,,,,,,,,,,
14,PT11M28.00S,2022-03-21T00:41:33.1Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1627751,,,1610612759,0,3,2022-03-21T00:41:33Z,140000,,,0,,J. Poeltl Free Throw 1 of 2 (3 PTS),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
15,PT11M28.00S,2022-03-21T00:41:50.1Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1627751,,,1610612759,0,3,2022-03-21T00:41:50Z,150000,,,0,,MISS J. Poeltl Free Throw 2 of 2,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,Missed,,,,,,,,,,,,,,,,,,,
16,PT11M27.00S,2022-03-21T00:41:50.7Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,0,3,2022-03-21T00:41:50Z,160000,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,
17,PT11M10.00S,2022-03-21T00:42:06.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203952,92.46057818659659,43.38235294117647,1610612744,0,3,2022-03-21T00:42:09Z,170000,-33.0,18.0,1,right,MISS A. Wiggins alley-oop Layup,[203952],1610612744.0,GSW,alley-oop,,,Wiggins,A. Wiggins,,,,,3.79,Missed,,,,,,,,,,,,,,,,,,,
