actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-01-30T01:41:21.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-30T01:41:21Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-30T01:41:23.5Z,1,REGULAR,jumpball,recovered,[],1630556,,,1610612751,0,0,2022-01-30T01:41:23Z,40000,,,0,,Jump Ball N. Claxton vs. K. Looney: Tip to K. Edwards,"[1630556, 1629651, 1626172]",1610612751.0,BKN,startperiod,K. Edwards,1630556.0,Edwards,K. Edwards,Claxton,1629651.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2022-01-30T01:41:33.7Z,1,REGULAR,3pt,Jump Shot,[],1630556,19.66162943495401,4.6568627450980395,1610612751,0,3,2022-01-30T01:41:37Z,70000,227.0,132.0,1,left,K. Edwards 26' 3PT  (3 PTS) (K. Irving 1 AST),"[1630556, 202681]",1610612751.0,BKN,,,,Edwards,K. Edwards,,,,,26.25,Made,3.0,K. Irving,202681.0,1.0,,,,,,,,,,,,,,,
9,PT11M26.00S,2022-01-30T01:41:54.8Z,1,REGULAR,turnover,lost ball,[],1626172,,,1610612744,0,3,2022-01-30T01:42:00Z,90000,,,0,,K. Looney lost ball TURNOVER (1 TO),"[1626172, 201988]",1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,1.0,Mills,201988.0,,,,,,,,,,,,
10,PT11M26.00S,2022-01-30T01:41:54.8Z,1,REGULAR,steal,,[],201988,,,1610612751,0,3,2022-01-30T01:41:58Z,100000,,,0,,P. Mills STEAL (1 STL),[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M20.00S,2022-01-30T01:42:00.9Z,1,REGULAR,turnover,bad pass,[],1630556,,,1610612751,0,3,2022-01-30T01:42:06Z,110000,,,0,,K. Edwards bad pass TURNOVER (1 TO),"[1630556, 201939]",1610612751.0,BKN,,,,Edwards,K. Edwards,,,,,,,,,,,1.0,Curry,201939.0,,,,,,,,,,,,
12,PT11M20.00S,2022-01-30T01:42:00.9Z,1,REGULAR,steal,,[],201939,,,1610612744,0,3,2022-01-30T01:42:04Z,120000,,,0,,S. Curry STEAL (1 STL),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M13.00S,2022-01-30T01:42:07.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203490,93.64323258869908,95.58823529411765,1610612744,0,3,2022-01-30T01:42:14Z,130000,228.0,7.0,1,right,MISS O. Porter Jr. 3PT,[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,22.8,Missed,,,,,,,,,,,,,,,,,,,
14,PT11M07.00S,2022-01-30T01:42:13.9Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,0,3,2022-01-30T01:42:14Z,140000,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,
15,PT11M01.00S,2022-01-30T01:42:18.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629651,13.222733245729303,52.94117647058824,1610612751,0,3,2022-01-30T01:42:29Z,150000,-15.0,72.0,1,left,MISS N. Claxton 7' driving floating Shot,[1629651],1610612751.0,BKN,driving floating,,,Claxton,N. Claxton,,,,,7.33,Missed,,,,,,,,,,,,,,,,,,,
