actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-04-03T00:40:25.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-03T00:40:25Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-04-03T00:40:27.5Z,1,REGULAR,jumpball,recovered,[],1626220,,,1610612762,0,0,2022-04-03T00:40:27Z,40000,,,0,,Jump Ball R. Gobert vs. K. Looney: Tip to R. O'Neale,"[1626220, 203497, 1626172]",1610612762.0,UTA,startperiod,R. O'Neale,1626220.0,O'Neale,R. O'Neale,Gobert,203497.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2022-04-03T00:40:38.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612762,0,0,2022-04-03T00:40:38Z,70000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2022-04-03T00:40:59.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202711,89.96386333771353,58.08823529411765,1610612762,0,2,2022-04-03T00:41:02Z,80000,40.0,42.0,1,right,B. Bogdanovic driving Layup (2 PTS) (R. Gobert 1 AST),"[202711, 203497]",1610612762.0,UTA,driving,,,Bogdanovic,B. Bogdanovic,,,,,5.81,Made,2.0,R. Gobert,203497.0,1.0,,,,,,,,,,,,,,,
10,PT11M30.00S,2022-04-03T00:41:12.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203952,11.645860709592641,35.53921568627451,1610612744,0,2,2022-04-03T00:41:15Z,100000,72.0,57.0,1,left,MISS A. Wiggins 9' driving floating Shot,[203952],1610612744.0,GSW,driving floating,,,Wiggins,A. Wiggins,,,,,9.21,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M28.00S,2022-04-03T00:41:14.7Z,1,REGULAR,rebound,offensive,[],1626172,,,1610612744,0,2,2022-04-03T00:45:36Z,110000,,,0,,K. Looney REBOUND (Off:1 Def:0),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,10.0,1.0,0.0,1.0,,,,,,,,,,,
12,PT11M23.00S,2022-04-03T00:41:20.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202691,27.283180026281208,82.35294117647058,1610612744,0,2,2022-04-03T00:41:22Z,120000,-162.0,204.0,1,left,MISS K. Thompson 26' 3PT,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,26.04,Missed,,,,,,,,,,,,,,,,,,,
13,PT11M21.00S,2022-04-03T00:41:22.0Z,1,REGULAR,rebound,defensive,[],203497,,,1610612762,0,2,2022-04-03T00:45:32Z,130000,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,
14,PT11M13.00S,2022-04-03T00:41:30.6Z,1,REGULAR,3pt,Jump Shot,[],1628378,85.10183968462549,96.07843137254902,1610612762,0,5,2022-04-03T00:41:33Z,140000,230.0,88.0,1,right,D. Mitchell 24' 3PT  (3 PTS) (B. Bogdanovic 1 AST),"[1628378, 202711]",1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,24.65,Made,3.0,B. Bogdanovic,202711.0,1.0,,,,,,,,,,,,,,,
16,PT11M01.00S,2022-04-03T00:41:48.0Z,1,REGULAR,foul,offensive,[],1629673,,,1610612744,0,5,2022-04-03T00:41:53Z,160000,,,0,,J. Poole offensive FOUL (1 PF),"[1629673, 1628378]",1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,202037.0,1.0,0.0,Mitchell,1628378.0,,,,,,
18,PT11M01.00S,2022-04-03T00:41:48.0Z,1,REGULAR,turnover,offensive foul,[],1629673,,,1610612744,0,5,2022-04-03T00:41:48Z,180000,,,0,,J. Poole offensive foul TURNOVER (1 TO),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,202037.0,,,,,1.0,,,,,
19,PT10M38.00S,2022-04-03T00:42:19.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",203497,91.93495400788436,52.69607843137255,1610612762,0,7,2022-04-03T00:43:27Z,190000,13.0,23.0,1,right,R. Gobert DUNK (2 PTS) (B. Bogdanovic 2 AST),"[203497, 202711]",1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,2.69,Made,2.0,B. Bogdanovic,202711.0,2.0,,,,,,,,,,,,,,,
21,PT10M24.00S,2022-04-03T00:42:33.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202691,16.507884362680684,51.9607843137255,1610612744,0,7,2022-04-03T00:42:36Z,210000,-10.0,103.0,1,left,MISS K. Thompson 10' fadeaway Shot,[202691],1610612744.0,GSW,fadeaway,,,Thompson,K. Thompson,,,,,10.32,Missed,,,,,,,,,,,,,,,,,,,
22,PT10M22.00S,2022-04-03T00:42:35.1Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612762,0,7,2022-04-03T00:45:27Z,220000,,,0,,R. O'Neale REBOUND (Off:0 Def:1),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,
