actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-11-09T03:10:58.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-09T03:10:58Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-11-09T03:11:00.5Z,1,REGULAR,jumpball,recovered,[],203110,,,1610612744,0,0,2021-11-09T03:11:00Z,40000,,,0,,Jump Ball K. Looney vs. C. Capela: Tip to D. Green,"[203110, 1626172, 203991]",1610612744.0,GSW,startperiod,D. Green,203110.0,Green,D. Green,Looney,1626172.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2021-11-09T03:11:12.4Z,1,REGULAR,3pt,Jump Shot,[],201939,68.15045992115637,72.79411764705883,1610612744,3,0,2021-11-09T03:11:15Z,70000,114.0,247.0,1,right,S. Curry 27' 3PT  (3 PTS) (D. Green 1 AST),"[201939, 203110]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,27.19,Made,3.0,D. Green,203110.0,1.0,,,,,,,,,,,,,,,
9,PT11M30.00S,2021-11-09T03:11:27.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629631,10.5946123521682,41.911764705882355,1610612737,3,0,2021-11-09T03:11:31Z,90000,40.0,47.0,1,left,MISS D. Hunter 6' driving Layup,[1629631],1610612737.0,ATL,driving,,,Hunter,D. Hunter,,,,,6.21,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M29.00S,2021-11-09T03:11:33.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612744,3,0,2021-11-09T03:11:33Z,100000,,,0,,TEAM defensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,
11,PT11M29.00S,2021-11-09T03:11:35.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612744,3,0,2021-11-09T03:11:35Z,110000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M20.00S,2021-11-09T03:11:43.1Z,1,REGULAR,3pt,Jump Shot,[],1629673,94.82588699080158,4.166666666666666,1610612744,3,0,2021-11-09T03:11:45Z,120000,-229.0,-4.0,1,right,MISS J. Poole 3PT,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,22.92,Missed,,,,,,,,,,,,,,,,,,,
13,PT11M17.00S,2021-11-09T03:11:46.4Z,1,REGULAR,rebound,offensive,[],1626172,,,1610612744,3,0,2021-11-09T03:11:46Z,130000,,,0,,K. Looney REBOUND (Off:1 Def:0),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,12.0,1.0,0.0,1.0,,,,,,,,,,,
14,PT11M16.00S,2021-11-09T03:11:47.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201939,63.15703022339028,50.98039215686274,1610612744,6,0,2021-11-09T03:11:50Z,140000,5.0,294.0,1,right,S. Curry 29' 3PT  (6 PTS) (K. Looney 1 AST),"[201939, 1626172]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,29.38,Made,6.0,K. Looney,1626172.0,1.0,,,,,,,,,,,,,,,
16,PT10M54.00S,2021-11-09T03:12:09.6Z,1,REGULAR,3pt,Jump Shot,[],1629631,14.931011826544022,3.9215686274509802,1610612737,6,0,2021-11-09T03:12:13Z,160000,230.0,88.0,1,left,MISS D. Hunter 24' step back 3PT,[1629631],1610612737.0,ATL,step back,,,Hunter,D. Hunter,,,,,24.66,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M52.00S,2021-11-09T03:12:11.6Z,1,REGULAR,rebound,defensive,[],203952,,,1610612744,6,0,2021-11-09T03:13:26Z,170000,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,
18,PT10M43.00S,2021-11-09T03:12:19.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201939,86.41590013140605,56.127450980392155,1610612744,6,0,2021-11-09T03:12:22Z,180000,31.0,75.0,1,right,MISS S. Curry 8' driving floating Shot,[201939],1610612744.0,GSW,driving floating,,,Curry,S. Curry,,,,,8.12,Missed,,,,,,,,,,,,,,,,,,,
19,PT10M40.00S,2021-11-09T03:12:24.2Z,1,REGULAR,rebound,offensive,[],201939,,,1610612744,6,0,2021-11-09T03:12:24Z,190000,,,0,,S. Curry REBOUND (Off:1 Def:0),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,18.0,1.0,0.0,1.0,,,,,,,,,,,
20,PT10M40.00S,2021-11-09T03:12:24.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201939,94.40999984741211,50.0,1610612744,8,0,2021-11-09T03:12:24Z,200000,0.0,0.0,1,right,S. Curry putback Layup (8 PTS),[201939],1610612744.0,GSW,putback,,,Curry,S. Curry,,,,,0.0,Made,8.0,,,,,,,,,,,,,,,,,,
