actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-01-10T01:41:21.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-10T01:41:21Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-01-10T01:41:23.6Z,1,REGULAR,jumpball,recovered,[],1629636,,,1610612739,0,0,2022-01-10T01:41:23Z,40000,,,0,,Jump Ball J. Allen vs. K. Looney: Tip to D. Garland,"[1629636, 1628386, 1626172]",1610612739.0,CLE,startperiod,D. Garland,1629636.0,Garland,D. Garland,Allen,1628386.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M53.00S,2022-01-10T01:41:29.4Z,1,REGULAR,foul,personal,[],203110,,,1610612739,0,0,2022-01-10T01:41:34Z,70000,,,0,,D. Green take personal FOUL (1 PF),"[203110, 1629636]",1610612744.0,GSW,take,,,Green,D. Green,,,,,2882.0,1.0,0.0,Garland,1629636.0,,,,,,,,,,,,,,,,
9,PT11M53.00S,2022-01-10T01:41:38.4Z,1,REGULAR,substitution,out,[],203110,,,1610612739,0,0,2022-01-10T01:41:41Z,90000,,,0,,SUB out: D. Green,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M53.00S,2022-01-10T01:41:38.4Z,1,REGULAR,substitution,in,[],1629308,,,1610612739,0,0,2022-01-10T01:41:41Z,100000,,,0,,SUB in: J. Toscano-Anderson,[1629308],1610612744.0,GSW,,,,Toscano-Anderson,J. Toscano-Anderson,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M35.00S,2022-01-10T01:42:04.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628386,10.33180026281209,56.127450980392155,1610612739,0,2,2022-01-10T01:42:08Z,110000,-31.0,45.0,1,left,J. Allen turnaround Hook (2 PTS),[1628386],1610612739.0,CLE,turnaround,,,Allen,J. Allen,,,,,,,,,,5.41,Made,2.0,,,,,,,,,,,,,
12,PT11M20.00S,2022-01-10T01:42:19.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202691,89.70105124835742,58.08823529411765,1610612744,2,2,2022-01-10T01:42:23Z,120000,40.0,44.0,1,right,K. Thompson 6' driving floating Jump Shot (2 PTS) (A. Wiggins 1 AST),"[202691, 203952]",1610612744.0,GSW,driving floating,,,Thompson,K. Thompson,,,,,,,,,,6.0,Made,2.0,A. Wiggins,203952.0,1.0,,,,,,,,,,
15,PT11M11.00S,2022-01-10T01:42:29.0Z,1,REGULAR,foul,personal,['2freethrow'],1626172,,,1610612739,2,2,2022-01-10T01:42:38Z,150000,,,0,,K. Looney shooting personal FOUL (1 PF) (Allen 2 FT),"[1626172, 1628386]",1610612744.0,GSW,shooting,,,Looney,K. Looney,,,,,1363.0,1.0,0.0,Allen,1628386.0,,,,,,,,,,,,,,,,
17,PT11M11.00S,2022-01-10T01:42:54.4Z,1,REGULAR,freethrow,1 of 2,[],1628386,,,1610612739,2,2,2022-01-10T01:42:54Z,170000,,,0,,MISS J. Allen Free Throw 1 of 2,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,Missed,,,,,,,,,,,,,,
18,PT11M11.00S,2022-01-10T01:42:54.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612739,2,2,2022-01-10T01:42:54Z,180000,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,
19,PT11M11.00S,2022-01-10T01:43:08.1Z,1,REGULAR,freethrow,2 of 2,[],1628386,,,1610612739,2,3,2022-01-10T01:43:08Z,190000,,,0,,J. Allen Free Throw 2 of 2 (3 PTS),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,
20,PT11M01.00S,2022-01-10T01:43:21.2Z,1,REGULAR,3pt,Jump Shot,[],202691,67.88764783180025,28.921568627450984,1610612744,2,3,2022-01-10T01:43:24Z,200000,-105.0,249.0,1,right,MISS K. Thompson 27' 3PT,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,27.08,Missed,,,,,,,,,,,,,,
21,PT10M59.00S,2022-01-10T01:43:23.2Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,2,3,2022-01-10T01:56:07Z,210000,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,,,,,20.0,1.0,1.0,0.0,,,,,,
22,PT10M53.00S,2022-01-10T01:43:30.7Z,1,REGULAR,violation,kicked ball,[],201939,,,1610612739,2,3,2022-01-10T01:43:33Z,220000,,,0,,S. Curry kicked ball VIOLATION,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,1628171.0,,,,,,,,,,,,,,,,,,,,
23,PT10M42.00S,2022-01-10T01:43:50.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630596,10.85742444152431,36.51960784313725,1610612739,2,3,2022-01-10T01:43:53Z,230000,67.0,50.0,1,left,MISS E. Mobley 8' turnaround Hook,[1630596],1610612739.0,CLE,turnaround,,,Mobley,E. Mobley,,,,,,,,,,8.37,Missed,,,,,,,,,,,,,,
24,PT10M40.00S,2022-01-10T01:43:52.7Z,1,REGULAR,rebound,defensive,[],1629308,,,1610612744,2,3,2022-01-10T01:51:20Z,240000,,,0,,J. Toscano-Anderson REBOUND (Off:0 Def:1),[1629308],1610612744.0,GSW,,,,Toscano-Anderson,J. Toscano-Anderson,,,,,,,,,,,,,,,,23.0,1.0,1.0,0.0,,,,,,
25,PT10M32.00S,2022-01-10T01:44:00.4Z,1,REGULAR,turnover,bad pass,[],201939,,,1610612744,2,3,2022-01-10T01:44:02Z,250000,,,0,,S. Curry bad pass TURNOVER (1 TO),"[201939, 1630596]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,1.0,Mobley,1630596.0,,,
26,PT10M32.00S,2022-01-10T01:44:00.4Z,1,REGULAR,steal,,[],1630596,,,1610612739,2,3,2022-01-10T01:50:57Z,260000,,,0,,E. Mobley STEAL (1 STL),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT10M26.00S,2022-01-10T01:44:06.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629636,10.5946123521682,38.72549019607843,1610612739,2,3,2022-01-10T01:45:34Z,270000,56.0,47.0,1,left,MISS D. Garland 7' driving Layup,[1629636],1610612739.0,CLE,driving,,,Garland,D. Garland,,,,,,,,,,7.35,Missed,,,,,,,,,,,,,,
28,PT10M23.00S,2022-01-10T01:44:10.5Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,2,3,2022-01-10T01:44:10Z,280000,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,27.0,1.0,1.0,0.0,,,,,,
29,PT10M14.00S,2022-01-10T01:44:19.2Z,1,REGULAR,turnover,bad pass,[],201939,,,1610612744,2,3,2022-01-10T01:44:20Z,290000,,,0,,S. Curry bad pass TURNOVER (2 TO),"[201939, 1630205]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,2.0,Stevens,1630205.0,,,
30,PT10M14.00S,2022-01-10T01:44:19.2Z,1,REGULAR,steal,,[],1630205,,,1610612739,2,3,2022-01-10T01:44:22Z,300000,,,0,,L. Stevens STEAL (1 STL),[1630205],1610612739.0,CLE,,,,Stevens,L. Stevens,,,,,,,,,,,,,,,,,,,,,,,,,
31,PT10M09.00S,2022-01-10T01:44:23.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630205,8.492115637319317,49.26470588235294,1610612739,2,5,2022-01-10T01:46:14Z,310000,4.0,27.0,1,left,L. Stevens running DUNK (2 PTS),[1630205],1610612739.0,CLE,running,,,Stevens,L. Stevens,,,,,,,,,,2.75,Made,2.0,,,,,,,,,,,,,
32,PT09M59.00S,2022-01-10T01:44:34.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203952,92.59198423127464,53.92156862745098,1610612744,4,5,2022-01-10T01:44:37Z,320000,20.0,17.0,1,right,A. Wiggins driving DUNK (2 PTS),[203952],1610612744.0,GSW,driving,,,Wiggins,A. Wiggins,,,,,,,,,,2.6,Made,2.0,,,,,,,,,,,,,
