actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2021-11-13T03:15:46.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-13T03:15:46Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-11-13T03:15:48.2Z,1,REGULAR,jumpball,recovered,[],1628366,,,1610612741,0,0,2021-11-13T03:15:48Z,40000,,,0,,Jump Ball T. Bradley vs. K. Looney: Tip to L. Ball,"[1628366, 1628396, 1626172]",1610612741.0,CHI,startperiod,L. Ball,1628366.0,Ball,L. Ball,Bradley,1628396.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2021-11-13T03:16:10.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629750,93.38042049934296,54.65686274509803,1610612741,0,2,2021-11-13T03:16:15Z,80000,23.0,10.0,1,right,J. Green driving Layup (2 PTS) (D. DeRozan 1 AST),"[1629750, 201942]",1610612741.0,CHI,driving,,,Green,J. Green,,,,,2.52,Made,2.0,D. DeRozan,201942.0,1.0,,,,,,,,,,,,,,,
10,PT11M17.00S,2021-11-13T03:16:27.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626172,5.206964520367937,44.6078431372549,1610612744,2,2,2021-11-13T03:16:30Z,100000,27.0,-4.0,1,left,K. Looney cutting Layup (2 PTS) (D. Green 1 AST),"[1626172, 203110]",1610612744.0,GSW,cutting,,,Looney,K. Looney,,,,,2.72,Made,2.0,D. Green,203110.0,1.0,,,,,,,,,,,,,,,
12,PT11M01.00S,2021-11-13T03:16:44.6Z,1,REGULAR,2pt,Jump Shot,[],201942,78.0059132720105,26.96078431372549,1610612741,2,2,2021-11-13T03:16:48Z,120000,-115.0,154.0,1,right,MISS D. DeRozan 19' pullup Shot,[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,19.25,Missed,,,,,,,,,,,,,,,,,,,
13,PT10M59.00S,2021-11-13T03:16:46.6Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,2,2,2021-11-13T03:18:16Z,130000,,,0,,S. Curry REBOUND (Off:0 Def:1),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,
14,PT10M53.00S,2021-11-13T03:16:52.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201939,33.98488830486202,49.26470588235294,1610612744,5,2,2021-11-13T03:16:57Z,140000,4.0,267.0,1,left,S. Curry 26' 3PT  (3 PTS),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,26.7,Made,3.0,,,,,,,,,,,,,,,,,,
15,PT10M35.00S,2021-11-13T03:17:12.5Z,1,REGULAR,turnover,out-of-bounds,[],1628396,,,1610612741,5,2,2021-11-13T03:17:14Z,150000,,,0,,T. Bradley bad pass out-of-bounds TURNOVER (1 TO),[1628396],1610612741.0,CHI,bad pass,,,Bradley,T. Bradley,,,,,,,,,,,,,,,202007.0,1.0,,,,,,,,,
16,PT10M23.00S,2021-11-13T03:17:28.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201939,24.392247043363994,87.00980392156863,1610612744,5,2,2021-11-13T03:17:31Z,160000,-185.0,177.0,1,left,MISS S. Curry 25' pullup 3PT,[201939],1610612744.0,GSW,pullup,,,Curry,S. Curry,,,,,25.59,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M21.00S,2021-11-13T03:17:30.6Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,5,2,2021-11-13T03:17:49Z,170000,,,0,,Z. LaVine REBOUND (Off:0 Def:1),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,
18,PT10M12.00S,2021-11-13T03:17:39.7Z,1,REGULAR,2pt,Jump Shot,[],203897,74.32654402102497,47.549019607843135,1610612741,5,4,2021-11-13T03:17:42Z,180000,-12.0,189.0,1,right,Z. LaVine 18' pullup Jump Shot (2 PTS),[203897],1610612741.0,CHI,pullup,,,LaVine,Z. LaVine,,,,,18.92,Made,2.0,,,,,,,,,,,,,,,,,,
19,PT09M51.00S,2021-11-13T03:18:03.8Z,1,REGULAR,turnover,traveling,[],201939,,,1610612744,5,4,2021-11-13T03:18:06Z,190000,,,0,,S. Curry traveling TURNOVER (1 TO),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,202037.0,1.0,,,,,,,,,
20,PT09M38.00S,2021-11-13T03:18:30.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629750,83.65637319316689,51.225490196078425,1610612741,5,4,2021-11-13T03:18:33Z,200000,6.0,101.0,1,right,MISS J. Green 10' pullup Shot - blocked,"[1629750, 201939]",1610612741.0,CHI,pullup,,,Green,J. Green,,,,,10.13,Missed,,,,,,,,,,,Curry,201939.0,,,,,,,
21,PT09M38.00S,2021-11-13T03:18:30.6Z,1,REGULAR,block,,[],201939,,,1610612741,5,4,2021-11-13T03:18:34Z,210000,,,0,,S. Curry BLOCK (1 BLK),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,
22,PT09M36.00S,2021-11-13T03:18:32.6Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,5,4,2021-11-13T03:19:14Z,220000,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,
23,PT09M32.00S,2021-11-13T03:18:36.1Z,1,REGULAR,turnover,out-of-bounds,[],203110,,,1610612744,5,4,2021-11-13T03:18:40Z,230000,,,0,,D. Green bad pass out-of-bounds TURNOVER (1 TO),[203110],1610612744.0,GSW,bad pass,,,Green,D. Green,,,,,,,,,,,,,,,201639.0,1.0,,,,,,,,,
24,PT09M23.00S,2021-11-13T03:18:51.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629750,93.77463863337714,95.58823529411765,1610612741,5,4,2021-11-13T03:18:53Z,240000,228.0,6.0,1,right,MISS J. Green 3PT,[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,22.8,Missed,,,,,,,,,,,,,,,,,,,
25,PT09M21.00S,2021-11-13T03:18:53.0Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,5,4,2021-11-13T03:19:09Z,250000,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,
26,PT09M14.00S,2021-11-13T03:19:02.0Z,1,REGULAR,turnover,out-of-bounds,[],1629673,,,1610612744,5,4,2021-11-13T03:19:04Z,260000,,,0,,J. Poole bad pass out-of-bounds TURNOVER (1 TO),[1629673],1610612744.0,GSW,bad pass,,,Poole,J. Poole,,,,,,,,,,,,,,,201639.0,1.0,,,,,,,,,
27,PT08M56.00S,2021-11-13T03:19:24.1Z,1,REGULAR,turnover,lost ball,[],203897,,,1610612741,5,4,2021-11-13T03:25:56Z,270000,,,0,,Z. LaVine lost ball TURNOVER (1 TO),"[203897, 1629673]",1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,1.0,,,Poole,1629673.0,,,,,
28,PT08M56.00S,2021-11-13T03:19:24.1Z,1,REGULAR,steal,,[],1629673,,,1610612744,5,4,2021-11-13T03:19:26Z,280000,,,0,,J. Poole STEAL (1 STL),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT08M51.00S,2021-11-13T03:19:35.8Z,1,REGULAR,turnover,bad pass,[],1629673,,,1610612744,5,4,2021-11-13T03:26:34Z,290000,,,0,,J. Poole bad pass TURNOVER (2 TO),"[1629673, 1628366]",1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,201639.0,2.0,,,Ball,1628366.0,,,,,
54,PT08M51.00S,2021-11-13T03:19:35.8Z,1,REGULAR,steal,,[],1628366,,,1610612741,5,4,2021-11-13T03:26:34Z,295000,,,0,,L. Ball STEAL (1 STL),[1628366],1610612741.0,CHI,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT08M49.00S,2021-11-13T03:19:55.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612741,5,4,2021-11-13T03:27:06Z,297500,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT08M41.00S,2021-11-13T03:20:15.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203897,65.25952693823915,47.794117647058826,1610612741,5,7,2021-11-13T03:20:18Z,300000,-11.0,274.0,1,right,Z. LaVine 27' 3PT pullup (5 PTS),[203897],1610612741.0,CHI,pullup,,,LaVine,Z. LaVine,,,,,27.43,Made,5.0,,,,,,,,,,,,,,,,,,
31,PT08M28.00S,2021-11-13T03:20:26.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626172,8.09789750328515,44.11764705882353,1610612744,5,7,2021-11-13T03:20:29Z,310000,29.0,24.0,1,left,MISS K. Looney cutting Layup,[1626172],1610612744.0,GSW,cutting,,,Looney,K. Looney,,,,,3.77,Missed,,,,,,,,,,,,,,,,,,,
32,PT08M25.00S,2021-11-13T03:20:30.3Z,1,REGULAR,rebound,defensive,[],1628396,,,1610612741,5,7,2021-11-13T03:20:30Z,320000,,,0,,T. Bradley REBOUND (Off:0 Def:1),[1628396],1610612741.0,CHI,,,,Bradley,T. Bradley,,,,,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,,,
33,PT08M19.00S,2021-11-13T03:20:36.8Z,1,REGULAR,2pt,Jump Shot,[],203897,92.59198423127464,16.666666666666664,1610612741,5,7,2021-11-13T03:20:41Z,330000,-167.0,17.0,1,right,MISS Z. LaVine 16' step back Shot,[203897],1610612741.0,CHI,step back,,,LaVine,Z. LaVine,,,,,16.76,Missed,,,,,,,,,,,,,,,,,,,
34,PT08M17.00S,2021-11-13T03:20:38.8Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,5,7,2021-11-13T03:22:46Z,340000,,,0,,K. Looney REBOUND (Off:0 Def:2),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,33.0,2.0,2.0,0.0,,,,,,,,,,,
35,PT07M56.00S,2021-11-13T03:20:59.6Z,1,REGULAR,3pt,Jump Shot,[],1629673,35.56176084099869,48.529411764705884,1610612744,5,7,2021-11-13T03:21:03Z,350000,7.0,282.0,1,left,MISS J. Poole 28' pullup 3PT,[1629673],1610612744.0,GSW,pullup,,,Poole,J. Poole,,,,,28.19,Missed,,,,,,,,,,,,,,,,,,,
36,PT07M54.00S,2021-11-13T03:21:01.6Z,1,REGULAR,rebound,defensive,[],1628396,,,1610612741,5,7,2021-11-13T03:22:25Z,360000,,,0,,T. Bradley REBOUND (Off:0 Def:2),[1628396],1610612741.0,CHI,,,,Bradley,T. Bradley,,,,,,,,,,,35.0,2.0,2.0,0.0,,,,,,,,,,,
37,PT07M44.00S,2021-11-13T03:21:11.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201942,80.55190538764782,39.740349264705884,1610612741,5,9,2021-11-13T03:21:25Z,370000,-51.0,130.0,1,right,D. DeRozan 14' pullup Jump Shot (2 PTS),[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,14.0,Made,2.0,,,,,,,,,,,,,,,,,,
38,PT07M23.00S,2021-11-13T03:21:36.0Z,1,REGULAR,turnover,out-of-bounds,[],203952,,,1610612744,5,9,2021-11-13T03:21:54Z,380000,,,0,,A. Wiggins lost ball out-of-bounds TURNOVER (1 TO),[203952],1610612744.0,GSW,lost ball,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,202007.0,1.0,,,,,,,,,
39,PT07M14.00S,2021-11-13T03:21:55.6Z,1,REGULAR,foul,personal,['2freethrow'],203952,,,1610612741,5,9,2021-11-13T03:22:08Z,390000,,,0,,A. Wiggins shooting personal FOUL (1 PF) (LaVine 2 FT),"[203952, 203897]",1610612744.0,GSW,shooting,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,202007.0,,,,,,1.0,0.0,LaVine,203897.0,
41,PT07M14.00S,2021-11-13T03:22:26.7Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203897,,,1610612741,5,9,2021-11-13T03:22:26Z,410000,,,0,,MISS Z. LaVine Free Throw 1 of 2,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,Missed,,,,,,,,,,,,,,,,,,,
