actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-11-22T01:40:55.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-22T01:40:55Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-11-22T01:40:58.1Z,1,REGULAR,jumpball,recovered,[],203110,,,1610612744,0,0,2021-11-22T01:40:58Z,40000,,,0,,Jump Ball K. Looney vs. S. Barnes: Tip to D. Green,"[203110, 1626172, 1630567]",1610612744.0,GSW,startperiod,D. Green,203110.0,Green,D. Green,Looney,1626172.0,Barnes,1630567.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2021-11-22T01:41:11.5Z,1,REGULAR,3pt,Jump Shot,[],201939,83.26215505913272,4.6568627450980395,1610612744,0,0,2021-11-22T01:41:15Z,70000,-227.0,105.0,1,right,MISS S. Curry 24' 3PT - blocked,"[201939, 1627832]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,24.98,Missed,VanVleet,1627832.0,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2021-11-22T01:41:11.5Z,1,REGULAR,block,,[],1627832,,,1610612744,0,0,2021-11-22T01:41:16Z,80000,,,0,,F. VanVleet BLOCK (1 BLK),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M42.00S,2021-11-22T01:41:17.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612744,0,0,2021-11-22T01:41:17Z,90000,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,
10,PT11M42.00S,2021-11-22T01:41:18.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612744,0,0,2021-11-22T01:41:18Z,100000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M38.00S,2021-11-22T01:41:35.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629673,95.3515111695138,95.83333333333334,1610612744,3,0,2021-11-22T01:41:38Z,110000,229.0,-9.0,1,right,J. Poole 3PT  (3 PTS) (S. Curry 1 AST),"[1629673, 201939]",1610612744.0,GSW,,,,Poole,J. Poole,,,,,22.94,Made,,,,3.0,S. Curry,201939.0,1.0,,,,,,,,,,,,
13,PT11M17.00S,2021-11-22T01:41:56.2Z,1,REGULAR,3pt,Jump Shot,[],1627783,8.754927726675426,3.431372549019608,1610612761,3,0,2021-11-22T01:41:59Z,130000,233.0,30.0,1,left,MISS P. Siakam 3PT,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,23.47,Missed,,,,,,,,,,,,,,,,,,,
14,PT11M14.00S,2021-11-22T01:42:00.5Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,3,0,2021-11-22T01:42:00Z,140000,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,13.0,,,,,1.0,1.0,0.0,,,,,,,,,
15,PT10M58.00S,2021-11-22T01:42:15.9Z,1,REGULAR,foul,personal,['2freethrow'],1630567,,,1610612744,3,0,2021-11-22T01:42:24Z,150000,,,0,,S. Barnes shooting personal FOUL (1 PF) (Poole 2 FT),"[1630567, 1629673]",1610612761.0,TOR,shooting,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,1662.0,1.0,0.0,Poole,1629673.0,,,,
17,PT10M58.00S,2021-11-22T01:42:45.8Z,1,REGULAR,freethrow,1 of 2,[],1629673,,,1610612744,4,0,2021-11-22T01:42:45Z,170000,,,0,,J. Poole Free Throw 1 of 2 (4 PTS),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,Made,,,,4.0,,,,,,,,,,,,,,,
18,PT10M58.00S,2021-11-22T01:43:00.1Z,1,REGULAR,freethrow,2 of 2,[],1629673,,,1610612744,5,0,2021-11-22T01:43:00Z,180000,,,0,,J. Poole Free Throw 2 of 2 (5 PTS),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,Made,,,,5.0,,,,,,,,,,,,,,,
19,PT10M37.00S,2021-11-22T01:43:22.6Z,1,REGULAR,3pt,Jump Shot,[],1629018,28.465834428383708,18.872549019607842,1610612761,5,0,2021-11-22T01:43:26Z,190000,156.0,215.0,1,left,MISS G. Trent Jr. 26' step back 3PT,[1629018],1610612761.0,TOR,step back,,,Trent Jr.,G. Trent Jr.,,,,,26.55,Missed,,,,,,,,,,,,,,,,,,,
20,PT10M35.00S,2021-11-22T01:43:24.6Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,5,0,2021-11-22T01:44:07Z,200000,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,19.0,,,,,1.0,1.0,0.0,,,,,,,,,
21,PT10M23.00S,2021-11-22T01:43:36.1Z,1,REGULAR,turnover,bad pass,[],201939,,,1610612744,5,0,2021-11-22T01:43:37Z,210000,,,0,,S. Curry bad pass TURNOVER (1 TO),"[201939, 1630567]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,1.0,Barnes,1630567.0,
