actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-02-04T03:10:37.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-04T03:10:37Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-02-04T03:10:39.6Z,1,REGULAR,jumpball,recovered,[],203084,,,1610612758,0,0,2022-02-04T03:10:39Z,40000,,,0,,Jump Ball R. Holmes vs. K. Looney: Tip to H. Barnes,"[203084, 1626158, 1626172]",1610612758.0,SAC,startperiod,H. Barnes,203084.0,Barnes,H. Barnes,Holmes,1626158.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-02-04T03:10:53.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203084,10.200394218134035,41.911764705882355,1610612758,0,2,2022-02-04T03:10:57Z,70000,40.0,43.0,1,left,H. Barnes driving Layup (2 PTS) (R. Holmes 1 AST),"[203084, 1626158]",1610612758.0,SAC,driving,,,Barnes,H. Barnes,,,,,5.93,Made,2.0,R. Holmes,1626158.0,1.0,,,,,,,,,,,,,,,
8,PT11M43.00S,2022-02-04T03:10:58.9Z,1,REGULAR,foul,personal,['1freethrow'],201939,,,1610612758,0,2,2022-02-04T03:11:10Z,80000,,,0,,S. Curry shooting personal FOUL (1 PF) (Barnes 1 FT),"[201939, 203084]",1610612744.0,GSW,shooting,,,Curry,S. Curry,,,,,,,,,,,2714.0,1.0,0.0,Barnes,203084.0,,,,,,,,,,
10,PT11M43.00S,2022-02-04T03:11:20.2Z,1,REGULAR,freethrow,1 of 1,[],203084,,,1610612758,0,2,2022-02-04T03:11:20Z,100000,,,0,,MISS H. Barnes Free Throw 1 of 1,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M41.00S,2022-02-04T03:11:21.4Z,1,REGULAR,rebound,defensive,[],202691,,,1610612744,0,2,2022-02-04T03:11:21Z,110000,,,0,,K. Thompson REBOUND (Off:0 Def:1),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,
13,PT11M22.00S,2022-02-04T03:11:42.1Z,1,REGULAR,foul,personal,['2freethrow'],203084,,,1610612744,0,2,2022-02-04T03:11:49Z,120000,,,0,,H. Barnes shooting personal FOUL (1 PF) (Looney 2 FT),"[203084, 1626172]",1610612758.0,SAC,shooting,,,Barnes,H. Barnes,,,,,,,,,,,203592.0,1.0,0.0,Looney,1626172.0,,,,,,,,,,
15,PT11M22.00S,2022-02-04T03:12:01.8Z,1,REGULAR,freethrow,1 of 2,[],1626172,,,1610612744,0,2,2022-02-04T03:12:01Z,140000,,,0,,MISS K. Looney Free Throw 1 of 2,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,Missed,,,,,,,,,,,,,,,,,,,
16,PT11M22.00S,2022-02-04T03:12:01.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612744,0,2,2022-02-04T03:12:01Z,150000,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,
17,PT11M22.00S,2022-02-04T03:12:16.1Z,1,REGULAR,freethrow,2 of 2,[],1626172,,,1610612744,1,2,2022-02-04T03:12:16Z,160000,,,0,,K. Looney Free Throw 2 of 2 (1 PTS),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
18,PT11M09.00S,2022-02-04T03:12:29.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630169,15.719448094612352,50.49019607843137,1610612758,1,2,2022-02-04T03:12:32Z,170000,-2.0,95.0,1,left,MISS T. Haliburton 9' driving floating Shot,[1630169],1610612758.0,SAC,driving floating,,,Haliburton,T. Haliburton,,,,,9.53,Missed,,,,,,,,,,,,,,,,,,,
