actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-02-28T00:45:52.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-28T00:45:52Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-02-28T00:45:55.6Z,1,REGULAR,jumpball,recovered,[],203493,,,1610612742,0,0,2022-02-28T00:45:55Z,40000,,,0,,Jump Ball D. Powell vs. K. Looney: Tip to R. Bullock,"[203493, 203939, 1626172]",1610612742.0,DAL,startperiod,R. Bullock,203493.0,Bullock,R. Bullock,Powell,203939.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-02-28T00:46:09.6Z,1,REGULAR,foul,personal,[],1627780,,,1610612742,0,0,2022-02-28T00:46:23Z,70000,,,0,,G. Payton II personal FOUL (1 PF),"[1627780, 1628973]",1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,1201.0,1.0,0.0,Brunson,1628973.0,,,,,,,,,,,,,,,,
9,PT11M36.00S,2022-02-28T00:46:34.3Z,1,REGULAR,turnover,bad pass,[],1629029,,,1610612742,0,0,2022-02-28T00:46:39Z,90000,,,0,,L. Doncic bad pass TURNOVER (1 TO),"[1629029, 1626172]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,1.0,Looney,1626172.0,,,,,,,,,,,,,
10,PT11M36.00S,2022-02-28T00:46:34.3Z,1,REGULAR,steal,,[],1626172,,,1610612744,0,0,2022-02-28T00:46:36Z,100000,,,0,,K. Looney STEAL (1 STL),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M31.00S,2022-02-28T00:46:39.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630541,93.77463863337714,50.245098039215684,1610612744,0,0,2022-02-28T00:47:54Z,110000,1.0,6.0,1,right,MISS M. Moody running Layup,[1630541],1610612744.0,GSW,running,,,Moody,M. Moody,,,,,,,,,,,,,0.61,Missed,,,,,,,,,,,
12,PT11M24.00S,2022-02-28T00:46:45.7Z,1,REGULAR,rebound,defensive,[],203493,,,1610612742,0,0,2022-02-28T00:46:45Z,120000,,,0,,R. Bullock REBOUND (Off:0 Def:1),[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,
13,PT11M07.00S,2022-02-28T00:47:03.2Z,1,REGULAR,2pt,Jump Shot,[],1629029,6.915243101182654,31.127450980392158,1610612742,0,0,2022-02-28T00:48:21Z,130000,94.0,13.0,1,left,MISS L. Doncic 9' driving floating Shot,[1629029],1610612742.0,DAL,driving floating,,,Doncic,L. Doncic,,,,,,,,,,,,,9.52,Missed,,,,,,,,,,,
14,PT11M03.00S,2022-02-28T00:47:07.2Z,1,REGULAR,rebound,offensive,[],203939,,,1610612742,0,0,2022-02-28T00:47:13Z,140000,,,0,,D. Powell REBOUND (Off:1 Def:0),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,13.0,1.0,0.0,1.0,,,,,,,
15,PT11M01.00S,2022-02-28T00:47:09.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1627827,11.12023653088042,49.26470588235294,1610612742,0,0,2022-02-28T00:48:46Z,150000,4.0,52.0,1,left,MISS D. Finney-Smith driving floating Shot,[1627827],1610612742.0,DAL,driving floating,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,5.21,Missed,,,,,,,,,,,
16,PT11M01.00S,2022-02-28T00:47:09.3Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,0,0,2022-02-28T00:47:20Z,160000,,,0,,S. Curry REBOUND (Off:0 Def:1),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,
17,PT10M43.00S,2022-02-28T00:47:32.7Z,1,REGULAR,foul,personal,[],1628973,,,1610612744,0,0,2022-02-28T00:47:42Z,170000,,,0,,J. Brunson personal FOUL (1 PF),"[1628973, 1626172]",1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,202049.0,1.0,0.0,Looney,1626172.0,,,,,,,,,,,,,,,,
19,PT10M35.00S,2022-02-28T00:47:56.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627780,88.64980289093299,45.588235294117645,1610612744,2,0,2022-02-28T00:48:03Z,190000,-22.0,54.0,1,right,G. Payton II cutting Layup (2 PTS) (S. Curry 1 AST),"[1627780, 201939]",1610612744.0,GSW,cutting,,,Payton II,G. Payton II,,,,,,,,,,,,,5.85,Made,,,,,2.0,S. Curry,201939.0,1.0,,,
21,PT10M24.00S,2022-02-28T00:48:07.8Z,1,REGULAR,turnover,bad pass,[],203493,,,1610612742,2,0,2022-02-28T00:50:21Z,210000,,,0,,R. Bullock bad pass TURNOVER (1 TO),"[203493, 1627780]",1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,,,,1.0,Payton II,1627780.0,,,,,,,,,,,,,
22,PT10M24.00S,2022-02-28T00:48:07.8Z,1,REGULAR,steal,,[],1627780,,,1610612744,2,0,2022-02-28T00:48:11Z,220000,,,0,,G. Payton II STEAL (1 STL),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,,
23,PT10M19.00S,2022-02-28T00:48:13.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",201939,93.38042049934296,50.98039215686274,1610612744,4,0,2022-02-28T00:51:40Z,230000,5.0,10.0,1,right,S. Curry running Layup (2 PTS),[201939],1610612744.0,GSW,running,,,Curry,S. Curry,,,,,,,,,,,,,1.09,Made,,,,,2.0,,,,,,
25,PT09M56.00S,2022-02-28T00:48:35.7Z,1,REGULAR,3pt,Jump Shot,[],1629029,6.783837056504599,3.9215686274509802,1610612742,4,0,2022-02-28T00:48:43Z,250000,230.0,11.0,1,left,MISS L. Doncic 3PT,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,23.07,Missed,,,,,,,,,,,
26,PT09M52.00S,2022-02-28T00:48:39.7Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,4,0,2022-02-28T00:48:43Z,260000,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,25.0,1.0,1.0,0.0,,,,,,,
27,PT09M37.00S,2022-02-28T00:48:54.1Z,1,REGULAR,2pt,Jump Shot,[],203952,87.59855453350855,79.90196078431373,1610612744,4,0,2022-02-28T00:53:13Z,270000,150.0,64.0,1,right,MISS A. Wiggins 16' step back Shot,[203952],1610612744.0,GSW,step back,,,Wiggins,A. Wiggins,,,,,,,,,,,,,16.27,Missed,,,,,,,,,,,
28,PT09M33.00S,2022-02-28T00:48:58.1Z,1,REGULAR,rebound,defensive,[],203493,,,1610612742,4,0,2022-02-28T00:49:02Z,280000,,,0,,R. Bullock REBOUND (Off:0 Def:2),[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,,,,,,,,,27.0,2.0,2.0,0.0,,,,,,,
29,PT09M28.00S,2022-02-28T00:49:03.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203493,25.57490144546649,16.666666666666664,1610612742,4,3,2022-02-28T00:53:55Z,290000,167.0,188.0,1,left,R. Bullock 25' 3PT running (3 PTS) (L. Doncic 1 AST),"[203493, 1629029]",1610612742.0,DAL,running,,,Bullock,R. Bullock,,,,,,,,,,,,,25.12,Made,,,,,3.0,L. Doncic,1629029.0,1.0,,,
31,PT09M12.00S,2022-02-28T00:49:19.7Z,1,REGULAR,foul,personal,['3freethrow'],203493,,,1610612744,4,3,2022-02-28T00:49:27Z,310000,,,0,,R. Bullock shooting personal FOUL (1 PF) (Wiggins 3 FT),"[203493, 203952]",1610612742.0,DAL,shooting,,,Bullock,R. Bullock,,,,,1201.0,1.0,0.0,Wiggins,203952.0,,,,,,,,,,,,,,,,
33,PT09M12.00S,2022-02-28T00:49:55.2Z,1,REGULAR,freethrow,1 of 3,[],203952,,,1610612744,4,3,2022-02-28T00:49:55Z,330000,,,0,,MISS A. Wiggins Free Throw 1 of 3,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,Missed,,,,,,,,,,,
34,PT09M12.00S,2022-02-28T00:49:55.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612744,4,3,2022-02-28T00:49:55Z,340000,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,
35,PT09M12.00S,2022-02-28T00:50:11.9Z,1,REGULAR,freethrow,2 of 3,[],203952,,,1610612744,4,3,2022-02-28T00:50:11Z,350000,,,0,,MISS A. Wiggins Free Throw 2 of 3,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,Missed,,,,,,,,,,,
36,PT09M12.00S,2022-02-28T00:50:11.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612744,4,3,2022-02-28T00:50:11Z,360000,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,
37,PT09M12.00S,2022-02-28T00:50:27.1Z,1,REGULAR,freethrow,3 of 3,[],203952,,,1610612744,5,3,2022-02-28T00:50:27Z,370000,,,0,,A. Wiggins Free Throw 3 of 3 (1 PTS),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,Made,,,,,1.0,,,,,,
38,PT08M59.00S,2022-02-28T00:50:40.5Z,1,REGULAR,turnover,lost ball,[],1629029,,,1610612742,5,3,2022-02-28T00:55:40Z,380000,,,0,,L. Doncic lost ball TURNOVER (2 TO),"[1629029, 201939]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,2.0,Curry,201939.0,,,,,,,,,,,,,
39,PT08M59.00S,2022-02-28T00:50:40.5Z,1,REGULAR,steal,,[],201939,,,1610612744,5,3,2022-02-28T00:55:40Z,390000,,,0,,S. Curry STEAL (1 STL),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT08M55.00S,2022-02-28T00:50:44.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627780,93.24901445466492,49.754901960784316,1610612744,7,3,2022-02-28T00:56:04Z,400000,-1.0,11.0,1,right,G. Payton II running Layup (4 PTS) (S. Curry 2 AST),"[1627780, 201939]",1610612744.0,GSW,running,,,Payton II,G. Payton II,,,,,,,,,,,,,1.11,Made,,,,,4.0,S. Curry,201939.0,2.0,,,
42,PT08M48.00S,2022-02-28T00:50:51.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628973,7.966491458607096,48.28431372549019,1610612742,7,5,2022-02-28T00:56:52Z,420000,9.0,22.0,1,left,J. Brunson running Layup (2 PTS),[1628973],1610612742.0,DAL,running,,,Brunson,J. Brunson,,,,,,,,,,,,,2.4,Made,,,,,2.0,,,,,,
43,PT08M33.00S,2022-02-28T00:51:05.6Z,1,REGULAR,3pt,Jump Shot,[],1630541,91.40932982917214,95.58823529411765,1610612744,10,5,2022-02-28T00:51:42Z,430000,228.0,28.0,1,right,M. Moody 3PT  (3 PTS) (A. Wiggins 1 AST),"[1630541, 203952]",1610612744.0,GSW,,,,Moody,M. Moody,,,,,,,,,,,,,22.97,Made,,,,,3.0,A. Wiggins,203952.0,1.0,,,
45,PT08M21.00S,2022-02-28T00:51:18.2Z,1,REGULAR,turnover,bad pass,[],1629029,,,1610612742,10,5,2022-02-28T00:51:55Z,450000,,,0,,L. Doncic bad pass TURNOVER (3 TO),"[1629029, 203952]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,3.0,Wiggins,203952.0,,,,,,,,,,,,,
46,PT08M21.00S,2022-02-28T00:51:18.2Z,1,REGULAR,steal,,[],203952,,,1610612744,10,5,2022-02-28T00:51:20Z,460000,,,0,,A. Wiggins STEAL (1 STL),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,
