actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-11-06T02:12:28.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-06T02:12:28Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-11-06T02:12:29.8Z,1,REGULAR,jumpball,recovered,[],201939,,,1610612744,0,0,2021-11-06T02:12:29Z,40000,,,0,,Jump Ball K. Looney vs. J. Valanciunas: Tip to S. Curry,"[201939, 1626172, 202685]",1610612744.0,GSW,startperiod,S. Curry,201939.0,Curry,S. Curry,Looney,1626172.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2021-11-06T02:12:42.9Z,1,REGULAR,foul,personal,[],202066,,,1610612744,0,0,2021-11-06T02:12:46Z,70000,,,0,,G. Temple personal FOUL (1 PF),"[202066, 201939]",1610612740.0,NOP,,,,Temple,G. Temple,,,,,1627962.0,1.0,0.0,Curry,201939.0,,,,,,,,,,,,,,,,
9,PT11M39.00S,2021-11-06T02:13:10.9Z,1,REGULAR,3pt,Jump Shot,[],201939,31.35676741130092,25.49019607843137,1610612744,0,0,2021-11-06T02:13:14Z,90000,123.0,242.0,1,left,MISS S. Curry 27' pullup 3PT,[201939],1610612744.0,GSW,pullup,,,Curry,S. Curry,,,,,,,,,,27.15,Missed,,,,,,,,,,,,,,
10,PT11M37.00S,2021-11-06T02:13:12.9Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612740,0,0,2021-11-06T02:13:54Z,100000,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M30.00S,2021-11-06T02:13:19.5Z,1,REGULAR,turnover,bad pass,[],1628404,,,1610612740,0,0,2021-11-06T02:13:21Z,110000,,,0,,J. Hart bad pass TURNOVER (1 TO),"[1628404, 203110]",1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,,,,1.0,Green,203110.0,,,,,,,
12,PT11M30.00S,2021-11-06T02:13:19.5Z,1,REGULAR,steal,,[],203110,,,1610612744,0,0,2021-11-06T02:13:21Z,120000,,,0,,D. Green STEAL (1 STL),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M26.00S,2021-11-06T02:13:24.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203952,8.623521681997373,48.03921568627451,1610612744,2,0,2021-11-06T02:13:28Z,130000,10.0,29.0,1,left,A. Wiggins Layup (2 PTS) (S. Curry 1 AST),"[203952, 201939]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,3.02,Made,,,,,,,,2.0,S. Curry,201939.0,1.0,,,
15,PT11M04.00S,2021-11-06T02:13:45.8Z,1,REGULAR,3pt,Jump Shot,[],1628984,70.64717477003943,75.49019607843137,1610612740,2,3,2021-11-06T02:13:49Z,150000,127.0,223.0,1,right,D. Graham 25' 3PT pullup (3 PTS),[1628984],1610612740.0,NOP,pullup,,,Graham,D. Graham,,,,,,,,,,25.72,Made,,,,,,,,3.0,,,,,,
16,PT10M42.00S,2021-11-06T02:14:07.1Z,1,REGULAR,3pt,Jump Shot,[],203110,5.732588699080158,3.431372549019608,1610612744,2,3,2021-11-06T02:14:09Z,160000,233.0,1.0,1,left,MISS D. Green 3PT,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,23.28,Missed,,,,,,,,,,,,,,
