actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-01-19T03:11:20.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-19T03:11:20Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-19T03:11:22.7Z,1,REGULAR,jumpball,recovered,[],1630165,,,1610612765,0,0,2022-01-19T03:11:22Z,40000,,,0,,Jump Ball I. Stewart vs. K. Looney: Tip to K. Hayes,"[1630165, 1630191, 1626172]",1610612765.0,DET,startperiod,K. Hayes,1630165.0,Hayes,K. Hayes,Stewart,1630191.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2022-01-19T03:11:42.6Z,1,REGULAR,2pt,Jump Shot,[],1630165,16.90210249671485,76.22549019607843,1610612765,0,0,2022-01-19T03:11:45Z,70000,-131.0,106.0,1,left,MISS K. Hayes 16' fadeaway Shot,[1630165],1610612765.0,DET,fadeaway,,,Hayes,K. Hayes,,,,,16.88,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2022-01-19T03:11:44.6Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,0,0,2022-01-19T03:13:54Z,80000,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M30.00S,2022-01-19T03:11:48.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202691,70.64717477003943,77.45098039215686,1610612744,0,0,2022-01-19T03:11:51Z,90000,137.0,223.0,1,right,MISS K. Thompson 26' 3PT,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,26.22,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M28.00S,2022-01-19T03:11:50.6Z,1,REGULAR,rebound,defensive,[],1628977,,,1610612765,0,0,2022-01-19T03:13:50Z,100000,,,0,,H. Diallo REBOUND (Off:0 Def:1),[1628977],1610612765.0,DET,,,,Diallo,H. Diallo,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M21.00S,2022-01-19T03:11:58.8Z,1,REGULAR,3pt,Jump Shot,[],1630180,31.750985545335087,20.588235294117645,1610612765,0,0,2022-01-19T03:12:02Z,110000,147.0,246.0,1,left,MISS S. Bey 28' 3PT,[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,28.66,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M19.00S,2022-01-19T03:12:00.8Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,0,0,2022-01-19T03:13:46Z,120000,,,0,,K. Looney REBOUND (Off:0 Def:2),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,11.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
13,PT10M52.00S,2022-01-19T03:12:27.3Z,1,REGULAR,2pt,Jump Shot,[],202691,85.49605781865965,30.392156862745097,1610612744,0,0,2022-01-19T03:12:29Z,130000,-98.0,84.0,1,right,MISS K. Thompson 12' turnaround fadeaway Shot,[202691],1610612744.0,GSW,turnaround fadeaway,,,Thompson,K. Thompson,,,,,12.89,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M49.00S,2022-01-19T03:12:30.3Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,0,0,2022-01-19T03:12:30Z,140000,,,0,,I. Stewart REBOUND (Off:0 Def:1),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
