actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2021-10-31T00:40:47.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-31T00:40:47Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-10-31T00:40:49.7Z,1,REGULAR,jumpball,recovered,[],203110,,,1610612744,0,0,2021-10-31T00:40:49Z,40000,,,0,,Jump Ball K. Looney vs. J. Robinson-Earl: Tip to D. Green,"[203110, 1626172, 1630526]",1610612744.0,GSW,startperiod,D. Green,203110.0,Green,D. Green,Looney,1626172.0,Robinson-Earl,1630526.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2021-10-31T00:40:59.9Z,1,REGULAR,2pt,Jump Shot,[],203952,92.32917214191852,80.63725490196079,1610612744,0,0,2021-10-31T00:41:07Z,70000,153.0,20.0,1,right,MISS A. Wiggins 15' pullup Shot,[203952],1610612744.0,GSW,pullup,,,Wiggins,A. Wiggins,,,,,15.44,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2021-10-31T00:41:04.6Z,1,REGULAR,rebound,offensive,[],1626172,,,1610612744,0,0,2021-10-31T00:41:04Z,80000,,,0,,K. Looney REBOUND (Off:1 Def:0),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
9,PT11M40.00S,2021-10-31T00:41:06.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1626172,90.88370565045992,42.8921568627451,1610612744,2,0,2021-10-31T00:41:42Z,90000,-36.0,33.0,1,right,K. Looney turnaround bank Jump Shot (2 PTS),[1626172],1610612744.0,GSW,turnaround bank,,,Looney,K. Looney,,,,,4.86,Made,,,,,2.0,,,,,,,,,,,,,,
10,PT11M25.00S,2021-10-31T00:41:24.7Z,1,REGULAR,turnover,out-of-bounds,[],1629652,,,1610612760,2,0,2021-10-31T00:41:39Z,100000,,,0,,L. Dort bad pass out-of-bounds TURNOVER (1 TO),[1629652],1610612760.0,OKC,bad pass,,,Dort,L. Dort,,,,,,,,,,,,1662.0,1.0,,,,,,,,,,,,
11,PT11M12.00S,2021-10-31T00:41:41.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203110,92.59198423127464,41.911764705882355,1610612744,4,0,2021-10-31T00:41:51Z,110000,-40.0,17.0,1,right,D. Green driving Layup (2 PTS),[203110],1610612744.0,GSW,driving,,,Green,D. Green,,,,,4.39,Made,,,,,2.0,,,,,,,,,,,,,,
12,PT10M59.00S,2021-10-31T00:41:57.1Z,1,REGULAR,turnover,out-of-bounds,[],1630526,,,1610612760,4,0,2021-10-31T00:42:19Z,120000,,,0,,J. Robinson-Earl lost ball out-of-bounds TURNOVER (1 TO),[1630526],1610612760.0,OKC,lost ball,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,1.0,,,,,,,,,,,,
13,PT10M47.00S,2021-10-31T00:42:13.7Z,1,REGULAR,turnover,bad pass,[],203110,,,1610612744,4,0,2021-10-31T00:42:28Z,130000,,,0,,D. Green bad pass TURNOVER (1 TO),"[203110, 1630581]",1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,1.0,Giddey,1630581.0,,,,,,,,,,
14,PT10M47.00S,2021-10-31T00:42:13.7Z,1,REGULAR,steal,,[],1630581,,,1610612760,4,0,2021-10-31T00:42:15Z,140000,,,0,,J. Giddey STEAL (1 STL),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,,,,,,,,
