actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-11-04T02:10:45.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-04T02:10:45Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2021-11-04T02:10:50.1Z,1,REGULAR,jumpball,recovered,[],1630163,,,1610612766,0,0,2021-11-04T02:10:50Z,40000,,,0,,Jump Ball M. Plumlee vs. K. Looney: Tip to L. Ball,"[1630163, 203486, 1626172]",1610612766.0,CHA,startperiod,L. Ball,1630163.0,Ball,L. Ball,Plumlee,203486.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2021-11-04T02:11:09.0Z,1,REGULAR,2pt,Jump Shot,[],1628970,27.677398160315374,57.107843137254896,1610612766,0,0,2021-11-04T02:11:12Z,70000,-36.0,208.0,1,left,MISS M. Bridges 21' pullup Shot,[1628970],1610612766.0,CHA,pullup,,,Bridges,M. Bridges,,,,,21.07,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2021-11-04T02:11:11.0Z,1,REGULAR,rebound,offensive,[],1626179,,,1610612766,0,0,2021-11-04T02:11:35Z,80000,,,0,,T. Rozier REBOUND (Off:1 Def:0),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
9,PT11M29.00S,2021-11-04T02:11:16.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628970,28.597240473061763,79.16666666666666,1610612766,0,3,2021-11-04T02:11:18Z,90000,-146.0,216.0,1,left,M. Bridges 26' 3PT  (3 PTS) (L. Ball 1 AST),"[1628970, 1630163]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,26.09,Made,,,,,3.0,L. Ball,1630163.0,1.0,,,,,,,,,,,
11,PT11M27.00S,2021-11-04T02:11:22.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,0,3,2021-11-04T02:11:22Z,110000,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M11.00S,2021-11-04T02:15:02.4Z,1,REGULAR,3pt,Jump Shot,[],1629673,95.74572930354796,3.1862745098039214,1610612744,3,3,2021-11-04T02:15:05Z,120000,-234.0,-13.0,1,right,J. Poole 3PT  (3 PTS) (D. Green 1 AST),"[1629673, 203110]",1610612744.0,GSW,,,,Poole,J. Poole,,,,,23.44,Made,,,,,3.0,D. Green,203110.0,1.0,,,,,,,,,,,
14,PT10M58.00S,2021-11-04T02:15:14.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203486,7.5722733245729295,41.17647058823529,1610612766,3,3,2021-11-04T02:15:18Z,140000,44.0,19.0,1,left,MISS M. Plumlee driving Layup,[203486],1610612766.0,CHA,driving,,,Plumlee,M. Plumlee,,,,,4.79,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M56.00S,2021-11-04T02:15:20.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612766,3,3,2021-11-04T02:15:20Z,150000,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,
16,PT10M56.00S,2021-11-04T02:15:34.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612766,3,3,2021-11-04T02:15:34Z,160000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
