actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-01-21T03:02:35.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-21T03:02:35Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-21T03:02:38.3Z,1,REGULAR,jumpball,recovered,[],203952,,,1610612744,0,0,2022-01-21T03:02:38Z,40000,,,0,,Jump Ball K. Looney vs. G. Bitadze: Tip to A. Wiggins,"[203952, 1626172, 1629048]",1610612744.0,GSW,startperiod,A. Wiggins,203952.0,Wiggins,A. Wiggins,Looney,1626172.0,Bitadze,1629048.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2022-01-21T03:02:55.9Z,1,REGULAR,3pt,Jump Shot,[],202691,93.51182654402102,4.6568627450980395,1610612744,0,0,2022-01-21T03:02:58Z,70000,-227.0,8.0,1,right,MISS K. Thompson 3PT,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,22.69,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2022-01-21T03:02:59.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612744,0,0,2022-01-21T03:02:59Z,80000,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,
9,PT11M37.00S,2022-01-21T03:03:03.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612744,0,0,2022-01-21T03:03:03Z,90000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M34.00S,2022-01-21T03:03:14.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202691,90.09526938239159,44.85294117647059,1610612744,2,0,2022-01-21T03:03:16Z,100000,-26.0,41.0,1,right,K. Thompson cutting Layup (2 PTS) (S. Curry 1 AST),"[202691, 201939]",1610612744.0,GSW,cutting,,,Thompson,K. Thompson,,,,,4.81,Made,,2.0,S. Curry,201939.0,1.0,,,,,,,,,,,,,,
12,PT11M19.00S,2022-01-21T03:03:29.4Z,1,REGULAR,3pt,Jump Shot,[],1629048,28.728646517739815,15.196078431372548,1610612754,2,3,2022-01-21T03:03:32Z,120000,174.0,218.0,1,left,G. Bitadze 27' 3PT  (3 PTS) (C. Duarte 1 AST),"[1629048, 1630537]",1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,27.85,Made,,3.0,C. Duarte,1630537.0,1.0,,,,,,,,,,,,,,
14,PT10M57.00S,2022-01-21T03:03:51.2Z,1,REGULAR,2pt,Jump Shot,[],202691,73.40670170827858,50.49019607843137,1610612744,2,3,2022-01-21T03:03:55Z,140000,2.0,197.0,1,right,MISS K. Thompson 19' pullup Shot,[202691],1610612744.0,GSW,pullup,,,Thompson,K. Thompson,,,,,19.75,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M55.00S,2022-01-21T03:03:53.2Z,1,REGULAR,rebound,defensive,[],1629048,,,1610612754,2,3,2022-01-21T03:04:15Z,150000,,,0,,G. Bitadze REBOUND (Off:0 Def:1),[1629048],1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,,,14.0,,,,,1.0,1.0,0.0,,,,,,,,,,,
16,PT10M50.00S,2022-01-21T03:04:02.9Z,1,REGULAR,foul,offensive,[],1629048,,,1610612754,2,3,2022-01-21T03:04:07Z,160000,,,0,,G. Bitadze offensive FOUL (1 PF),"[1629048, 1630228]",1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,,,,,,,,,,,201246.0,1.0,0.0,Kuminga,1630228.0,,,,,,
18,PT10M50.00S,2022-01-21T03:04:02.9Z,1,REGULAR,turnover,offensive foul,[],1629048,,,1610612754,2,3,2022-01-21T03:04:02Z,180000,,,0,,G. Bitadze offensive foul TURNOVER (1 TO),[1629048],1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,,,,,,,,,,,201246.0,,,,,1.0,,,,,
