actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-10-29T02:10:58.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-29T02:10:58Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-10-29T02:11:00.7Z,1,REGULAR,jumpball,recovered,[],1628991,,,1610612763,0,0,2021-10-29T02:11:00Z,40000,,,0,,Jump Ball S. Adams vs. K. Looney: Tip to J. Jackson Jr.,"[1628991, 203500, 1626172]",1610612763.0,MEM,startperiod,J. Jackson Jr.,1628991.0,Jackson Jr.,J. Jackson Jr.,Adams,203500.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2021-10-29T02:11:22.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,79.97700394218134,52.450980392156865,1610612763,0,0,2021-10-29T02:11:26Z,70000,12.0,136.0,1,right,MISS J. Jackson Jr. 13' floating Shot,[1628991],1610612763.0,MEM,floating,,,Jackson Jr.,J. Jackson Jr.,,,,,13.63,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2021-10-29T02:11:29.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,0,0,2021-10-29T02:11:29Z,80000,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,
9,PT11M33.00S,2021-10-29T02:11:30.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612763,0,0,2021-10-29T02:11:30Z,90000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M31.00S,2021-10-29T02:11:43.7Z,1,REGULAR,turnover,bad pass,[],1630217,,,1610612763,0,0,2021-10-29T02:23:28Z,100000,,,0,,D. Bane bad pass TURNOVER (1 TO),"[1630217, 201939]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,1.0,Curry,201939.0,,,,,,,,,,,,,,,
11,PT11M31.00S,2021-10-29T02:11:43.7Z,1,REGULAR,steal,,[],201939,,,1610612744,0,0,2021-10-29T02:23:28Z,110000,,,0,,S. Curry STEAL (1 STL),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M27.00S,2021-10-29T02:11:47.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629673,8.886333771353483,42.8921568627451,1610612744,2,0,2021-10-29T02:13:56Z,120000,36.0,31.0,1,left,J. Poole running Layup (2 PTS),[1629673],1610612744.0,GSW,running,,,Poole,J. Poole,,,,,4.71,Made,,,,,2.0,,,,,,,,,,,,,,
13,PT11M13.00S,2021-10-29T02:12:04.5Z,1,REGULAR,foul,personal,['2freethrow'],201939,,,1610612763,2,0,2021-10-29T02:12:12Z,130000,,,0,,S. Curry shooting personal FOUL (1 PF) (Adams 2 FT),"[201939, 203500]",1610612744.0,GSW,shooting,,,Curry,S. Curry,,,,,,,,,,,,1627964.0,1.0,0.0,Adams,203500.0,,,,,,,,,
15,PT11M13.00S,2021-10-29T02:12:27.5Z,1,REGULAR,freethrow,1 of 2,[],203500,,,1610612763,2,1,2021-10-29T02:12:27Z,150000,,,0,,S. Adams Free Throw 1 of 2 (1 PTS),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
16,PT11M13.00S,2021-10-29T02:12:43.3Z,1,REGULAR,freethrow,2 of 2,[],203500,,,1610612763,2,2,2021-10-29T02:12:43Z,160000,,,0,,S. Adams Free Throw 2 of 2 (2 PTS),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,Made,,,,,2.0,,,,,,,,,,,,,,
17,PT11M00.00S,2021-10-29T02:13:00.4Z,1,REGULAR,3pt,Jump Shot,[],1629673,34.247700394218136,48.529411764705884,1610612744,2,2,2021-10-29T02:13:03Z,170000,7.0,269.0,1,left,MISS J. Poole 26' 3PT,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,26.95,Missed,,,,,,,,,,,,,,,,,,,
