actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-02-17T03:12:07.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-17T03:12:07Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-02-17T03:12:09.3Z,1,REGULAR,jumpball,recovered,[],203932,,,1610612743,0,0,2022-02-17T03:12:09Z,40000,,,0,,Jump Ball N. Jokic vs. K. Looney: Tip to A. Gordon,"[203932, 203999, 1626172]",1610612743.0,DEN,startperiod,A. Gordon,203932.0,Gordon,A. Gordon,Jokic,203999.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2022-02-17T03:12:18.3Z,1,REGULAR,turnover,out-of-bounds,[],203999,,,1610612743,0,0,2022-02-17T03:12:25Z,70000,,,0,,N. Jokic lost ball out-of-bounds TURNOVER (1 TO),[203999],1610612743.0,DEN,lost ball,,,Jokic,N. Jokic,,,,,203593.0,1.0,,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2022-02-17T03:12:31.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203952,71.30420499342969,18.38235294117647,1610612744,3,0,2022-02-17T03:12:34Z,80000,-158.0,217.0,1,right,A. Wiggins 26' 3PT  (3 PTS) (K. Looney 1 AST),"[203952, 1626172]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,26.86,Made,3.0,K. Looney,1626172.0,1.0,,,,,,,,,,,,,
10,PT11M16.00S,2022-02-17T03:12:54.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203999,7.752956636005257,38.721660539215684,1610612743,3,0,2022-02-17T03:13:20Z,100000,56.0,20.0,1,left,MISS N. Jokic 6' turnaround Hook,[203999],1610612743.0,DEN,turnaround,,,Jokic,N. Jokic,,,,,,,6.0,Missed,,,,,,,,,,,,,,,,,
11,PT11M13.00S,2022-02-17T03:12:57.4Z,1,REGULAR,rebound,defensive,[],203952,,,1610612744,3,0,2022-02-17T03:12:57Z,110000,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,
12,PT10M56.00S,2022-02-17T03:13:14.1Z,1,REGULAR,3pt,Jump Shot,[],203952,64.60249671484888,44.6078431372549,1610612744,3,0,2022-02-17T03:13:16Z,120000,-27.0,280.0,1,right,MISS A. Wiggins 28' 3PT,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,28.15,Missed,,,,,,,,,,,,,,,,,
13,PT10M53.00S,2022-02-17T03:13:17.3Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,3,0,2022-02-17T03:13:17Z,130000,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,
14,PT10M47.00S,2022-02-17T03:13:22.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628420,9.017739816031538,5.147058823529411,1610612743,3,0,2022-02-17T03:13:45Z,140000,224.0,32.0,1,left,MISS M. Morris running 3PT,[1628420],1610612743.0,DEN,running,,,Morris,M. Morris,,,,,,,22.66,Missed,,,,,,,,,,,,,,,,,
15,PT10M44.00S,2022-02-17T03:13:25.8Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,3,0,2022-02-17T03:13:25Z,150000,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,
