actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-01-26T03:02:40.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-26T03:02:40Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-01-26T03:02:42.1Z,1,REGULAR,jumpball,recovered,[],1628467,,,1610612742,0,0,2022-01-26T03:02:42Z,40000,,,0,,Jump Ball K. Porzingis vs. K. Looney: Tip to M. Kleber,"[1628467, 204001, 1626172]",1610612742.0,DAL,startperiod,M. Kleber,1628467.0,Kleber,M. Kleber,Porzingis,204001.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-01-26T03:02:56.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],204001,16.507884362680684,50.245098039215684,1610612742,0,0,2022-01-26T03:02:58Z,70000,-1.0,103.0,1,left,MISS K. Porzingis 10' turnaround Shot,[204001],1610612742.0,DAL,turnaround,,,Porzingis,K. Porzingis,,,,,10.27,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2022-01-26T03:02:58.0Z,1,REGULAR,rebound,defensive,[],203490,,,1610612744,0,0,2022-01-26T03:12:28Z,80000,,,0,,O. Porter Jr. REBOUND (Off:0 Def:1),[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M28.00S,2022-01-26T03:03:12.3Z,1,REGULAR,turnover,out-of-bounds,[],201939,,,1610612744,0,0,2022-01-26T03:03:14Z,90000,,,0,,S. Curry bad pass out-of-bounds TURNOVER (1 TO),[201939],1610612744.0,GSW,bad pass,,,Curry,S. Curry,,,,,,,,,,,1627964.0,1.0,,,,,,,,,,,,,
10,PT11M08.00S,2022-01-26T03:03:37.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628973,7.966491458607096,63.970588235294116,1610612742,0,0,2022-01-26T03:03:40Z,100000,-70.0,22.0,1,left,MISS J. Brunson 7' pullup Shot,[1628973],1610612742.0,DAL,pullup,,,Brunson,J. Brunson,,,,,7.34,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M06.00S,2022-01-26T03:03:41.1Z,1,REGULAR,rebound,defensive,[],203490,,,1610612744,0,0,2022-01-26T03:03:41Z,110000,,,0,,O. Porter Jr. REBOUND (Off:0 Def:2),[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,10.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
12,PT10M59.00S,2022-01-26T03:03:47.7Z,1,REGULAR,3pt,Jump Shot,[],202691,69.46452036793693,69.36274509803921,1610612744,0,0,2022-01-26T03:03:50Z,120000,97.0,235.0,1,right,MISS K. Thompson 25' 3PT,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,25.37,Missed,,,,,,,,,,,,,,,,,,,
13,PT10M57.00S,2022-01-26T03:03:49.7Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,0,0,2022-01-26T03:06:15Z,130000,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
14,PT10M49.00S,2022-01-26T03:03:57.9Z,1,REGULAR,3pt,Jump Shot,[],204001,28.991458607095925,21.323529411764707,1610612742,0,0,2022-01-26T03:04:00Z,140000,143.0,220.0,1,left,MISS K. Porzingis 26' 3PT,[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,26.26,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M47.00S,2022-01-26T03:03:59.9Z,1,REGULAR,rebound,defensive,[],203952,,,1610612744,0,0,2022-01-26T03:04:44Z,150000,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
16,PT10M32.00S,2022-01-26T03:04:15.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203952,91.40932982917214,59.55882352941176,1610612744,0,0,2022-01-26T03:04:17Z,160000,48.0,28.0,1,right,MISS A. Wiggins driving Layup - blocked,"[203952, 204001]",1610612744.0,GSW,driving,,,Wiggins,A. Wiggins,,,,,5.55,Missed,,,,,,,Porzingis,204001.0,,,,,,,,,,,
17,PT10M32.00S,2022-01-26T03:04:15.1Z,1,REGULAR,block,,[],204001,,,1610612744,0,0,2022-01-26T03:04:18Z,170000,,,0,,K. Porzingis BLOCK (1 BLK),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,,
18,PT10M30.00S,2022-01-26T03:04:17.1Z,1,REGULAR,rebound,defensive,[],204001,,,1610612742,0,0,2022-01-26T03:04:41Z,180000,,,0,,K. Porzingis REBOUND (Off:0 Def:1),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
19,PT10M14.00S,2022-01-26T03:04:32.8Z,1,REGULAR,3pt,Jump Shot,[],204001,31.882391590013142,60.78431372549019,1610612742,0,3,2022-01-26T03:04:35Z,190000,-54.0,247.0,1,left,K. Porzingis 25' 3PT  (3 PTS) (L. Doncic 1 AST),"[204001, 1629029]",1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,25.3,Made,,,,,,,,,3.0,L. Doncic,1629029.0,1.0,,,,,,,
21,PT09M57.00S,2022-01-26T03:04:48.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203490,87.99277266754271,39.46078431372549,1610612744,0,3,2022-01-26T03:04:51Z,210000,-53.0,60.0,1,right,MISS O. Porter Jr. 8' driving floating Shot,[203490],1610612744.0,GSW,driving floating,,,Porter Jr.,O. Porter Jr.,,,,,8.02,Missed,,,,,,,,,,,,,,,,,,,
