actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-11-11T03:10:43.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-11T03:10:43Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-11-11T03:10:45.6Z,1,REGULAR,jumpball,recovered,[],203110,,,1610612744,0,0,2021-11-11T03:10:45Z,40000,,,0,,Jump Ball K. Looney vs. K. Towns: Tip to D. Green,"[203110, 1626172, 1626157]",1610612744.0,GSW,startperiod,D. Green,203110.0,Green,D. Green,Looney,1626172.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M50.00S,2021-11-11T03:10:55.6Z,1,REGULAR,foul,personal,[],1626156,,,1610612744,0,0,2021-11-11T03:10:58Z,70000,,,0,,D. Russell personal FOUL (1 PF),"[1626156, 203952]",1610612750.0,MIN,,,,Russell,D. Russell,,,,,2882.0,1.0,0.0,Wiggins,203952.0,,,,,,,,,,,,,,,,
9,PT11M42.00S,2021-11-11T03:11:15.0Z,1,REGULAR,2pt,Jump Shot,[],203952,75.64060446780552,67.8921568627451,1610612744,2,0,2021-11-11T03:11:18Z,90000,89.0,176.0,1,right,A. Wiggins 19' pullup Jump Shot (2 PTS),[203952],1610612744.0,GSW,pullup,,,Wiggins,A. Wiggins,,,,,,,,,,19.79,Made,2.0,,,,,,,,,,,,,
10,PT11M19.00S,2021-11-11T03:11:37.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630162,18.610381077529567,48.77450980392157,1610612750,2,2,2021-11-11T03:11:42Z,100000,6.0,122.0,1,left,A. Edwards 12' pullup Jump Shot (2 PTS) (D. Russell 1 AST),"[1630162, 1626156]",1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,,,,,,12.26,Made,2.0,D. Russell,1626156.0,1.0,,,,,,,,,,
12,PT11M01.00S,2021-11-11T03:11:55.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626172,85.62746386333771,49.26470588235294,1610612744,2,2,2021-11-11T03:11:57Z,120000,-4.0,83.0,1,right,MISS K. Looney 8' driving floating Shot,[1626172],1610612744.0,GSW,driving floating,,,Looney,K. Looney,,,,,,,,,,8.27,Missed,,,,,,,,,,,,,,
13,PT10M59.00S,2021-11-11T03:11:58.3Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,2,2,2021-11-11T03:11:58Z,130000,,,0,,J. McDaniels REBOUND (Off:0 Def:1),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,
14,PT10M45.00S,2021-11-11T03:12:11.6Z,1,REGULAR,3pt,Jump Shot,[],1626157,31.750985545335087,44.11764705882353,1610612750,2,2,2021-11-11T03:12:14Z,140000,29.0,246.0,1,left,MISS K. Towns 24' 3PT,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,24.78,Missed,,,,,,,,,,,,,,
15,PT10M44.00S,2021-11-11T03:12:18.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612750,2,2,2021-11-11T03:12:18Z,150000,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,
16,PT10M44.00S,2021-11-11T03:12:19.2Z,1,REGULAR,foul,personal,[],1629673,,,1610612750,2,2,2021-11-11T03:12:23Z,160000,,,0,,J. Poole loose ball personal FOUL (1 PF),"[1629673, 1630183]",1610612744.0,GSW,loose ball,,,Poole,J. Poole,,,,,2882.0,1.0,0.0,McDaniels,1630183.0,,,,,,,,,,,,,,,,
18,PT10M39.00S,2021-11-11T03:12:33.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626156,26.888961892247043,86.76470588235294,1610612750,2,2,2021-11-11T03:12:36Z,180000,-184.0,200.0,1,left,MISS D. Russell 27' 3PT,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,,,27.19,Missed,,,,,,,,,,,,,,
