actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-01-28T03:06:01.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-28T03:06:01Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-28T03:06:03.7Z,1,REGULAR,jumpball,recovered,[],1629020,,,1610612750,0,0,2022-01-28T03:06:03Z,40000,,,0,,Jump Ball K. Towns vs. K. Looney: Tip to J. Vanderbilt,"[1629020, 1626157, 1626172]",1610612750.0,MIN,startperiod,J. Vanderbilt,1629020.0,Vanderbilt,J. Vanderbilt,Towns,1626157.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2022-01-28T03:06:12.3Z,1,REGULAR,2pt,Jump Shot,[],1626157,28.597240473061763,48.28431372549019,1610612750,0,2,2022-01-28T03:06:22Z,70000,9.0,216.0,1,left,K. Towns 21' Jump Shot (2 PTS) (D. Russell 1 AST),"[1626157, 1626156]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,21.65,Made,2.0,D. Russell,1626156.0,1.0,,,,,,,,,,,,,,,
9,PT11M31.00S,2022-01-28T03:06:29.4Z,1,REGULAR,turnover,lost ball,[],202691,,,1610612744,0,2,2022-01-28T03:06:41Z,90000,,,0,,K. Thompson lost ball TURNOVER (1 TO),"[202691, 1630183]",1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,1.0,McDaniels,1630183.0,,,,,,,,,,,,
10,PT11M31.00S,2022-01-28T03:06:29.4Z,1,REGULAR,steal,,[],1630183,,,1610612750,0,2,2022-01-28T03:06:32Z,100000,,,0,,J. McDaniels STEAL (1 STL),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M26.00S,2022-01-28T03:06:34.4Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1626156,32.14520367936925,59.068627450980394,1610612750,0,2,2022-01-28T04:19:51Z,110000,-45.0,250.0,1,left,MISS D. Russell 25' running 3PT,[1626156],1610612750.0,MIN,running,,,Russell,D. Russell,,,,,25.38,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M23.00S,2022-01-28T03:06:37.5Z,1,REGULAR,rebound,offensive,[],1630162,,,1610612750,0,2,2022-01-28T03:06:37Z,120000,,,0,,A. Edwards REBOUND (Off:1 Def:0),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,
13,PT11M17.00S,2022-01-28T03:06:43.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1630183,4.28712220762155,95.09803921568627,1610612750,0,5,2022-01-28T03:07:35Z,130000,-225.0,-12.0,1,left,J. McDaniels 3PT  (3 PTS) (A. Edwards 1 AST),"[1630183, 1630162]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,22.58,Made,3.0,A. Edwards,1630162.0,1.0,,,,,,,,,,,,,,,
15,PT10M59.00S,2022-01-28T03:07:01.8Z,1,REGULAR,turnover,bad pass,[],201939,,,1610612744,0,5,2022-01-28T03:07:07Z,150000,,,0,,S. Curry bad pass TURNOVER (1 TO),"[201939, 1626157]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,1.0,Towns,1626157.0,,,,,,,,,,,,
16,PT10M59.00S,2022-01-28T03:07:01.8Z,1,REGULAR,steal,,[],1626157,,,1610612750,0,5,2022-01-28T03:15:25Z,160000,,,0,,K. Towns STEAL (1 STL),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,,,,,,,,,,,,
17,PT10M55.00S,2022-01-28T03:07:05.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630162,32.14520367936925,50.0,1610612750,0,5,2022-01-28T03:09:05Z,170000,0.0,250.0,1,left,MISS A. Edwards 24' running pullup 3PT,[1630162],1610612750.0,MIN,running pullup,,,Edwards,A. Edwards,,,,,24.97,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M52.00S,2022-01-28T03:07:09.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612744,0,5,2022-01-28T03:07:09Z,180000,,,0,,TEAM defensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,
19,PT10M52.00S,2022-01-28T03:07:11.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612744,0,5,2022-01-28T03:07:11Z,190000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PT10M37.00S,2022-01-28T03:07:30.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203490,94.1688567674113,34.31372549019608,1610612744,0,5,2022-01-28T03:07:37Z,200000,-78.0,2.0,1,right,MISS O. Porter Jr. 7' fadeaway Shot,[203490],1610612744.0,GSW,fadeaway,,,Porter Jr.,O. Porter Jr.,,,,,7.84,Missed,,,,,,,,,,,,,,,,,,,
21,PT10M35.00S,2022-01-28T03:07:32.5Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,0,5,2022-01-28T03:07:37Z,210000,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,
22,PT10M28.00S,2022-01-28T03:07:40.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626157,11.12023653088042,53.67647058823529,1610612750,0,5,2022-01-28T04:19:58Z,220000,-18.0,52.0,1,left,MISS K. Towns turnaround Hook,[1626157],1610612750.0,MIN,turnaround,,,Towns,K. Towns,,,,,5.52,Missed,,,,,,,,,,,,,,,,,,,
23,PT10M26.00S,2022-01-28T03:07:42.2Z,1,REGULAR,rebound,offensive,[],1626157,,,1610612750,0,5,2022-01-28T04:19:58Z,230000,,,0,,K. Towns REBOUND (Off:1 Def:1),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,22.0,2.0,1.0,1.0,,,,,,,,
24,PT10M23.00S,2022-01-28T03:07:45.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626156,28.991458607095925,77.20588235294117,1610612750,0,8,2022-01-28T03:07:53Z,240000,-136.0,220.0,1,left,D. Russell 25' 3PT  (3 PTS) (K. Towns 1 AST),"[1626156, 1626157]",1610612750.0,MIN,,,,Russell,D. Russell,,,,,25.86,Made,3.0,K. Towns,1626157.0,1.0,,,,,,,,,,,,,,,
26,PT10M10.00S,2022-01-28T03:07:58.5Z,1,REGULAR,3pt,Jump Shot,[],203490,72.88107752956637,79.90196078431373,1610612744,3,8,2022-01-28T03:08:06Z,260000,150.0,202.0,1,right,O. Porter Jr. 25' 3PT  (3 PTS) (S. Curry 1 AST),"[203490, 201939]",1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,25.16,Made,3.0,S. Curry,201939.0,1.0,,,,,,,,,,,,,,,
28,PT09M56.00S,2022-01-28T03:08:11.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626156,15.850854139290407,45.09803921568628,1610612750,3,8,2022-01-28T03:08:18Z,280000,25.0,96.0,1,left,MISS D. Russell 9' driving floating Shot,[1626156],1610612750.0,MIN,driving floating,,,Russell,D. Russell,,,,,9.96,Missed,,,,,,,,,,,,,,,,,,,
29,PT09M53.00S,2022-01-28T03:08:14.8Z,1,REGULAR,rebound,defensive,[],202691,,,1610612744,3,8,2022-01-28T03:08:18Z,290000,,,0,,K. Thompson REBOUND (Off:0 Def:1),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,
30,PT09M49.00S,2022-01-28T03:08:18.6Z,1,REGULAR,2pt,Jump Shot,[],203490,79.71419185282524,73.2843137254902,1610612744,3,8,2022-01-28T04:20:38Z,300000,116.0,138.0,1,right,MISS O. Porter Jr. 18' running pullup Shot,[203490],1610612744.0,GSW,running pullup,,,Porter Jr.,O. Porter Jr.,,,,,18.07,Missed,,,,,,,,,,,,,,,,,,,
31,PT09M46.00S,2022-01-28T03:08:21.6Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,3,8,2022-01-28T03:08:30Z,310000,,,0,,K. Towns REBOUND (Off:1 Def:2),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,30.0,3.0,2.0,1.0,,,,,,,,
32,PT09M37.00S,2022-01-28T03:08:31.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629020,5.995400788436268,48.77450980392157,1610612750,3,10,2022-01-28T03:12:31Z,320000,6.0,4.0,1,left,J. Vanderbilt cutting DUNK (2 PTS) (J. McDaniels 1 AST),"[1629020, 1630183]",1610612750.0,MIN,cutting,,,Vanderbilt,J. Vanderbilt,,,,,0.72,Made,2.0,J. McDaniels,1630183.0,1.0,,,,,,,,,,,,,,,
34,PT09M31.00S,2022-01-28T03:08:37.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202691,70.38436268068331,72.05882352941177,1610612744,6,10,2022-01-28T03:12:54Z,340000,110.0,226.0,1,right,K. Thompson 25' 3PT pullup (3 PTS) (S. Curry 2 AST),"[202691, 201939]",1610612744.0,GSW,pullup,,,Thompson,K. Thompson,,,,,25.14,Made,3.0,S. Curry,201939.0,2.0,,,,,,,,,,,,,,,
36,PT09M12.00S,2022-01-28T03:08:56.7Z,1,REGULAR,turnover,bad pass,[],1626156,,,1610612750,6,10,2022-01-28T03:09:03Z,360000,,,0,,D. Russell bad pass TURNOVER (1 TO),"[1626156, 203490]",1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,,,,1.0,Porter Jr.,203490.0,,,,,,,,,,,,
