actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,value,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-04-08T02:05:37.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-08T02:05:37Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M59.00S,2022-04-08T02:05:39.3Z,1,REGULAR,jumpball,recovered,[],203110,,,1610612744,0,0,2022-04-08T02:05:39Z,40000,,,0,,Jump Ball K. Looney vs. D. Howard: Tip to D. Green,"[203110, 1626172, 2730]",1610612744.0,GSW,startperiod,D. Green,203110.0,Green,D. Green,Looney,1626172.0,Howard,2730.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-04-08T02:05:52.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203110,91.01511169513797,58.333333333333336,1610612744,0,0,2022-04-08T02:05:55Z,70000,42.0,32.0,1,right,MISS D. Green Layup,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,5.26,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2022-04-08T02:05:54.7Z,1,REGULAR,rebound,defensive,[],2730,,,1610612747,0,0,2022-04-08T02:06:13Z,80000,,,0,,D. Howard REBOUND (Off:0 Def:1),[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M41.00S,2022-04-08T02:05:58.7Z,1,REGULAR,foul,personal,['2freethrow'],1629673,,,1610612747,0,0,2022-04-08T02:06:07Z,90000,,,0,,J. Poole shooting personal FOUL (1 PF) (Monk 2 FT),"[1629673, 1628370]",1610612744.0,GSW,shooting,,,Poole,J. Poole,,,,,,,,,,,201640.0,1.0,0.0,Monk,1628370.0,,,,,,,,,,
11,PT11M41.00S,2022-04-08T02:06:20.1Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1628370,,,1610612747,0,1,2022-04-08T02:06:20Z,110000,,,0,,M. Monk Free Throw 1 of 2 (1 PTS),[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,,Made,,,,,,,,,,1.0,,,,,,,,,
12,PT11M41.00S,2022-04-08T02:06:39.3Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1628370,,,1610612747,0,2,2022-04-08T02:06:39Z,120000,,,0,,M. Monk Free Throw 2 of 2 (2 PTS),[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,,Made,,,,,,,,,,2.0,,,,,,,,,
13,PT11M27.00S,2022-04-08T02:06:54.7Z,1,REGULAR,3pt,Jump Shot,[],1629673,69.72733245729303,78.43137254901961,1610612744,0,2,2022-04-08T02:06:57Z,130000,142.0,232.0,1,right,MISS J. Poole 27' 3PT,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,27.22,Missed,,,,,,,,,,,,,,,,,,,
14,PT11M24.00S,2022-04-08T02:06:57.5Z,1,REGULAR,rebound,defensive,[],1630559,,,1610612747,0,2,2022-04-08T02:06:57Z,140000,,,0,,A. Reaves REBOUND (Off:0 Def:1),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
15,PT11M17.00S,2022-04-08T02:07:05.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630559,10.200394218134035,39.21568627450981,1610612747,0,2,2022-04-08T02:07:07Z,150000,54.0,43.0,1,left,MISS A. Reaves 6' driving Layup,[1630559],1610612747.0,LAL,driving,,,Reaves,A. Reaves,,,,,6.92,Missed,,,,,,,,,,,,,,,,,,,
16,PT11M14.00S,2022-04-08T02:07:07.9Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,0,2,2022-04-08T02:07:07Z,160000,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
17,PT11M11.00S,2022-04-08T02:07:10.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203952,88.78120893561103,50.98039215686274,1610612744,2,2,2022-04-08T02:07:43Z,170000,5.0,53.0,1,right,A. Wiggins running Layup (2 PTS) (J. Poole 1 AST),"[203952, 1629673]",1610612744.0,GSW,running,,,Wiggins,A. Wiggins,,,,,5.32,Made,,,,,,,,,,2.0,J. Poole,1629673.0,1.0,,,,,,
19,PT10M51.00S,2022-04-08T02:07:30.2Z,1,REGULAR,2pt,Jump Shot,[],1629659,17.559132720105126,17.647058823529413,1610612747,2,4,2022-04-08T02:07:33Z,190000,162.0,113.0,1,left,T. Horton-Tucker 19' pullup Jump Shot (2 PTS),[1629659],1610612747.0,LAL,pullup,,,Horton-Tucker,T. Horton-Tucker,,,,,19.71,Made,,,,,,,,,,2.0,,,,,,,,,
20,PT10M40.00S,2022-04-08T02:07:43.7Z,1,REGULAR,turnover,bad pass,[],1629673,,,1610612744,2,4,2022-04-08T02:08:00Z,200000,,,0,,J. Poole bad pass TURNOVER (1 TO),"[1629673, 1629659]",1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,1.0,Horton-Tucker,1629659.0,,,
21,PT10M40.00S,2022-04-08T02:07:43.7Z,1,REGULAR,steal,,[],1629659,,,1610612747,2,4,2022-04-08T02:07:45Z,210000,,,0,,T. Horton-Tucker STEAL (1 STL),[1629659],1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,,,,,,,,,,,,,,,,
22,PT10M34.00S,2022-04-08T02:07:50.9Z,1,REGULAR,foul,personal,[],1626172,,,1610612747,2,4,2022-04-08T02:07:54Z,220000,,,0,,K. Looney personal FOUL (1 PF),"[1626172, 1626169]",1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,1627961.0,1.0,0.0,Johnson,1626169.0,,,,,,,,,,
24,PT10M27.00S,2022-04-08T02:08:11.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629659,6.1268068331143235,59.068627450980394,1610612747,2,6,2022-04-08T02:08:15Z,240000,-45.0,5.0,1,left,T. Horton-Tucker driving reverse Layup (4 PTS),[1629659],1610612747.0,LAL,driving reverse,,,Horton-Tucker,T. Horton-Tucker,,,,,4.56,Made,,,,,,,,,,4.0,,,,,,,,,
25,PT10M18.00S,2022-04-08T02:08:20.7Z,1,REGULAR,turnover,bad pass,[],203952,,,1610612744,2,6,2022-04-08T02:08:23Z,250000,,,0,,A. Wiggins bad pass TURNOVER (1 TO),"[203952, 1626169]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,1.0,Johnson,1626169.0,,,
26,PT10M18.00S,2022-04-08T02:08:20.7Z,1,REGULAR,steal,,[],1626169,,,1610612747,2,6,2022-04-08T02:08:23Z,260000,,,0,,S. Johnson STEAL (1 STL),[1626169],1610612747.0,LAL,,,,Johnson,S. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT10M10.00S,2022-04-08T02:08:28.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630559,11.251642575558476,95.83333333333334,1610612747,2,9,2022-04-08T02:08:31Z,270000,-229.0,53.0,1,left,A. Reaves 3PT pullup (3 PTS) (M. Monk 1 AST),"[1630559, 1628370]",1610612747.0,LAL,pullup,,,Reaves,A. Reaves,,,,,23.53,Made,,,,,,,,,,3.0,M. Monk,1628370.0,1.0,,,,,,
29,PT09M55.00S,2022-04-08T02:08:46.5Z,1,REGULAR,foul,personal,['2freethrow'],1626169,,,1610612744,2,9,2022-04-08T02:08:52Z,290000,,,0,,S. Johnson shooting personal FOUL (1 PF) (Thompson 2 FT),"[1626169, 202691]",1610612747.0,LAL,shooting,,,Johnson,S. Johnson,,,,,,,,,,,1627961.0,1.0,0.0,Thompson,202691.0,,,,,,,,,,
31,PT09M55.00S,2022-04-08T02:09:11.4Z,1,REGULAR,freethrow,1 of 2,[],202691,,,1610612744,3,9,2022-04-08T02:09:11Z,310000,,,0,,K. Thompson Free Throw 1 of 2 (1 PTS),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,Made,,,,,,,,,,1.0,,,,,,,,,
32,PT09M55.00S,2022-04-08T02:09:28.2Z,1,REGULAR,freethrow,2 of 2,[],202691,,,1610612744,4,9,2022-04-08T02:09:28Z,320000,,,0,,K. Thompson Free Throw 2 of 2 (2 PTS),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,Made,,,,,,,,,,2.0,,,,,,,,,
