actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-12-04T03:15:45.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-04T03:15:45Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-04T03:15:46.9Z,1,REGULAR,jumpball,recovered,[],101108,,,1610612756,0,0,2021-12-04T03:15:46Z,40000,,,0,,Jump Ball D. Ayton vs. K. Looney: Tip to C. Paul,"[101108, 1629028, 1626172]",1610612756.0,PHX,startperiod,C. Paul,101108.0,Paul,C. Paul,Ayton,1629028.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2021-12-04T03:16:04.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628969,89.43823915900131,64.95098039215686,1610612756,0,0,2021-12-04T03:16:07Z,70000,75.0,47.0,1,right,MISS M. Bridges 8' driving floating Shot,[1628969],1610612756.0,PHX,driving floating,,,Bridges,M. Bridges,,,,,8.82,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2021-12-04T03:16:07.7Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,0,0,2021-12-04T03:16:07Z,80000,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M16.00S,2021-12-04T03:16:29.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203952,13.61695137976347,48.77450980392157,1610612744,0,0,2021-12-04T03:16:31Z,90000,6.0,75.0,1,left,MISS A. Wiggins 7' driving floating Shot - blocked,"[203952, 1629028]",1610612744.0,GSW,driving floating,,,Wiggins,A. Wiggins,,,,,7.57,Missed,,,,,Ayton,1629028.0,,,,,,,,,,,,,
10,PT11M16.00S,2021-12-04T03:16:29.0Z,1,REGULAR,block,,[],1629028,,,1610612744,0,0,2021-12-04T03:16:33Z,100000,,,0,,D. Ayton BLOCK (1 BLK),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M15.00S,2021-12-04T03:16:30.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612756,0,0,2021-12-04T03:26:22Z,110000,,,0,,TEAM defensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,
64,PT11M15.00S,2021-12-04T03:16:42.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612756,0,0,2021-12-04T03:26:48Z,120000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M03.00S,2021-12-04T03:16:55.4Z,1,REGULAR,2pt,Jump Shot,[],1628969,92.72339027595268,75.73529411764706,1610612756,0,2,2021-12-04T03:25:32Z,130000,129.0,16.0,1,right,M. Bridges 12' pullup Jump Shot (2 PTS) (C. Paul 1 AST),"[1628969, 101108]",1610612756.0,PHX,pullup,,,Bridges,M. Bridges,,,,,12.97,Made,,,,,,,2.0,C. Paul,101108.0,1.0,,,,,,,,,
17,PT10M52.00S,2021-12-04T03:17:17.4Z,1,REGULAR,foul,personal,[],1628969,,,1610612744,0,2,2021-12-04T03:24:00Z,170000,,,0,,M. Bridges personal FOUL (1 PF),"[1628969, 1629673]",1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,1363.0,1.0,0.0,Poole,1629673.0,,,,
19,PT10M49.00S,2021-12-04T03:17:33.4Z,1,REGULAR,3pt,Jump Shot,[],201939,33.327858081471746,40.19607843137255,1610612744,3,2,2021-12-04T03:17:37Z,190000,49.0,261.0,1,left,S. Curry 26' 3PT pullup (3 PTS) (J. Poole 1 AST),"[201939, 1629673]",1610612744.0,GSW,pullup,,,Curry,S. Curry,,,,,26.54,Made,,,,,,,3.0,J. Poole,1629673.0,1.0,,,,,,,,,
21,PT10M34.00S,2021-12-04T03:17:47.7Z,1,REGULAR,3pt,Jump Shot,[],1629013,66.44218134034165,61.76470588235294,1610612756,3,5,2021-12-04T03:17:50Z,210000,59.0,263.0,1,right,L. Shamet 26' 3PT pullup (3 PTS) (J. Crowder 1 AST),"[1629013, 203109]",1610612756.0,PHX,pullup,,,Shamet,L. Shamet,,,,,26.94,Made,,,,,,,3.0,J. Crowder,203109.0,1.0,,,,,,,,,
23,PT10M23.00S,2021-12-04T03:17:58.6Z,1,REGULAR,2pt,Jump Shot,[],201939,25.706307490144546,64.70588235294117,1610612744,3,5,2021-12-04T03:18:02Z,230000,-74.0,189.0,1,left,MISS S. Curry 20' pullup Shot,[201939],1610612744.0,GSW,pullup,,,Curry,S. Curry,,,,,20.29,Missed,,,,,,,,,,,,,,,,,,,
24,PT10M21.00S,2021-12-04T03:18:00.6Z,1,REGULAR,rebound,offensive,[],203952,,,1610612744,3,5,2021-12-04T03:24:12Z,240000,,,0,,A. Wiggins REBOUND (Off:1 Def:0),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,23.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
25,PT10M18.00S,2021-12-04T03:18:04.0Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",203952,8.229303547963205,59.80392156862745,1610612744,5,5,2021-12-04T03:18:07Z,250000,-49.0,25.0,1,left,A. Wiggins turnaround Hook (2 PTS),[203952],1610612744.0,GSW,turnaround,,,Wiggins,A. Wiggins,,,,,5.5,Made,,,,,,,2.0,,,,,,,,,,,,
