actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-03-31T02:15:47.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-31T02:15:47Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-03-31T02:15:50.7Z,1,REGULAR,jumpball,recovered,[],202691,,,1610612744,0,0,2022-03-31T02:15:50Z,40000,,,0,,Jump Ball K. Looney vs. D. Ayton: Tip to K. Thompson,"[202691, 1626172, 1629028]",1610612744.0,GSW,startperiod,K. Thompson,202691.0,Thompson,K. Thompson,Looney,1626172.0,Ayton,1629028.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M56.00S,2022-03-31T02:15:53.9Z,1,REGULAR,turnover,backcourt,[],202691,,,1610612744,0,0,2022-03-31T02:15:57Z,70000,,,0,,K. Thompson backcourt TURNOVER (1 TO),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,1627962.0,1.0,,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2022-03-31T02:16:30.6Z,1,REGULAR,foul,personal,[],202691,,,1610612756,0,0,2022-03-31T02:16:33Z,80000,,,0,,K. Thompson personal FOUL (1 PF),"[202691, 1626164]",1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,1201.0,,1.0,0.0,Booker,1626164.0,,,,,,,,,,,,,,,
10,PT11M30.00S,2022-03-31T02:16:59.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203109,68.15045992115637,70.58823529411765,1610612756,0,0,2022-03-31T02:17:02Z,100000,103.0,247.0,1,right,MISS J. Crowder 26' step back 3PT,[203109],1610612756.0,PHX,step back,,,Crowder,J. Crowder,,,,,,,,,,,26.75,Missed,,,,,,,,,,,,,
11,PT11M28.00S,2022-03-31T02:17:01.1Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,0,0,2022-03-31T02:17:38Z,110000,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,
12,PT11M12.00S,2022-03-31T02:17:17.1Z,1,REGULAR,3pt,Jump Shot,[],202691,14.536793692509855,2.2058823529411766,1610612744,0,0,2022-03-31T02:17:19Z,120000,239.0,84.0,1,left,MISS K. Thompson 25' 3PT,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,25.34,Missed,,,,,,,,,,,,,
13,PT11M09.00S,2022-03-31T02:17:20.1Z,1,REGULAR,rebound,offensive,[],203952,,,1610612744,0,0,2022-03-31T02:17:20Z,130000,,,0,,A. Wiggins REBOUND (Off:1 Def:0),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,12.0,1.0,0.0,1.0,,,,,,,,,
14,PT11M01.00S,2022-03-31T02:17:28.4Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1626172,6.1268068331143235,19.852941176470587,1610612744,0,0,2022-03-31T02:17:31Z,140000,151.0,5.0,1,left,MISS K. Looney 15' turnaround Shot,[1626172],1610612744.0,GSW,turnaround,,,Looney,K. Looney,,,,,,,,,,,15.08,Missed,,,,,,,,,,,,,
15,PT10M59.00S,2022-03-31T02:17:30.4Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,0,0,2022-03-31T02:18:14Z,150000,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,
