actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-10-22T02:12:23.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-22T02:12:23Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M52.00S,2021-10-22T02:12:30.9Z,1,REGULAR,jumpball,recovered,[],1629673,,,1610612744,0,0,2021-10-22T02:12:30Z,40000,,,0,,Jump Ball K. Looney vs. I. Zubac: Tip to J. Poole,"[1629673, 1626172, 1627826]",1610612744.0,GSW,startperiod,J. Poole,1629673.0,Poole,J. Poole,Looney,1626172.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M50.00S,2021-10-22T02:12:42.1Z,1,REGULAR,foul,personal,[],202339,,,1610612744,0,0,2021-10-22T02:13:01Z,70000,,,0,,E. Bledsoe personal FOUL (1 PF),"[202339, 201939]",1610612746.0,LAC,,,,Bledsoe,E. Bledsoe,,,,,1199.0,1.0,0.0,Curry,201939.0,,,,,,,,,,,,,,,,
9,PT11M35.00S,2021-10-22T02:13:08.2Z,1,REGULAR,3pt,Jump Shot,[],1629673,24.655059132720105,84.55882352941177,1610612744,0,0,2021-10-22T02:13:14Z,90000,-173.0,179.0,1,left,MISS J. Poole 24' pullup 3PT,[1629673],1610612744.0,GSW,pullup,,,Poole,J. Poole,,,,,,,,,,24.9,Missed,,,,,,,,,,,,,,
10,PT11M30.00S,2021-10-22T02:13:13.2Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,0,0,2021-10-22T02:13:14Z,100000,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M16.00S,2021-10-22T02:13:26.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627826,94.30026281208936,47.30392156862745,1610612746,0,0,2021-10-22T02:13:31Z,110000,-13.0,1.0,1,right,MISS I. Zubac Layup - blocked,"[1627826, 1626172]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,1.35,Missed,,,,,Looney,1626172.0,,,,,,,,
12,PT11M16.00S,2021-10-22T02:13:26.4Z,1,REGULAR,block,,[],1626172,,,1610612746,0,0,2021-10-22T02:13:28Z,120000,,,0,,K. Looney BLOCK (1 BLK),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M13.00S,2021-10-22T02:13:29.4Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,0,0,2021-10-22T02:13:31Z,130000,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
14,PT11M07.00S,2021-10-22T02:13:36.1Z,1,REGULAR,3pt,Jump Shot,[],201939,30.831143232588698,27.941176470588236,1610612744,3,0,2021-10-22T02:13:42Z,140000,110.0,237.0,1,left,S. Curry 26' 3PT pullup (3 PTS) (D. Green 1 AST),"[201939, 203110]",1610612744.0,GSW,pullup,,,Curry,S. Curry,,,,,,,,,,26.17,Made,,,,,,,3.0,D. Green,203110.0,1.0,,,,
16,PT10M50.00S,2021-10-22T02:13:52.6Z,1,REGULAR,2pt,Layup,[],202339,88.38699080157687,74.26470588235294,1610612746,3,2,2021-10-22T02:14:05Z,160000,121.0,57.0,1,right,E. Bledsoe 13' driving Layup (2 PTS),[202339],1610612746.0,LAC,driving,,,Bledsoe,E. Bledsoe,,,,,,,,,,13.39,Made,,,,,,,2.0,,,,,,,
17,PT10M41.00S,2021-10-22T02:14:02.5Z,1,REGULAR,3pt,Jump Shot,[],203952,24.392247043363994,84.80392156862744,1610612744,6,2,2021-10-22T02:14:09Z,170000,-174.0,177.0,1,left,A. Wiggins 24' 3PT  (3 PTS) (D. Green 2 AST),"[203952, 203110]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,24.81,Made,,,,,,,3.0,D. Green,203110.0,2.0,,,,
19,PT10M20.00S,2021-10-22T02:14:22.0Z,1,REGULAR,2pt,Jump Shot,[],202339,77.00394218134035,32.65165441176471,1610612746,6,4,2021-10-22T02:14:31Z,190000,-87.0,164.0,1,right,E. Bledsoe 18' pullup Jump Shot (4 PTS),[202339],1610612746.0,LAC,pullup,,,Bledsoe,E. Bledsoe,,,,,,,,,,18.52,Made,,,,,,,4.0,,,,,,,
20,PT10M06.00S,2021-10-22T02:14:36.8Z,1,REGULAR,turnover,bad pass,[],1629673,,,1610612744,6,4,2021-10-22T02:14:45Z,200000,,,0,,J. Poole bad pass TURNOVER (1 TO),"[1629673, 202704]",1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,1.0,Jackson,202704.0,
21,PT10M06.00S,2021-10-22T02:14:36.8Z,1,REGULAR,steal,,[],202704,,,1610612746,6,4,2021-10-22T02:14:38Z,210000,,,0,,R. Jackson STEAL (1 STL),[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,
