actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-04-09T17:11:55.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-04-09T17:11:55Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-04-09T17:11:58.2Z,1,REGULAR,jumpball,recovered,[],1629667,,,1610612755,0,0,2023-04-09T17:11:58Z,40000,False,,,0,,Jump Ball P. Reed vs. D. Sharpe: Tip to J. McDaniels,"[1629667, 1630194, 1630549]",1610612755.0,PHI,startperiod,J. McDaniels,1629667.0,McDaniels,J. McDaniels,Reed,1630194.0,Sharpe,1630549.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M56.00S,2023-04-09T17:12:03.7Z,1,REGULAR,foul,personal,[],1628969,,,1610612755,0,0,2023-04-09T17:12:53Z,70000,False,,,0,,M. Bridges take personal FOUL (1 PF),"[1628969, 1629003]",1610612751.0,BKN,take,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Center,2714.0,1.0,0.0,Milton,1629003.0,,,,,,,,,,,,,,,
9,PT11M56.00S,2023-04-09T17:12:10.1Z,1,REGULAR,substitution,out,[],1628969,,,1610612755,0,0,2023-04-09T17:12:12Z,90000,False,,,0,,SUB out: M. Bridges,[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M56.00S,2023-04-09T17:12:10.1Z,1,REGULAR,substitution,in,[],1630561,,,1610612755,0,0,2023-04-09T17:12:12Z,100000,False,,,0,,SUB in: D. Duke Jr.,[1630561],1610612751.0,BKN,,,,Duke Jr.,D. Duke Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M33.00S,2023-04-09T17:12:38.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630194,12.171484888304862,47.30392156862745,1610612755,0,0,2023-04-09T17:12:44Z,110000,False,13.0,62.0,1,left,MISS P. Reed 6' driving Hook,[1630194],1610612755.0,PHI,driving,,,Reed,P. Reed,,,,,In The Paint (Non-RA),0-8 Center,,,,,,6.34,Missed,,,,,,,,,,,,,
12,PT11M31.00S,2023-04-09T17:12:40.7Z,1,REGULAR,rebound,defensive,[],1629139,,,1610612751,0,0,2023-04-09T17:12:44Z,120000,False,,,0,,Y. Watanabe REBOUND (Off:0 Def:1),[1629139],1610612751.0,BKN,,,,Watanabe,Y. Watanabe,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,
13,PT11M21.00S,2023-04-09T17:12:50.9Z,1,REGULAR,3pt,Jump Shot,[],201988,67.49342969776609,48.77450980392157,1610612751,3,0,2023-04-09T17:12:55Z,130000,False,-6.0,253.0,1,right,P. Mills 25' 3PT  (3 PTS) (D. Sharpe 1 AST),"[201988, 1630549]",1610612751.0,BKN,,,,Mills,P. Mills,,,,,Above the Break 3,24+ Center,,,,,,25.32,Made,,,,,3.0,D. Sharpe,1630549.0,1.0,,,,,
15,PT11M11.00S,2023-04-09T17:13:01.1Z,1,REGULAR,3pt,Jump Shot,[],1627863,31.35676741130092,43.13725490196079,1610612755,3,0,2023-04-09T17:13:35Z,150000,False,34.0,242.0,1,left,MISS D. House Jr. 24' step back 3PT,[1627863],1610612755.0,PHI,step back,,,House Jr.,D. House Jr.,,,,,Above the Break 3,24+ Center,,,,,,24.47,Missed,,,,,,,,,,,,,
16,PT11M08.00S,2023-04-09T17:13:04.1Z,1,REGULAR,rebound,defensive,[],1630549,,,1610612751,3,0,2023-04-09T17:13:05Z,160000,False,,,0,,D. Sharpe REBOUND (Off:0 Def:1),[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,Above the Break 3,24+ Center,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,
17,PT10M55.00S,2023-04-09T17:13:16.8Z,1,REGULAR,3pt,Jump Shot,[],1629139,71.56701708278581,21.07843137254902,1610612751,3,0,2023-04-09T17:13:21Z,170000,False,-145.0,215.0,1,right,MISS Y. Watanabe 25' 3PT,[1629139],1610612751.0,BKN,,,,Watanabe,Y. Watanabe,,,,,Above the Break 3,24+ Left Center,,,,,,25.89,Missed,,,,,,,,,,,,,
