actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-12-04T23:10:57.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-04T23:10:57Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-12-04T23:11:00.3Z,1,REGULAR,jumpball,recovered,[],202681,,,1610612751,0,0,2022-12-04T23:11:00Z,40000,False,,,0,,Jump Ball N. Claxton vs. A. Horford: Tip to K. Irving,"[202681, 1629651, 201143]",1610612751.0,BKN,startperiod,K. Irving,202681.0,Irving,K. Irving,Claxton,1629651.0,Horford,201143.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-12-04T23:11:15.2Z,1,REGULAR,2pt,Jump Shot,[],201142,82.7365308804205,20.833333333333336,1610612751,2,0,2022-12-04T23:11:28Z,70000,False,-146.0,110.0,1,right,K. Durant 18' Jump Shot (2 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,Mid-Range,16-24 Left Center,18.25,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M17.00S,2022-12-04T23:11:49.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629684,5.601182654402102,45.83333333333333,1610612738,2,2,2022-12-04T23:11:54Z,90000,False,21.0,0.0,1,left,G. Williams driving Layup (2 PTS),[1629684],1610612738.0,BOS,driving,,,Williams,G. Williams,,,,,Restricted Area,0-8 Center,2.08,Made,2.0,,,,,,,,,,,,,,,,,
10,PT11M02.00S,2022-12-04T23:12:14.6Z,1,REGULAR,foul,personal,[],1627759,,,1610612751,2,2,2022-12-04T23:12:29Z,100000,False,,,0,,J. Brown personal FOUL (1 PF),"[1627759, 201142]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Mid-Range,16-24 Center,,,,1193.0,1.0,0.0,Durant,201142.0,,,,,,,,,,,,
12,PT10M56.00S,2022-12-04T23:12:38.7Z,1,REGULAR,3pt,Jump Shot,[],1626220,68.9388961892247,69.36274509803921,1610612751,5,2,2022-12-04T23:12:42Z,120000,False,97.0,239.0,1,right,R. O'Neale 25' 3PT  (3 PTS) (K. Durant 1 AST),"[1626220, 201142]",1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Right Center,25.83,Made,3.0,,,,,,K. Durant,201142.0,1.0,,,,,,,,,
14,PT10M41.00S,2022-12-04T23:12:53.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628401,5.338370565045992,44.85294117647059,1610612738,5,2,2022-12-04T23:12:58Z,140000,False,26.0,-2.0,1,left,MISS D. White driving Layup - blocked,"[1628401, 1629651]",1610612738.0,BOS,driving,,,White,D. White,,,,,Restricted Area,0-8 Center,2.58,Missed,,,,,,,,,,Claxton,1629651.0,,,,,,,
15,PT10M41.00S,2022-12-04T23:12:53.5Z,1,REGULAR,block,,[],1629651,,,1610612738,5,2,2022-12-04T23:12:55Z,150000,False,,,0,,N. Claxton BLOCK (1 BLK),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
16,PT10M38.00S,2022-12-04T23:12:56.5Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,5,2,2022-12-04T23:12:58Z,160000,False,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,14.0,1.0,1.0,0.0,,,
17,PT10M37.00S,2022-12-04T23:12:58.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",202681,94.95729303547962,48.28431372549019,1610612751,7,2,2022-12-04T23:13:04Z,170000,False,-9.0,-5.0,1,right,K. Irving running Layup (2 PTS) (K. Durant 2 AST),"[202681, 201142]",1610612751.0,BKN,running,,,Irving,K. Irving,,,,,Restricted Area,0-8 Center,1.0,Made,2.0,,,,,,K. Durant,201142.0,2.0,,,,,,,,,
18,PT10M18.00S,2022-12-04T23:13:16.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,10.068988173455978,36.51960784313725,1610612738,7,2,2022-12-04T23:18:23Z,180000,False,67.0,42.0,1,left,MISS J. Brown 7' driving Layup,[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,7.95,Missed,,,,,,,,,,,,,,,,,,
19,PT10M14.00S,2022-12-04T23:13:20.7Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,7,2,2022-12-04T23:13:22Z,190000,False,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,18.0,1.0,1.0,0.0,,,
20,PT10M07.00S,2022-12-04T23:13:27.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202681,89.56964520367937,40.19607843137255,1610612751,9,2,2022-12-04T23:13:31Z,200000,False,-49.0,46.0,1,right,K. Irving 6' driving Layup (4 PTS),[202681],1610612751.0,BKN,driving,,,Irving,K. Irving,,,,,In The Paint (Non-RA),0-8 Center,6.69,Made,4.0,,,,,,,,,,,,,,,,,
21,PT09M51.00S,2022-12-04T23:13:43.8Z,1,REGULAR,turnover,bad pass,[],1628401,,,1610612738,9,2,2022-12-04T23:13:50Z,210000,False,,,0,,D. White bad pass TURNOVER (1 TO),"[1628401, 201142]",1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,1.0,Durant,201142.0
