actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
15,PT11M20.00S,2023-01-15T23:14:50.3Z,1,REGULAR,block,,[],1628410,,,1610612760,0,0,2023-01-15T23:14:53Z,150000,False,,,0,,E. Sumner BLOCK (1 BLK),[1628410],1610612751.0,BKN,,,,,Sumner,E. Sumner,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,
16,PT11M15.00S,2023-01-15T23:14:55.3Z,1,REGULAR,rebound,offensive,[],1631119,,,1610612760,0,0,2023-01-15T23:14:56Z,160000,False,,,0,,J. Williams REBOUND (Off:1 Def:0),[1631119],1610612760.0,OKC,,,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,,,14.0,1.0,0.0,1.0,,,,,,,,,,,,,
17,PT11M15.00S,2023-01-15T23:14:55.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631119,92.85479632063075,47.794117647058826,1610612760,0,2,2023-01-15T23:14:59Z,170000,False,-11.0,15.0,1,right,J. Williams putback Layup (2 PTS),[1631119],1610612760.0,OKC,,putback,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,1.84,Made,,,,,,,2.0,,,,,,,,,,
18,PT11M02.00S,2023-01-15T23:15:08.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,7.046649145860711,52.69607843137255,1610612751,2,2,2023-01-15T23:15:21Z,180000,False,-13.0,14.0,1,left,N. Claxton driving Layup (2 PTS) (E. Sumner 1 AST),"[1629651, 1628410]",1610612751.0,BKN,,driving,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,1.92,Made,,,,,,,2.0,E. Sumner,1628410.0,1.0,,,,,,,
20,PT10M47.00S,2023-01-15T23:15:24.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630581,92.9862023653088,41.911764705882355,1610612760,2,4,2023-01-15T23:15:28Z,200000,False,-40.0,13.0,1,right,J. Giddey driving Layup (2 PTS),[1630581],1610612760.0,OKC,,driving,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,4.26,Made,,,,,,,2.0,,,,,,,,,,
21,PT10M33.00S,2023-01-15T23:15:38.8Z,1,REGULAR,foul,personal,['2freethrow'],1631119,,,1610612751,2,4,2023-01-15T23:15:51Z,210000,False,,,0,,J. Williams shooting personal FOUL (1 PF) (Claxton 2 FT),"[1631119, 1629651]",1610612760.0,OKC,1628171.0,shooting,,,Williams,J. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1.0,0.0,Claxton,1629651.0,,,
23,PT10M33.00S,2023-01-15T23:16:08.1Z,1,REGULAR,freethrow,1 of 2,[],1629651,,,1610612751,3,4,2023-01-15T23:16:08Z,230000,False,,,0,,N. Claxton Free Throw 1 of 2 (3 PTS),[1629651],1610612751.0,BKN,,,,,Claxton,N. Claxton,,,,,,,,Made,,,,,,,3.0,,,,,,,,,,
24,PT10M33.00S,2023-01-15T23:16:08.1Z,1,REGULAR,freethrow,2 of 2,[],1629651,,,1610612751,3,4,2023-01-15T23:16:33Z,240000,False,,,0,,MISS N. Claxton Free Throw 2 of 2,[1629651],1610612751.0,BKN,,,,,Claxton,N. Claxton,,,,,,,,Missed,,,,,,,,,,,,,,,,,
25,PT10M30.00S,2023-01-15T23:16:11.1Z,1,REGULAR,rebound,defensive,[],1631119,,,1610612760,3,4,2023-01-15T23:16:33Z,250000,False,,,0,,J. Williams REBOUND (Off:1 Def:1),[1631119],1610612760.0,OKC,,,,,Williams,J. Williams,,,,,,,,,24.0,2.0,1.0,1.0,,,,,,,,,,,,,
26,PT10M20.00S,2023-01-15T23:16:42.4Z,1,REGULAR,3pt,Jump Shot,[],1628983,66.96780551905388,56.372549019607845,1610612760,3,4,2023-01-15T23:16:46Z,260000,False,32.0,258.0,1,right,MISS S. Gilgeous-Alexander 26' 3PT,[1628983],1610612760.0,OKC,,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Center,26.0,Missed,,,,,,,,,,,,,,,,,
