actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-10-31T23:40:40.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-31T23:40:40Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2022-10-31T23:40:42.2Z,1,REGULAR,jumpball,recovered,[],201142,,,1610612751,0,0,2022-10-31T23:40:42Z,40000,,,0,,Jump Ball N. Claxton vs. M. Turner: Tip to K. Durant,"[201142, 1629651, 1626167]",1610612751.0,BKN,startperiod,K. Durant,201142.0,Durant,K. Durant,Claxton,1629651.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-10-31T23:40:57.6Z,1,REGULAR,2pt,Jump Shot,[],201142,94.43166885676742,80.3921568627451,1610612751,0,0,2022-10-31T23:41:34Z,70000,152.0,0.0,1,right,MISS K. Durant 15' pullup Shot,[201142],1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,Mid-Range,8-16 Right,15.2,Missed,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2022-10-31T23:41:01.6Z,1,REGULAR,rebound,defensive,[],1630169,,,1610612754,0,0,2022-10-31T23:41:34Z,80000,,,0,,T. Haliburton REBOUND (Off:0 Def:1),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Mid-Range,8-16 Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M22.00S,2022-10-31T23:41:16.6Z,1,REGULAR,3pt,Jump Shot,[],1626167,28.991458607095925,20.588235294117645,1610612754,0,0,2022-10-31T23:41:19Z,90000,147.0,220.0,1,left,MISS M. Turner 26' 3PT,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Right Center,26.46,Missed,,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2022-10-31T23:41:18.6Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,0,0,2022-10-31T23:41:19Z,100000,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Right Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M11.00S,2022-10-31T23:41:27.7Z,1,REGULAR,3pt,Jump Shot,[],1626220,90.75229960578186,5.392156862745098,1610612751,0,0,2022-10-31T23:41:30Z,110000,-223.0,34.0,1,right,MISS R. O'Neale 3PT,[1626220],1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,Left Corner 3,24+ Left,22.56,Missed,,,,,,,,,,,,,,,,,,
12,PT11M09.00S,2022-10-31T23:41:29.7Z,1,REGULAR,rebound,defensive,[],1630169,,,1610612754,0,0,2022-10-31T23:41:30Z,120000,,,0,,T. Haliburton REBOUND (Off:0 Def:2),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Left Corner 3,24+ Left,,,11.0,2.0,2.0,0.0,,,,,,,,,,,,,,
13,PT11M01.00S,2022-10-31T23:41:37.1Z,1,REGULAR,3pt,Jump Shot,[],1627741,16.113666228646515,95.58823529411765,1610612754,0,0,2022-10-31T23:43:10Z,130000,-228.0,99.0,1,left,MISS B. Hield 24' 3PT,[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,Above the Break 3,24+ Left Center,24.85,Missed,,,,,,,,,,,,,,,,,,
14,PT10M57.00S,2022-10-31T23:41:41.1Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,0,0,2022-10-31T23:42:23Z,140000,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Mid-Range,16-24 Left,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M56.00S,2022-10-31T23:41:40.0Z,1,REGULAR,turnover,bad pass,[],1629651,,,1610612751,0,0,2022-10-31T23:43:20Z,145000,,,0,,N. Claxton bad pass TURNOVER (1 TO),"[1629651, 1627741]",1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,,,1.0,Hield,1627741.0,,,,,,,,,,,
19,PT10M56.00S,2022-10-31T23:41:40.0Z,1,REGULAR,steal,,[],1627741,,,1610612754,0,0,2022-10-31T23:42:17Z,147500,,,0,,B. Hield STEAL (1 STL),[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
15,PT10M55.00S,2022-10-31T23:41:42.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627741,6.1268068331143235,52.69607843137255,1610612754,0,2,2022-10-31T23:42:14Z,150000,-13.0,5.0,1,left,B. Hield Layup (2 PTS),[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,Restricted Area,0-8 Center,1.44,Made,,,,,,,,2.0,,,,,,,,,,
16,PT10M38.00S,2022-10-31T23:42:01.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629651,89.96386333771353,43.627450980392155,1610612751,2,2,2022-10-31T23:42:04Z,160000,-32.0,42.0,1,right,N. Claxton Hook (2 PTS) (J. Harris 1 AST),"[1629651, 203925]",1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,5.26,Made,,,,,,,,2.0,J. Harris,203925.0,1.0,,,,,,,
20,PT10M20.00S,2022-10-31T23:42:17.9Z,1,REGULAR,3pt,Jump Shot,[],1630188,4.681340341655716,97.05882352941177,1610612754,2,2,2022-10-31T23:44:50Z,180000,-235.0,-8.0,1,left,MISS J. Smith 3PT,[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,Left Corner 3,24+ Left,23.55,Missed,,,,,,,,,,,,,,,,,,
21,PT10M17.00S,2022-10-31T23:42:20.9Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612751,2,2,2022-10-31T23:44:50Z,190000,,,0,,R. O'Neale REBOUND (Off:0 Def:1),[1626220],1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,Left Corner 3,24+ Left,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,
22,PT10M09.00S,2022-10-31T23:42:30.9Z,1,REGULAR,foul,personal,[],1630188,,,1610612751,2,2,2022-10-31T23:42:37Z,200000,,,0,,J. Smith personal FOUL (1 PF),"[1630188, 201142]",1610612754.0,IND,,,,Smith,J. Smith,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,1204.0,1.0,0.0,Durant,201142.0,,
