actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-10-19T23:44:36.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-19T23:44:36Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-10-19T23:44:39.0Z,1,REGULAR,jumpball,recovered,[],1626220,,,1610612751,0,0,2022-10-19T23:44:39Z,40000,,,0,,Jump Ball N. Claxton vs. J. Valanciunas: Tip to R. O'Neale,"[1626220, 1629651, 202685]",1610612751.0,BKN,startperiod,R. O'Neale,1626220.0,O'Neale,R. O'Neale,Claxton,1629651.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2022-10-19T23:44:56.7Z,1,REGULAR,turnover,bad pass,[],201142,,,1610612751,0,0,2022-10-19T23:45:00Z,70000,,,0,,K. Durant bad pass TURNOVER (1 TO),"[201142, 1629627]",1610612751.0,BKN,,,,Durant,K. Durant,,,,,Mid-Range,8-16 Center,1.0,Williamson,1629627.0,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2022-10-19T23:44:56.7Z,1,REGULAR,steal,,[],1629627,,,1610612740,0,0,2022-10-19T23:44:58Z,80000,,,0,,Z. Williamson STEAL (1 STL),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M24.00S,2022-10-19T23:45:11.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202685,90.22667542706965,49.754901960784316,1610612740,0,0,2022-10-19T23:45:17Z,90000,-1.0,39.0,1,right,MISS J. Valanciunas driving finger roll Layup,[202685],1610612740.0,NOP,driving finger roll,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,,,,3.94,Missed,,,,,,,,,,,,,,,
10,PT11M21.00S,2022-10-19T23:45:13.5Z,1,REGULAR,rebound,offensive,[],202685,,,1610612740,0,0,2022-10-19T23:45:13Z,100000,,,0,,J. Valanciunas REBOUND (Off:1 Def:0),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,
11,PT11M21.00S,2022-10-19T23:45:13.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",202685,94.40999984741211,50.0,1610612740,0,0,2022-10-19T23:45:13Z,110000,0.0,0.0,1,right,MISS J. Valanciunas tip Layup,[202685],1610612740.0,NOP,tip,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,8-16 Left,,,,0.0,Missed,,,,,,,,,,,,,,,
12,PT11M21.00S,2022-10-19T23:45:14.3Z,1,REGULAR,rebound,defensive,[],1627732,,,1610612751,0,0,2022-10-19T23:45:14Z,120000,,,0,,B. Simmons REBOUND (Off:0 Def:1),[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,Mid-Range,8-16 Left,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT11M15.00S,2022-10-19T23:45:19.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201142,32.013797634691194,47.30392156862745,1610612751,0,0,2022-10-19T23:45:41Z,130000,13.0,248.0,1,left,MISS K. Durant 24' 3PT,[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Center,,,,24.88,Missed,,,,,,,,,,,,,,,
14,PT11M13.00S,2022-10-19T23:45:21.5Z,1,REGULAR,rebound,defensive,[],1629627,,,1610612740,0,0,2022-10-19T23:45:27Z,140000,,,0,,Z. Williamson REBOUND (Off:0 Def:1),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Above the Break 3,24+ Center,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,
16,PT11M01.00S,2022-10-19T23:45:57.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,94.1688567674113,49.26470588235294,1610612740,0,0,2022-10-19T23:46:20Z,160000,-4.0,2.0,1,right,MISS Z. Williamson Layup - blocked,"[1629627, 1626220]",1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,,0.44,Missed,,,,,O'Neale,1626220.0,,,,,,,,,
