actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-11-27T20:11:11.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-27T20:11:11Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-11-27T20:11:14.7Z,1,REGULAR,jumpball,recovered,[],203924,,,1610612757,0,0,2022-11-27T20:11:14Z,40000,False,,,0,,Jump Ball J. Nurkic vs. N. Claxton: Tip to J. Grant,"[203924, 203994, 1629651]",1610612757.0,POR,startperiod,J. Grant,203924.0,Grant,J. Grant,Nurkic,203994.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-11-27T20:11:28.5Z,1,REGULAR,foul,personal,[],1627732,,,1610612757,0,0,2022-11-27T20:12:32Z,70000,False,,,0,,B. Simmons personal FOUL (1 PF),"[1627732, 203924]",1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,Mid-Range,16-24 Center,204059.0,1.0,0.0,Grant,203924.0,,,,,,,,,,,,,,,
9,PT11M37.00S,2022-11-27T20:11:52.5Z,1,REGULAR,2pt,Jump Shot,[],203924,8.360709592641262,20.34313725490196,1610612757,0,0,2022-11-27T20:12:12Z,90000,False,148.0,26.0,1,left,MISS J. Grant 15' pullup Shot,[203924],1610612757.0,POR,pullup,,,Grant,J. Grant,,,,,Mid-Range,8-16 Right,,,,,,15.06,Missed,,,,,,,,,,,,,
10,PT11M30.00S,2022-11-27T20:11:59.5Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612751,0,0,2022-11-27T20:12:12Z,100000,False,,,0,,R. O'Neale REBOUND (Off:0 Def:1),[1626220],1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,Mid-Range,8-16 Right,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,
11,PT11M13.00S,2022-11-27T20:12:17.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629651,92.9862023653088,49.26470588235294,1610612751,2,0,2022-11-27T20:12:24Z,110000,False,-4.0,13.0,1,right,N. Claxton reverse DUNK (2 PTS) (K. Durant 1 AST),"[1629651, 201142]",1610612751.0,BKN,reverse,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,,1.39,Made,,,,,2.0,K. Durant,201142.0,1.0,,,,,
13,PT10M50.00S,2022-11-27T20:12:39.6Z,1,REGULAR,3pt,Jump Shot,[],1629014,28.991458607095925,72.54901960784314,1610612757,2,3,2022-11-27T20:12:44Z,130000,False,-113.0,220.0,1,left,A. Simons 24' 3PT  (3 PTS) (J. Nurkic 1 AST),"[1629014, 203994]",1610612757.0,POR,,,,Simons,A. Simons,,,,,Above the Break 3,24+ Left Center,,,,,,24.72,Made,,,,,3.0,J. Nurkic,203994.0,1.0,,,,,
15,PT10M32.00S,2022-11-27T20:12:57.0Z,1,REGULAR,2pt,Jump Shot,[],201142,76.95466491458606,48.529411764705884,1610612751,2,3,2022-11-27T20:13:03Z,150000,False,-7.0,164.0,1,right,MISS K. Durant 16' Jump Shot,[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,Mid-Range,16-24 Center,,,,,,16.43,Missed,,,,,,,,,,,,,
16,PT10M28.00S,2022-11-27T20:13:01.0Z,1,REGULAR,rebound,offensive,[],1629651,,,1610612751,2,3,2022-11-27T20:13:03Z,160000,False,,,0,,N. Claxton REBOUND (Off:1 Def:0),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Mid-Range,16-24 Center,,,,,,,,15.0,1.0,0.0,1.0,,,,,,,,,
17,PT10M28.00S,2022-11-27T20:13:01.5Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1629651,94.40999984741211,50.0,1610612751,4,3,2022-11-27T20:13:07Z,170000,False,0.0,0.0,1,right,N. Claxton tip DUNK (4 PTS),[1629651],1610612751.0,BKN,tip,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,,0.0,Made,,,,,4.0,,,,,,,,
