actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-12-24T00:41:41.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-24T00:41:41Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-12-24T00:41:43.8Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2022-12-24T00:41:43Z,40000,False,,,0,,Jump Ball B. Lopez vs. N. Claxton: Tip to G. Antetokounmpo,"[203507, 201572, 1629651]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Lopez,201572.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2022-12-24T00:41:51.7Z,1,REGULAR,3pt,Jump Shot,[],201572,70.25295663600527,76.22549019607843,1610612749,0,0,2022-12-24T00:41:56Z,70000,False,131.0,227.0,1,right,MISS B. Lopez 26' 3PT,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Right Center,26.22,Missed,,,,,,,,,,,,,,,,,,
8,PT11M46.00S,2022-12-24T00:41:54.7Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612751,0,0,2022-12-24T00:41:56Z,80000,False,,,0,,R. O'Neale REBOUND (Off:0 Def:1),[1626220],1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M26.00S,2022-12-24T00:42:14.6Z,1,REGULAR,turnover,bad pass,[],201142,,,1610612751,0,0,2022-12-24T00:42:20Z,90000,False,,,0,,K. Durant bad pass TURNOVER (1 TO),"[201142, 203507]",1610612751.0,BKN,,,,Durant,K. Durant,,,,,Mid-Range,8-16 Center,,,,,,,1.0,Antetokounmpo,203507.0,,,,,,,,,,,
10,PT11M26.00S,2022-12-24T00:42:14.6Z,1,REGULAR,steal,,[],203507,,,1610612749,0,0,2022-12-24T00:42:16Z,100000,False,,,0,,G. Antetokounmpo STEAL (1 STL),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M24.00S,2022-12-24T00:42:18.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203507,92.85479632063075,50.245098039215684,1610612749,0,2,2022-12-24T00:42:24Z,110000,False,1.0,15.0,1,right,G. Antetokounmpo running DUNK (2 PTS),[203507],1610612749.0,MIL,running,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,1.47,Made,,,,,,,,2.0,,,,,,,,,,
12,PT11M24.00S,2022-12-24T00:42:21.1Z,1,REGULAR,foul,personal,['1freethrow'],202681,,,1610612749,0,2,2022-12-24T00:42:28Z,120000,False,,,0,,K. Irving shooting personal FOUL (1 PF) (Antetokounmpo 1 FT),"[202681, 203507]",1610612751.0,BKN,shooting,,,Irving,K. Irving,,,,,Restricted Area,0-8 Center,,,,,,,,,,,201245.0,1.0,0.0,Antetokounmpo,203507.0,,,,,
14,PT11M24.00S,2022-12-24T00:42:53.1Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",203507,,,1610612749,0,2,2022-12-24T00:42:55Z,140000,False,,,0,,MISS G. Antetokounmpo Free Throw 1 of 1,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
15,PT11M21.00S,2022-12-24T00:42:56.1Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,0,2,2022-12-24T00:42:55Z,150000,False,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
