actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-02-16T00:41:05.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-16T00:41:05Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-02-16T00:41:08.3Z,1,REGULAR,jumpball,recovered,[],202710,,,1610612748,0,0,2023-02-16T00:41:08Z,40000,False,,,0,,Jump Ball B. Adebayo vs. N. Claxton: Tip to J. Butler,"[202710, 1628389, 1629651]",1610612748.0,MIA,startperiod,J. Butler,202710.0,Butler,J. Butler,Adebayo,1628389.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2023-02-16T00:41:19.2Z,1,REGULAR,3pt,Jump Shot,[],1629216,20.844283837056505,10.784313725490197,1610612748,0,0,2023-02-16T00:41:24Z,70000,False,196.0,143.0,1,left,MISS G. Vincent 24' 3PT,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,Above the Break 3,24+ Right Center,24.29,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2023-02-16T00:41:24.2Z,1,REGULAR,rebound,defensive,[],1629661,,,1610612751,0,0,2023-02-16T00:41:24Z,80000,False,,,0,,C. Johnson REBOUND (Off:0 Def:1),[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M23.00S,2023-02-16T00:41:41.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628969,85.89027595269383,48.77450980392157,1610612751,2,0,2023-02-16T00:41:46Z,90000,False,-6.0,80.0,1,right,M. Bridges 8' floating Jump Shot (2 PTS),[1628969],1610612751.0,BKN,floating,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),8-16 Center,8.03,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M02.00S,2023-02-16T00:42:01.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202710,14.14257555847569,36.76470588235294,1610612748,2,2,2023-02-16T00:42:05Z,100000,False,66.0,80.0,1,left,J. Butler 10' pullup Jump Shot (2 PTS),[202710],1610612748.0,MIA,pullup,,,Butler,J. Butler,,,,,In The Paint (Non-RA),8-16 Right,10.41,Made,,,,,2.0,,,,,,,,,,,,,
11,PT10M46.00S,2023-02-16T00:42:19.6Z,1,REGULAR,foul,personal,['2freethrow'],1629216,,,1610612751,2,2,2023-02-16T00:42:29Z,110000,False,,,0,,G. Vincent shooting personal FOUL (1 PF) (Finney-Smith 2 FT),"[1629216, 1627827]",1610612748.0,MIA,shooting,,,Vincent,G. Vincent,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1204.0,1.0,0.0,Finney-Smith,1627827.0,,,,,,,,
13,PT10M46.00S,2023-02-16T00:42:48.4Z,1,REGULAR,freethrow,1 of 2,[],1627827,,,1610612751,3,2,2023-02-16T00:42:48Z,130000,False,,,0,,D. Finney-Smith Free Throw 1 of 2 (1 PTS),[1627827],1610612751.0,BKN,,,,Finney-Smith,D. Finney-Smith,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
14,PT10M46.00S,2023-02-16T00:43:06.1Z,1,REGULAR,freethrow,2 of 2,[],1627827,,,1610612751,4,2,2023-02-16T00:43:06Z,140000,False,,,0,,D. Finney-Smith Free Throw 2 of 2 (2 PTS),[1627827],1610612751.0,BKN,,,,Finney-Smith,D. Finney-Smith,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
15,PT10M36.00S,2023-02-16T00:43:16.3Z,1,REGULAR,3pt,Jump Shot,[],1629216,23.603810775295663,86.27450980392157,1610612748,4,2,2023-02-16T00:43:43Z,150000,False,-181.0,169.0,1,left,MISS G. Vincent 24' 3PT,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,Above the Break 3,24+ Left Center,24.82,Missed,,,,,,,,,,,,,,,,,,
