actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-03-23T23:40:43.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-23T23:40:43Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-03-23T23:40:46.3Z,1,REGULAR,jumpball,recovered,[],1628969,,,1610612751,0,0,2023-03-23T23:40:46Z,40000,False,,,0,,Jump Ball N. Claxton vs. J. Allen: Tip to M. Bridges,"[1628969, 1629651, 1628386]",1610612751.0,BKN,startperiod,M. Bridges,1628969.0,Bridges,M. Bridges,Claxton,1629651.0,Allen,1628386.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M57.00S,2023-03-23T23:40:49.4Z,1,REGULAR,foul,personal,['2freethrow'],1629636,,,1610612751,0,0,2023-03-23T23:41:07Z,70000,False,,,0,,D. Garland shooting personal FOUL (1 PF) (Bridges 2 FT),"[1629636, 1628969]",1610612739.0,CLE,shooting,,,Garland,D. Garland,,,,,Restricted Area,0-8 Center,1198.0,1.0,0.0,Bridges,1628969.0,,,,,,,,,,,,,,,
9,PT11M57.00S,2023-03-23T23:41:13.8Z,1,REGULAR,freethrow,1 of 2,[],1628969,,,1610612751,1,0,2023-03-23T23:41:13Z,90000,False,,,0,,M. Bridges Free Throw 1 of 2 (1 PTS),[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M57.00S,2023-03-23T23:41:30.4Z,1,REGULAR,freethrow,2 of 2,[],1628969,,,1610612751,2,0,2023-03-23T23:41:30Z,100000,False,,,0,,M. Bridges Free Throw 2 of 2 (2 PTS),[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M42.00S,2023-03-23T23:41:46.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628386,5.732588699080158,49.26470588235294,1610612739,2,2,2023-03-23T23:41:53Z,110000,False,4.0,1.0,1,left,J. Allen cutting DUNK (2 PTS) (E. Mobley 1 AST),"[1628386, 1630596]",1610612739.0,CLE,cutting,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,0.4,E. Mobley,1630596.0,1.0,,,,,,,,,
13,PT11M17.00S,2023-03-23T23:42:11.1Z,1,REGULAR,3pt,Jump Shot,[],203915,73.80091984231275,17.15686274509804,1610612751,2,2,2023-03-23T23:42:18Z,130000,False,-164.0,194.0,1,right,MISS S. Dinwiddie 25' 3PT,[203915],1610612751.0,BKN,,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,25.4,,,,,,,,,,,,
14,PT11M16.00S,2023-03-23T23:42:12.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612751,2,2,2023-03-23T23:42:18Z,140000,False,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,13.0,,,,,,,,
15,PT11M16.00S,2023-03-23T23:42:15.7Z,1,REGULAR,foul,personal,[],1630171,,,1610612751,2,2,2023-03-23T23:42:34Z,150000,False,,,0,,I. Okoro loose ball personal FOUL (1 PF),"[1630171, 1629651]",1610612739.0,CLE,loose ball,,,Okoro,I. Okoro,,,,,Restricted Area,0-8 Center,1198.0,1.0,0.0,Claxton,1629651.0,,,,,,,,,,,,,,,
17,PT11M07.00S,2023-03-23T23:42:39.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629651,94.03745072273325,47.794117647058826,1610612751,2,2,2023-03-23T23:42:43Z,170000,False,-11.0,4.0,1,right,MISS N. Claxton driving Layup,[1629651],1610612751.0,BKN,driving,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,,Missed,,1.15,,,,,,,,,,,,
18,PT11M04.00S,2023-03-23T23:42:42.4Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,2,2,2023-03-23T23:42:43Z,180000,False,,,0,,E. Mobley REBOUND (Off:0 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,
19,PT11M01.00S,2023-03-23T23:42:45.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628378,6.258212877792378,52.94117647058824,1610612739,2,4,2023-03-23T23:42:49Z,190000,False,-15.0,6.0,1,left,D. Mitchell running Layup (2 PTS),[1628378],1610612739.0,CLE,running,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,1.6,,,,,,,,,,,,
20,PT10M50.00S,2023-03-23T23:42:55.2Z,1,REGULAR,3pt,Jump Shot,[],1627827,70.90998685939553,73.52941176470588,1610612751,2,4,2023-03-23T23:43:00Z,200000,False,118.0,221.0,1,right,MISS D. Finney-Smith 25' 3PT,[1627827],1610612751.0,BKN,,,,Finney-Smith,D. Finney-Smith,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,25.03,,,,,,,,,,,,
21,PT10M47.00S,2023-03-23T23:42:58.2Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612739,2,4,2023-03-23T23:43:00Z,210000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,20.0,1.0,1.0,0.0,,,,,
22,PT10M41.00S,2023-03-23T23:43:04.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628378,5.995400788436268,51.71568627450981,1610612739,2,6,2023-03-23T23:44:28Z,220000,False,-9.0,4.0,1,left,D. Mitchell running Layup (4 PTS),[1628378],1610612739.0,CLE,running,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,,,,,,Made,4.0,0.94,,,,,,,,,,,,
23,PT10M29.00S,2023-03-23T23:43:27.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203915,95.3515111695138,56.86274509803921,1610612751,4,6,2023-03-23T23:43:51Z,230000,False,34.0,-9.0,1,right,S. Dinwiddie driving finger roll Layup (2 PTS),[203915],1610612751.0,BKN,driving finger roll,,,Dinwiddie,S. Dinwiddie,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,3.54,,,,,,,,,,,,
24,PT10M16.00S,2023-03-23T23:43:39.4Z,1,REGULAR,3pt,Jump Shot,[],1628378,26.757555847568987,20.833333333333336,1610612739,4,9,2023-03-23T23:43:45Z,240000,False,146.0,199.0,1,left,D. Mitchell 24' 3PT step back (7 PTS),[1628378],1610612739.0,CLE,step back,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Right Center,,,,,,Made,7.0,24.67,,,,,,,,,,,,
25,PT09M58.00S,2023-03-23T23:43:57.4Z,1,REGULAR,2pt,Jump Shot,[],1628969,76.5604467805519,44.36274509803921,1610612751,6,9,2023-03-23T23:44:01Z,250000,False,-28.0,168.0,1,right,M. Bridges 17' pullup Jump Shot (4 PTS),[1628969],1610612751.0,BKN,pullup,,,Bridges,M. Bridges,,,,,Mid-Range,16-24 Center,,,,,,Made,4.0,17.02,,,,,,,,,,,,
