actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
553,PT07M28.00S,2022-10-28T01:34:13.4Z,4,REGULAR,substitution,in,[],203493,,,1610612751,95,100,2022-10-28T01:36:40Z,5370000,,,0,,SUB in: R. Bullock,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,,,,,,,,,,,,,,,,,,,,
554,PT07M28.00S,2022-10-28T01:34:13.4Z,4,REGULAR,substitution,in,[],1628467,,,1610612751,95,100,2022-10-28T01:36:40Z,5380000,,,0,,SUB in: M. Kleber,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,,,,,,,,,,,,,,
555,PT07M18.00S,2022-10-28T01:37:10.1Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1627732,5.863994743758213,46.32352941176471,1610612751,95,100,2022-10-28T01:37:17Z,5390000,18.0,3.0,1,left,MISS B. Simmons driving Layup,[1627732],1610612751.0,BKN,driving,,,Simmons,B. Simmons,,,,,Restricted Area,0-8 Center,1.86,Missed,,,,,,,,,,,,,,,,,,
556,PT07M16.00S,2022-10-28T01:37:11.7Z,4,REGULAR,rebound,offensive,[],202681,,,1610612751,95,100,2022-10-28T01:37:11Z,5400000,,,0,,K. Irving REBOUND (Off:2 Def:5),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,Restricted Area,0-8 Center,,,555.0,7.0,5.0,2.0,,,,,,,,,,,,,,
557,PT07M16.00S,2022-10-28T01:37:15.0Z,4,REGULAR,foul,personal,[],203915,,,1610612751,95,100,2022-10-28T01:37:33Z,5410000,,,0,,S. Dinwiddie personal FOUL (2 PF),"[203915, 1627732]",1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,Restricted Area,0-8 Center,,,,,,,,,,,203592.0,2.0,0.0,Simmons,1627732.0,,,,,
559,PT07M02.00S,2022-10-28T01:37:50.0Z,4,REGULAR,2pt,Jump Shot,['2ndchance'],201142,16.376478318002626,19.11764705882353,1610612751,97,100,2022-10-28T01:37:54Z,5430000,154.0,101.0,1,left,K. Durant 18' turnaround Jump Shot (22 PTS),[201142],1610612751.0,BKN,turnaround,,,Durant,K. Durant,,,,,Mid-Range,16-24 Right,18.47,Made,,,,,22.0,,,,,,,,,,,,,
560,PT06M38.00S,2022-10-28T01:38:13.8Z,4,REGULAR,turnover,bad pass,[],1627827,,,1610612742,97,100,2022-10-28T01:38:19Z,5440000,,,0,,D. Finney-Smith bad pass TURNOVER (1 TO),"[1627827, 1627732]",1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1.0,Simmons,1627732.0,,
561,PT06M38.00S,2022-10-28T01:38:13.8Z,4,REGULAR,steal,,[],1627732,,,1610612751,97,100,2022-10-28T01:38:58Z,5450000,,,0,,B. Simmons STEAL (2 STL),[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
562,PT06M34.00S,2022-10-28T01:38:18.9Z,4,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",202681,7.30946123521682,47.05882352941176,1610612751,99,100,2022-10-28T01:38:37Z,5460000,15.0,16.0,1,left,K. Irving running Layup (30 PTS) (K. Durant 5 AST),"[202681, 201142]",1610612751.0,BKN,running,,,Irving,K. Irving,,,,,Restricted Area,0-8 Center,2.19,Made,,,,,30.0,K. Durant,201142.0,5.0,,,,,,,,,,
563,PT06M19.00S,2022-10-28T01:38:36.0Z,4,REGULAR,turnover,out-of-bounds,[],203915,,,1610612742,99,100,2022-10-28T01:38:44Z,5470000,,,0,,S. Dinwiddie bad pass out-of-bounds TURNOVER (2 TO),[203915],1610612742.0,DAL,bad pass,,,Dinwiddie,S. Dinwiddie,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,1662.0,,,,,2.0,,,,
565,PT06M19.00S,2022-10-28T01:38:39.2Z,4,REGULAR,substitution,out,[],203501,,,1610612751,99,100,2022-10-28T01:38:41Z,5480000,,,0,,SUB out: T. Hardaway Jr.,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
566,PT06M19.00S,2022-10-28T01:38:39.2Z,4,REGULAR,substitution,in,[],1629029,,,1610612751,99,100,2022-10-28T01:38:41Z,5490000,,,0,,SUB in: L. Doncic,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,,,,,,,,,,,,,
