actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-01-13T00:33:17.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-13T00:33:17Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-01-13T00:33:20.5Z,1,REGULAR,jumpball,recovered,[],1629684,,,1610612738,0,0,2023-01-13T00:33:20Z,40000,False,,,0,,Jump Ball R. Williams III vs. N. Claxton: Tip to G. Williams,"[1629684, 1629057, 1629651]",1610612738.0,BOS,startperiod,G. Williams,1629684.0,Williams,G. Williams,Williams III,1629057.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2023-01-13T00:33:30.6Z,1,REGULAR,turnover,out-of-bounds,[],1629057,,,1610612738,0,0,2023-01-13T00:33:38Z,70000,False,,,0,,R. Williams III bad pass out-of-bounds TURNOVER (1 TO),[1629057],1610612738.0,BOS,bad pass,,,Williams III,R. Williams III,,,,,Mid-Range,16-24 Right Center,1627541.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2023-01-13T00:33:51.4Z,1,REGULAR,violation,kicked ball,[],1628369,,,1610612751,0,0,2023-01-13T00:33:59Z,80000,False,,,0,,J. Tatum kicked ball VIOLATION,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,1627541.0,,,,,,,,,,,,,,,,,,,
9,PT11M29.00S,2023-01-13T00:34:05.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202681,77.34888304862024,10.294117647058822,1610612751,3,0,2023-01-13T00:34:11Z,90000,False,-199.0,160.0,1,right,K. Irving 25' 3PT  (3 PTS) (B. Simmons 1 AST),"[202681, 1627732]",1610612751.0,BKN,,,,Irving,K. Irving,,,,,Above the Break 3,24+ Left Center,,,25.52,Made,3.0,B. Simmons,1627732.0,1.0,,,,,,,,,,,,
12,PT11M09.00S,2023-01-13T00:34:26.4Z,1,REGULAR,2pt,Jump Shot,[],1629057,17.0335085413929,31.862745098039213,1610612738,3,0,2023-01-13T00:34:32Z,120000,False,91.0,108.0,1,left,MISS R. Williams III 14' bank Shot,[1629057],1610612738.0,BOS,bank,,,Williams III,R. Williams III,,,,,Mid-Range,8-16 Right,,,14.07,Missed,,,,,,,,,,,,,,,,
13,PT11M05.00S,2023-01-13T00:34:29.3Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,3,0,2023-01-13T00:34:29Z,130000,False,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Mid-Range,8-16 Right,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,
14,PT10M55.00S,2023-01-13T00:34:39.1Z,1,REGULAR,3pt,Jump Shot,[],202681,74.06373193166885,81.86274509803921,1610612751,3,0,2023-01-13T00:34:45Z,140000,False,159.0,191.0,1,right,MISS K. Irving 24' step back 3PT - blocked,"[202681, 1628369]",1610612751.0,BKN,step back,,,Irving,K. Irving,,,,,Above the Break 3,24+ Right Center,,,24.89,Missed,,,,,,,,,Tatum,1628369.0,,,,,,
15,PT10M55.00S,2023-01-13T00:34:39.1Z,1,REGULAR,block,,[],1628369,,,1610612751,3,0,2023-01-13T00:34:43Z,150000,False,,,0,,J. Tatum BLOCK (1 BLK),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
16,PT10M51.00S,2023-01-13T00:34:43.1Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,3,0,2023-01-13T00:34:45Z,160000,False,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,Above the Break 3,24+ Right Center,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,
