actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-10-21T23:42:06.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-21T23:42:06Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-10-21T23:42:09.4Z,1,REGULAR,jumpball,recovered,[],1627783,,,1610612761,0,0,2022-10-21T23:42:09Z,40000,,,0,,Jump Ball S. Barnes vs. N. Claxton: Tip to P. Siakam,"[1627783, 1630567, 1629651]",1610612761.0,TOR,startperiod,P. Siakam,1627783.0,Siakam,P. Siakam,Barnes,1630567.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2022-10-21T23:42:22.3Z,1,REGULAR,turnover,traveling,[],1628384,,,1610612761,0,0,2022-10-21T23:42:27Z,70000,,,0,,O. Anunoby traveling TURNOVER (1 TO),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Mid-Range,16-24 Right Center,1148.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M23.00S,2022-10-21T23:42:58.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202681,85.10183968462549,87.74509803921569,1610612751,2,0,2022-10-21T23:43:02Z,80000,189.0,88.0,1,right,K. Irving 20' pullup Jump Shot (2 PTS),[202681],1610612751.0,BKN,pullup,,,Irving,K. Irving,,,,,Mid-Range,16-24 Right,,,20.8,Made,2.0,,,,,,,,,,,,,,,
9,PT11M02.00S,2022-10-21T23:43:19.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629018,13.091327201051248,39.21568627450981,1610612761,2,2,2022-10-21T23:43:24Z,90000,54.0,71.0,1,left,G. Trent Jr. 8' driving floating Jump Shot (2 PTS) (O. Anunoby 1 AST),"[1629018, 1628384]",1610612761.0,TOR,driving floating,,,Trent Jr.,G. Trent Jr.,,,,,In The Paint (Non-RA),8-16 Right,,,8.88,Made,2.0,O. Anunoby,1628384.0,1.0,,,,,,,,,,,,
11,PT10M43.00S,2022-10-21T23:43:37.6Z,1,REGULAR,turnover,bad pass,[],202681,,,1610612751,2,2,2022-10-21T23:43:42Z,110000,,,0,,K. Irving bad pass TURNOVER (1 TO),"[202681, 1627832]",1610612751.0,BKN,,,,Irving,K. Irving,,,,,Mid-Range,16-24 Left,,1.0,,,,,,,VanVleet,1627832.0,,,,,,,,,,
12,PT10M43.00S,2022-10-21T23:43:37.6Z,1,REGULAR,steal,,[],1627832,,,1610612761,2,2,2022-10-21T23:43:39Z,120000,,,0,,F. VanVleet STEAL (1 STL),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
13,PT10M37.00S,2022-10-21T23:43:43.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630567,4.155716162943495,46.568627450980394,1610612761,2,4,2022-10-21T23:43:49Z,130000,17.0,-13.0,1,left,S. Barnes running DUNK (2 PTS) (P. Siakam 1 AST),"[1630567, 1627783]",1610612761.0,TOR,running,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,,,2.18,Made,2.0,P. Siakam,1627783.0,1.0,,,,,,,,,,,,
15,PT10M21.00S,2022-10-21T23:43:59.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626220,89.17542706964521,46.81372549019608,1610612751,2,4,2022-10-21T23:44:05Z,150000,-16.0,49.0,1,right,MISS R. O'Neale floating Shot,[1626220],1610612751.0,BKN,floating,,,O'Neale,R. O'Neale,,,,,In The Paint (Non-RA),0-8 Center,,,5.18,Missed,,,,,,,,,,,,,,,,
16,PT10M18.00S,2022-10-21T23:44:03.0Z,1,REGULAR,rebound,offensive,[],1629651,,,1610612751,2,4,2022-10-21T23:44:03Z,160000,,,0,,N. Claxton REBOUND (Off:1 Def:0),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,15.0,1.0,0.0,1.0,,,,,,
17,PT10M17.00S,2022-10-21T23:44:04.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201142,68.54467805519053,58.08823529411765,1610612751,2,4,2022-10-21T23:44:10Z,170000,40.0,243.0,1,right,MISS K. Durant 24' 3PT,[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Center,,,24.65,Missed,,,,,,,,,,,,,,,,
18,PT10M13.00S,2022-10-21T23:44:08.2Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612761,2,4,2022-10-21T23:44:10Z,180000,,,0,,F. VanVleet REBOUND (Off:0 Def:1),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Center,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,
20,PT10M09.00S,2022-10-21T23:44:31.5Z,1,REGULAR,foul,personal,[],202681,,,1610612761,2,4,2022-10-21T23:44:37Z,200000,,,0,,K. Irving personal FOUL (1 PF),"[202681, 1629018]",1610612751.0,BKN,,,,Irving,K. Irving,,,,,Mid-Range,8-16 Left,1151.0,,,,,,,,,,,,,,1.0,0.0,Trent Jr.,1629018.0,,
22,PT09M55.00S,2022-10-21T23:45:04.1Z,1,REGULAR,2pt,Jump Shot,[],1627783,11.251642575558476,33.82352941176471,1610612761,2,6,2022-10-21T23:45:09Z,220000,81.0,53.0,1,left,P. Siakam 9' turnaround bank Jump Shot (2 PTS),[1627783],1610612761.0,TOR,turnaround bank,,,Siakam,P. Siakam,,,,,Mid-Range,8-16 Right,,,9.69,Made,2.0,,,,,,,,,,,,,,,
23,PT09M39.00S,2022-10-21T23:45:19.4Z,1,REGULAR,2pt,Jump Shot,[],201142,93.77463863337714,26.96078431372549,1610612751,2,6,2022-10-21T23:45:24Z,230000,-115.0,6.0,1,right,MISS K. Durant 11' pullup Shot,[201142],1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,Mid-Range,8-16 Left,,,11.54,Missed,,,,,,,,,,,,,,,,
24,PT09M36.00S,2022-10-21T23:45:22.4Z,1,REGULAR,rebound,defensive,[],1629018,,,1610612761,2,6,2022-10-21T23:45:24Z,240000,,,0,,G. Trent Jr. REBOUND (Off:0 Def:1),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,Mid-Range,8-16 Left,,,,,,,,,,,23.0,1.0,1.0,0.0,,,,,,
