actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-02-10T00:35:40.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-10T00:35:40Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-02-10T00:35:44.2Z,1,REGULAR,jumpball,recovered,[],1626220,,,1610612751,0,0,2023-02-10T00:35:44Z,40000,False,,,0,,Jump Ball D. Sharpe vs. N. Vucevic: Tip to R. O'Neale,"[1626220, 1630549, 202696]",1610612751.0,BKN,startperiod,R. O'Neale,1626220.0,O'Neale,R. O'Neale,Sharpe,1630549.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2023-02-10T00:36:00.2Z,1,REGULAR,2pt,Jump Shot,[],1630560,8.360709592641262,26.225490196078432,1610612751,0,0,2023-02-10T00:36:04Z,70000,False,119.0,26.0,1,left,MISS C. Thomas 12' driving floating Shot,[1630560],1610612751.0,BKN,driving floating,,,Thomas,C. Thomas,,,,,Mid-Range,8-16 Right,12.17,Missed,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2023-02-10T00:36:03.2Z,1,REGULAR,rebound,defensive,[],1630245,,,1610612741,0,0,2023-02-10T00:36:04Z,80000,False,,,0,,A. Dosunmu REBOUND (Off:0 Def:1),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Mid-Range,8-16 Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M32.00S,2023-02-10T00:36:07.2Z,1,REGULAR,3pt,Jump Shot,[],202696,70.64717477003943,22.30392156862745,1610612741,0,0,2023-02-10T00:36:14Z,90000,False,-138.0,223.0,1,right,MISS N. Vucevic 26' 3PT,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Left Center,26.28,Missed,,,,,,,,,,,,,,,,,,
10,PT11M29.00S,2023-02-10T00:36:10.2Z,1,REGULAR,rebound,defensive,[],203915,,,1610612751,0,0,2023-02-10T00:36:14Z,100000,False,,,0,,S. Dinwiddie REBOUND (Off:0 Def:1),[203915],1610612751.0,BKN,,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Left Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M23.00S,2023-02-10T00:36:16.3Z,1,REGULAR,3pt,Jump Shot,[],203915,28.991458607095925,21.568627450980394,1610612751,0,0,2023-02-10T00:36:21Z,110000,False,142.0,220.0,1,left,MISS S. Dinwiddie 26' 3PT,[203915],1610612751.0,BKN,,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Right Center,26.2,Missed,,,,,,,,,,,,,,,,,,
12,PT11M20.00S,2023-02-10T00:36:19.3Z,1,REGULAR,rebound,defensive,[],1630172,,,1610612741,0,0,2023-02-10T00:36:21Z,120000,False,,,0,,P. Williams REBOUND (Off:0 Def:1),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Right Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M13.00S,2023-02-10T00:36:26.5Z,1,REGULAR,2pt,Jump Shot,[],1630172,76.95466491458606,62.254901960784316,1610612741,0,0,2023-02-10T00:36:33Z,130000,False,61.0,164.0,1,right,MISS P. Williams 17' pullup Shot,[1630172],1610612741.0,CHI,pullup,,,Williams,P. Williams,,,,,Mid-Range,16-24 Right Center,17.52,Missed,,,,,,,,,,,,,,,,,,
14,PT11M08.00S,2023-02-10T00:36:31.5Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612751,0,0,2023-02-10T00:36:33Z,140000,False,,,0,,R. O'Neale REBOUND (Off:0 Def:1),[1626220],1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,Mid-Range,16-24 Right Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M59.00S,2023-02-10T00:36:56.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630549,13.091327201051248,44.36274509803921,1610612751,0,0,2023-02-10T00:37:02Z,160000,False,28.0,71.0,1,left,MISS D. Sharpe 7' driving floating Shot,[1630549],1610612751.0,BKN,driving floating,,,Sharpe,D. Sharpe,,,,,In The Paint (Non-RA),0-8 Center,7.6,Missed,,,,,,,,,,,,,,,,,,
17,PT10M55.00S,2023-02-10T00:37:00.7Z,1,REGULAR,rebound,offensive,[],1630549,,,1610612751,0,0,2023-02-10T00:41:32Z,170000,False,,,0,,D. Sharpe REBOUND (Off:1 Def:0),[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,In The Paint (Non-RA),0-8 Center,,,16.0,1.0,0.0,1.0,,,,,,,,,,,,,,
18,PT10M55.00S,2023-02-10T00:37:00.3Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630549,5.590000152587891,50.0,1610612751,0,0,2023-02-10T00:41:43Z,180000,False,0.0,0.0,1,left,MISS D. Sharpe tip Layup,[1630549],1610612751.0,BKN,tip,,,Sharpe,D. Sharpe,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
19,PT10M54.00S,2023-02-10T00:37:01.3Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,0,0,2023-02-10T00:37:15Z,190000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,
20,PT10M34.00S,2023-02-10T00:37:21.6Z,1,REGULAR,2pt,Jump Shot,[],202696,86.5473061760841,30.392156862745097,1610612741,0,0,2023-02-10T00:37:26Z,200000,False,-98.0,74.0,1,right,MISS N. Vucevic 12' turnaround Shot,[202696],1610612741.0,CHI,turnaround,,,Vucevic,N. Vucevic,,,,,Mid-Range,8-16 Left,12.28,Missed,,,,,,,,,,,,,,,,,,
21,PT10M32.00S,2023-02-10T00:37:23.6Z,1,REGULAR,rebound,defensive,[],203915,,,1610612751,0,0,2023-02-10T00:37:26Z,210000,False,,,0,,S. Dinwiddie REBOUND (Off:0 Def:2),[203915],1610612751.0,BKN,,,,Dinwiddie,S. Dinwiddie,,,,,Mid-Range,8-16 Left,,,20.0,2.0,2.0,0.0,,,,,,,,,,,,,,
22,PT10M16.00S,2023-02-10T00:37:40.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203915,14.931011826544022,34.068627450980394,1610612751,2,0,2023-02-10T00:37:45Z,220000,False,80.0,88.0,1,left,S. Dinwiddie 11' driving floating Jump Shot (2 PTS),[203915],1610612751.0,BKN,driving floating,,,Dinwiddie,S. Dinwiddie,,,,,In The Paint (Non-RA),8-16 Right,11.87,Made,,,,,2.0,,,,,,,,,,,,,
23,PT09M59.00S,2023-02-10T00:37:56.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,88.25558475689881,49.26470588235294,1610612741,2,2,2023-02-10T00:38:03Z,230000,False,-4.0,58.0,1,right,N. Vucevic turnaround Hook (2 PTS) (D. DeRozan 1 AST),"[202696, 201942]",1610612741.0,CHI,turnaround,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),0-8 Center,5.8,Made,,,,,2.0,D. DeRozan,201942.0,1.0,,,,,,,,,,
25,PT09M41.00S,2023-02-10T00:38:15.0Z,1,REGULAR,3pt,Jump Shot,[],1630560,29.38567674113009,71.07843137254902,1610612751,2,2,2023-02-10T00:39:18Z,250000,False,-105.0,224.0,1,left,MISS C. Thomas 24' step back 3PT,[1630560],1610612751.0,BKN,step back,,,Thomas,C. Thomas,,,,,Above the Break 3,24+ Left Center,24.73,Missed,,,,,,,,,,,,,,,,,,
26,PT09M39.00S,2023-02-10T00:38:17.0Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,2,2,2023-02-10T00:38:19Z,260000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:2),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Left Center,,,25.0,2.0,2.0,0.0,,,,,,,,,,,,,,
27,PT09M24.00S,2023-02-10T00:38:32.8Z,1,REGULAR,turnover,bad pass,[],203897,,,1610612741,2,2,2023-02-10T00:38:37Z,270000,False,,,0,,Z. LaVine bad pass TURNOVER (1 TO),"[203897, 203915]",1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,1.0,Dinwiddie,203915.0,,,,,,,
28,PT09M24.00S,2023-02-10T00:38:32.8Z,1,REGULAR,steal,,[],203915,,,1610612751,2,2,2023-02-10T00:38:35Z,280000,False,,,0,,S. Dinwiddie STEAL (1 STL),[203915],1610612751.0,BKN,,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
29,PT09M14.00S,2023-02-10T00:38:42.0Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1627827,10.5946123521682,44.11764705882353,1610612751,4,2,2023-02-10T00:39:09Z,290000,False,29.0,47.0,1,left,D. Finney-Smith driving Hook (2 PTS) (C. Thomas 1 AST),"[1627827, 1630560]",1610612751.0,BKN,driving,,,Finney-Smith,D. Finney-Smith,,,,,In The Paint (Non-RA),0-8 Center,5.55,Made,,,,,2.0,C. Thomas,1630560.0,1.0,,,,,,,,,,
31,PT09M14.00S,2023-02-10T00:38:47.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,4,2,2023-02-10T00:38:47Z,310000,False,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,PT08M57.00S,2023-02-10T00:42:27.3Z,1,REGULAR,2pt,Jump Shot,[],201942,74.19513797634691,44.11764705882353,1610612741,4,2,2023-02-10T00:42:32Z,320000,False,-29.0,190.0,1,right,MISS D. DeRozan 19' pullup Shot,[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Center,19.24,Missed,,,,,,,,,,,,,,,,,,
33,PT08M52.00S,2023-02-10T00:42:32.3Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612751,4,2,2023-02-10T00:42:32Z,330000,False,,,0,,D. Finney-Smith REBOUND (Off:0 Def:1),[1627827],1610612751.0,BKN,,,,Finney-Smith,D. Finney-Smith,,,,,Mid-Range,16-24 Center,,,32.0,1.0,1.0,0.0,,,,,,,,,,,,,,
34,PT08M36.00S,2023-02-10T00:42:48.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630549,5.732588699080158,53.18627450980392,1610612751,4,2,2023-02-10T00:42:54Z,340000,False,-16.0,1.0,1,left,MISS D. Sharpe cutting Layup,[1630549],1610612751.0,BKN,cutting,,,Sharpe,D. Sharpe,,,,,Restricted Area,0-8 Center,1.6,Missed,,,,,,,,,,,,,,,,,,
35,PT08M34.00S,2023-02-10T00:42:50.5Z,1,REGULAR,rebound,defensive,[],1630172,,,1610612741,4,2,2023-02-10T00:42:54Z,350000,False,,,0,,P. Williams REBOUND (Off:0 Def:2),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Restricted Area,0-8 Center,,,34.0,2.0,2.0,0.0,,,,,,,,,,,,,,
37,PT08M27.00S,2023-02-10T00:43:19.9Z,1,REGULAR,turnover,traveling,[],201942,,,1610612741,4,2,2023-02-10T00:43:27Z,370000,False,,,0,,D. DeRozan traveling TURNOVER (1 TO),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,,,1198.0,,,,,,
38,PT08M08.00S,2023-02-10T00:43:51.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630560,25.706307490144546,31.127450980392158,1610612751,4,2,2023-02-10T00:44:54Z,380000,False,94.0,189.0,1,left,MISS C. Thomas 21' step back Shot,[1630560],1610612751.0,BKN,step back,,,Thomas,C. Thomas,,,,,Mid-Range,16-24 Right Center,21.14,Missed,,,,,,,,,,,,,,,,,,
39,PT08M04.00S,2023-02-10T00:43:55.5Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,4,2,2023-02-10T00:43:56Z,390000,False,,,0,,Z. LaVine REBOUND (Off:0 Def:1),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,Mid-Range,16-24 Right Center,,,38.0,1.0,1.0,0.0,,,,,,,,,,,,,,
40,PT07M57.00S,2023-02-10T00:44:02.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203897,93.9060446780552,45.09803921568628,1610612741,4,2,2023-02-10T00:44:07Z,400000,False,-25.0,5.0,1,right,MISS Z. LaVine driving Layup,[203897],1610612741.0,CHI,driving,,,LaVine,Z. LaVine,,,,,Restricted Area,0-8 Center,2.5,Missed,,,,,,,,,,,,,,,,,,
42,PT07M54.00S,2023-02-10T00:44:05.1Z,1,REGULAR,rebound,defensive,[],1630560,,,1610612751,4,2,2023-02-10T00:44:07Z,420000,False,,,0,,C. Thomas REBOUND (Off:0 Def:1),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,Restricted Area,0-8 Center,,,40.0,1.0,1.0,0.0,,,,,,,,,,,,,,
43,PT07M46.00S,2023-02-10T00:44:12.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203915,7.703679369250986,45.588235294117645,1610612751,4,2,2023-02-10T00:44:18Z,430000,False,22.0,20.0,1,left,MISS S. Dinwiddie driving Layup,[203915],1610612751.0,BKN,driving,,,Dinwiddie,S. Dinwiddie,,,,,Restricted Area,0-8 Center,2.97,Missed,,,,,,,,,,,,,,,,,,
44,PT07M43.00S,2023-02-10T00:44:15.5Z,1,REGULAR,rebound,offensive,[],1630549,,,1610612751,4,2,2023-02-10T00:44:15Z,440000,False,,,0,,D. Sharpe REBOUND (Off:2 Def:0),[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,Restricted Area,0-8 Center,,,43.0,2.0,0.0,2.0,,,,,,,,,,,,,,
