actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-10-29T23:41:09.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-29T23:41:09Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-10-29T23:41:12.1Z,1,REGULAR,jumpball,recovered,[],1630537,,,1610612754,0,0,2022-10-29T23:41:12Z,40000,,,0,,Jump Ball I. Jackson vs. N. Claxton: Tip to C. Duarte,"[1630537, 1630543, 1629651]",1610612754.0,IND,startperiod,C. Duarte,1630537.0,Duarte,C. Duarte,Jackson,1630543.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2022-10-29T23:41:22.9Z,1,REGULAR,turnover,bad pass,[],1630537,,,1610612754,0,0,2022-10-29T23:41:26Z,70000,,,0,,C. Duarte bad pass TURNOVER (1 TO),"[1630537, 201142]",1610612754.0,IND,,,,Duarte,C. Duarte,,,,,In The Paint (Non-RA),0-8 Center,1.0,Durant,201142.0,,,,,,,,,,,,,,,,,
8,PT11M46.00S,2022-10-29T23:41:22.9Z,1,REGULAR,steal,,[],201142,,,1610612751,0,0,2022-10-29T23:41:24Z,80000,,,0,,K. Durant STEAL (1 STL),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M38.00S,2022-10-29T23:41:32.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627732,91.67214191852825,48.03921568627451,1610612751,2,0,2022-10-29T23:41:41Z,90000,-10.0,26.0,1,right,B. Simmons alley-oop Layup (2 PTS) (R. O'Neale 1 AST),"[1627732, 1626220]",1610612751.0,BKN,alley-oop,,,Simmons,B. Simmons,,,,,Restricted Area,0-8 Center,,,,2.76,Made,2.0,R. O'Neale,1626220.0,1.0,,,,,,,,,,,
11,PT11M38.00S,2022-10-29T23:41:34.4Z,1,REGULAR,foul,personal,['1freethrow'],1630537,,,1610612751,2,0,2022-10-29T23:41:46Z,110000,,,0,,C. Duarte shooting personal FOUL (1 PF) (Simmons 1 FT),"[1630537, 1627732]",1610612754.0,IND,shooting,,,Duarte,C. Duarte,,,,,Restricted Area,0-8 Center,,,,,,,,,,1626302.0,1.0,0.0,Simmons,1627732.0,,,,,,
13,PT11M38.00S,2022-10-29T23:41:52.9Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1627732,,,1610612751,3,0,2022-10-29T23:41:52Z,130000,,,0,,B. Simmons Free Throw 1 of 1 (3 PTS),[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
14,PT11M19.00S,2022-10-29T23:42:14.5Z,1,REGULAR,2pt,Jump Shot,[],1630188,23.99802890932983,50.245098039215684,1610612754,3,0,2022-10-29T23:42:18Z,140000,-1.0,173.0,1,left,MISS J. Smith 17' Jump Shot,[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,Mid-Range,16-24 Center,,,,17.31,Missed,,,,,,,,,,,,,,,
15,PT11M16.00S,2022-10-29T23:42:17.5Z,1,REGULAR,rebound,defensive,[],1627732,,,1610612751,3,0,2022-10-29T23:42:18Z,150000,,,0,,B. Simmons REBOUND (Off:0 Def:1),[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,14.0,1.0,1.0,0.0,,
16,PT11M07.00S,2022-10-29T23:42:28.3Z,1,REGULAR,foul,personal,[],1630188,,,1610612751,3,0,2022-10-29T23:43:17Z,160000,,,0,,J. Smith personal FOUL (1 PF),"[1630188, 1629651]",1610612754.0,IND,,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,,,,,,,,,,1146.0,1.0,0.0,Claxton,1629651.0,,,,,,
