actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-29T00:41:02.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-29T00:41:02Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-11-29T00:41:04.8Z,1,REGULAR,jumpball,recovered,[],202681,,,1610612751,0,0,2022-11-29T00:41:04Z,40000,False,,,0,,Jump Ball N. Claxton vs. B. Bol: Tip to K. Irving,"[202681, 1629651, 1629626]",1610612751.0,BKN,startperiod,K. Irving,202681.0,Irving,K. Irving,Claxton,1629651.0,Bol,1629626.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2022-11-29T00:41:22.7Z,1,REGULAR,2pt,Jump Shot,[],201142,91.93495400788436,68.62745098039215,1610612751,2,0,2022-11-29T00:41:26Z,70000,False,93.0,23.0,1,right,K. Durant 9' fadeaway Jump Shot (2 PTS),[201142],1610612751.0,BKN,fadeaway,,,Durant,K. Durant,,,,,Mid-Range,8-16 Right,9.6,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M15.00S,2022-11-29T00:41:45.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,13.222733245729303,46.07843137254902,1610612753,2,0,2022-11-29T00:41:52Z,80000,False,20.0,72.0,1,left,MISS F. Wagner 7' driving Layup,[1630532],1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),0-8 Center,7.44,Missed,,,,,,,,,,,,,,,,,,
9,PT11M11.00S,2022-11-29T00:41:49.8Z,1,REGULAR,rebound,defensive,[],202681,,,1610612751,2,0,2022-11-29T00:42:36Z,90000,False,,,0,,K. Irving REBOUND (Off:0 Def:1),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,In The Paint (Non-RA),0-8 Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT11M03.00S,2022-11-29T00:41:57.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629651,92.32917214191852,38.23529411764706,1610612751,2,0,2022-11-29T00:42:02Z,120000,False,-59.0,20.0,1,right,MISS N. Claxton 6' driving Hook,[1629651],1610612751.0,BKN,driving,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,6.2,Missed,,,,,,,,,,,,,,,,,,
13,PT11M01.00S,2022-11-29T00:41:59.5Z,1,REGULAR,rebound,defensive,[],1629626,,,1610612753,2,0,2022-11-29T00:42:02Z,130000,False,,,0,,B. Bol REBOUND (Off:0 Def:1),[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,In The Paint (Non-RA),0-8 Center,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,
14,PT10M57.00S,2022-11-29T00:42:04.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203914,29.517082785808146,33.33333333333333,1610612753,2,3,2022-11-29T00:42:10Z,140000,False,83.0,225.0,1,left,G. Harris 3PT pullup (3 PTS),[203914],1610612753.0,ORL,pullup,,,Harris,G. Harris,,,,,Above the Break 3,24+ Right Center,23.99,Made,3.0,,,,,,,,,,,,,,,,,
15,PT10M44.00S,2022-11-29T00:42:17.1Z,1,REGULAR,turnover,bad pass,[],201142,,,1610612751,2,3,2022-11-29T00:42:22Z,150000,False,,,0,,K. Durant bad pass TURNOVER (1 TO),"[201142, 1630532]",1610612751.0,BKN,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Left Center,,,,,,,,1.0,Wagner,1630532.0,,,,,,,,,,
16,PT10M44.00S,2022-11-29T00:42:17.1Z,1,REGULAR,steal,,[],1630532,,,1610612753,2,3,2022-11-29T00:43:34Z,160000,False,,,0,,F. Wagner STEAL (1 STL),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
