actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-02-04T23:12:19.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-04T23:12:19Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-02-04T23:12:22.2Z,1,REGULAR,jumpball,recovered,[],203552,,,1610612751,0,0,2023-02-04T23:12:22Z,40000,False,,,0,,Jump Ball N. Claxton vs. K. Porzingis: Tip to S. Curry,"[203552, 1629651, 204001]",1610612751.0,BKN,startperiod,S. Curry,203552.0,Curry,S. Curry,Claxton,1629651.0,Porzingis,204001.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M46.00S,2023-02-04T23:12:48.1Z,1,REGULAR,3pt,Jump Shot,[],1628410,3.3672798948751645,97.54901960784314,1610612751,0,0,2023-02-04T23:12:53Z,80000,False,-238.0,-21.0,1,left,MISS E. Sumner 3PT,[1628410],1610612751.0,BKN,,,,Sumner,E. Sumner,,,,,Left Corner 3,24+ Left,23.86,Missed,,,,,,,,,,,,,,,,,,
9,PT11M45.00S,2023-02-04T23:12:49.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612764,0,0,2023-02-04T23:12:53Z,90000,False,,,0,,TEAM defensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,Left Corner 3,24+ Left,,,8.0,,,,,,,,,,,,,,,,,
11,PT11M29.00S,2023-02-04T23:13:14.7Z,1,REGULAR,3pt,Jump Shot,[],1630557,67.36202365308804,31.127450980392158,1610612764,0,3,2023-02-04T23:13:19Z,110000,False,-94.0,254.0,1,right,C. Kispert 27' 3PT  (3 PTS) (K. Kuzma 1 AST),"[1630557, 1628398]",1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Above the Break 3,24+ Left Center,27.13,Made,,3.0,K. Kuzma,1628398.0,1.0,,,,,,,,,,,,,
13,PT11M17.00S,2023-02-04T23:13:25.8Z,1,REGULAR,3pt,Jump Shot,[],203552,28.465834428383708,20.098039215686274,1610612751,3,3,2023-02-04T23:13:30Z,130000,False,150.0,215.0,1,left,S. Curry 26' 3PT  (3 PTS) (N. Claxton 1 AST),"[203552, 1629651]",1610612751.0,BKN,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Right Center,26.2,Made,,3.0,N. Claxton,1629651.0,1.0,,,,,,,,,,,,,
15,PT10M55.00S,2023-02-04T23:13:50.1Z,1,REGULAR,foul,personal,['2freethrow'],1626220,,,1610612764,3,3,2023-02-04T23:13:57Z,150000,False,,,0,,R. O'Neale shooting personal FOUL (1 PF) (Kispert 2 FT),"[1626220, 1630557]",1610612751.0,BKN,shooting,,,O'Neale,R. O'Neale,,,,,Restricted Area,0-8 Center,,,,,,,,2003.0,1.0,0.0,Kispert,1630557.0,,,,,,,,
17,PT10M55.00S,2023-02-04T23:14:17.5Z,1,REGULAR,freethrow,1 of 2,[],1630557,,,1610612764,3,4,2023-02-04T23:14:17Z,170000,False,,,0,,C. Kispert Free Throw 1 of 2 (4 PTS),[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,Made,,4.0,,,,,,,,,,,,,,,,
18,PT10M55.00S,2023-02-04T23:14:31.6Z,1,REGULAR,freethrow,2 of 2,[],1630557,,,1610612764,3,5,2023-02-04T23:14:31Z,180000,False,,,0,,C. Kispert Free Throw 2 of 2 (5 PTS),[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,Made,,5.0,,,,,,,,,,,,,,,,
19,PT10M44.00S,2023-02-04T23:14:46.6Z,1,REGULAR,2pt,Jump Shot,[],203552,18.478975032851512,31.372549019607842,1610612751,3,5,2023-02-04T23:14:52Z,190000,False,93.0,121.0,1,left,MISS S. Curry 15' fadeaway Shot,[203552],1610612751.0,BKN,fadeaway,,,Curry,S. Curry,,,,,Mid-Range,8-16 Right,15.28,Missed,,,,,,,,,,,,,,,,,,
20,PT10M40.00S,2023-02-04T23:14:50.6Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612764,3,5,2023-02-04T23:14:52Z,200000,False,,,0,,D. Gafford REBOUND (Off:0 Def:1),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,Mid-Range,8-16 Right,,,19.0,,,,,,,,,,1.0,1.0,0.0,,,,,
21,PT10M30.00S,2023-02-04T23:15:00.4Z,1,REGULAR,3pt,Jump Shot,[],204001,66.5735873850197,50.98039215686274,1610612764,3,8,2023-02-04T23:15:06Z,210000,False,5.0,262.0,1,right,K. Porzingis 26' 3PT  (3 PTS),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Center,26.17,Made,,3.0,,,,,,,,,,,,,,,,
22,PT10M19.00S,2023-02-04T23:15:11.3Z,1,REGULAR,3pt,Jump Shot,[],1628410,17.0335085413929,5.147058823529411,1610612751,3,8,2023-02-04T23:15:15Z,220000,False,224.0,108.0,1,left,MISS E. Sumner 24' 3PT,[1628410],1610612751.0,BKN,,,,Sumner,E. Sumner,,,,,Above the Break 3,24+ Right Center,24.88,Missed,,,,,,,,,,,,,,,,,,
23,PT10M16.00S,2023-02-04T23:15:14.3Z,1,REGULAR,rebound,defensive,[],1628420,,,1610612764,3,8,2023-02-04T23:15:15Z,230000,False,,,0,,M. Morris REBOUND (Off:0 Def:1),[1628420],1610612764.0,WAS,,,,Morris,M. Morris,,,,,Above the Break 3,24+ Right Center,,,22.0,,,,,,,,,,1.0,1.0,0.0,,,,,
24,PT10M09.00S,2023-02-04T23:15:25.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629655,93.11760840998686,50.73529411764706,1610612764,3,10,2023-02-04T23:15:35Z,240000,False,4.0,12.0,1,right,D. Gafford cutting Layup (2 PTS) (K. Kuzma 2 AST),"[1629655, 1628398]",1610612764.0,WAS,cutting,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,1.27,Made,,2.0,K. Kuzma,1628398.0,2.0,,,,,,,,,,,,,
28,PT10M09.00S,2023-02-04T23:15:48.1Z,1,REGULAR,foul,personal,['1freethrow'],1628410,,,1610612764,3,10,2023-02-04T23:15:59Z,280000,False,,,0,,E. Sumner shooting personal FOUL (1 PF) (Gafford 1 FT),"[1628410, 1629655]",1610612751.0,BKN,shooting,,,Sumner,E. Sumner,,,,,Restricted Area,0-8 Center,,,,,,,,1628484.0,1.0,0.0,Gafford,1629655.0,,,,,,,,
30,PT10M09.00S,2023-02-04T23:16:00.8Z,1,REGULAR,freethrow,1 of 1,[],1629655,,,1610612764,3,11,2023-02-04T23:16:00Z,300000,False,,,0,,D. Gafford Free Throw 1 of 1 (3 PTS),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,Made,,3.0,,,,,,,,,,,,,,,,
31,PT09M53.00S,2023-02-04T23:16:12.3Z,1,REGULAR,3pt,Jump Shot,[],203925,27.283180026281208,78.43137254901961,1610612751,3,11,2023-02-04T23:16:17Z,310000,False,-142.0,204.0,1,left,MISS J. Harris 24' 3PT,[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,Above the Break 3,24+ Left Center,24.87,Missed,,,,,,,,,,,,,,,,,,
32,PT09M48.00S,2023-02-04T23:16:17.3Z,1,REGULAR,rebound,offensive,[],1629651,,,1610612751,3,11,2023-02-04T23:16:17Z,320000,False,,,0,,N. Claxton REBOUND (Off:1 Def:0),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Left Center,,,31.0,,,,,,,,,,1.0,0.0,1.0,,,,,
