actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-04-07T23:40:36.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-04-07T23:40:36Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-04-07T23:40:38.8Z,1,REGULAR,jumpball,recovered,[],1629661,,,1610612751,0,0,2023-04-07T23:40:38Z,40000,False,,,0,,Jump Ball N. Claxton vs. G. Bitadze: Tip to C. Johnson,"[1629661, 1629651, 1629048]",1610612751.0,BKN,startperiod,C. Johnson,1629661.0,Johnson,C. Johnson,Claxton,1629651.0,Bitadze,1629048.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2023-04-07T23:40:50.8Z,1,REGULAR,turnover,lost ball,[],1627827,,,1610612751,0,0,2023-04-07T23:40:54Z,70000,False,,,0,,D. Finney-Smith lost ball TURNOVER (1 TO),"[1627827, 1628365]",1610612751.0,BKN,,,,Finney-Smith,D. Finney-Smith,,,,,Mid-Range,16-24 Center,1.0,Fultz,1628365.0,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2023-04-07T23:40:50.8Z,1,REGULAR,steal,,[],1628365,,,1610612753,0,0,2023-04-07T23:40:53Z,80000,False,,,0,,M. Fultz STEAL (1 STL),[1628365],1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M40.00S,2023-04-07T23:40:54.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629048,6.258212877792378,47.05882352941176,1610612753,0,2,2023-04-07T23:40:59Z,90000,False,15.0,6.0,1,left,G. Bitadze running Layup (2 PTS) (M. Fultz 1 AST),"[1629048, 1628365]",1610612753.0,ORL,running,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,,,,1.6,Made,2.0,M. Fultz,1628365.0,1.0,,,,,,,,,,,
11,PT11M18.00S,2023-04-07T23:41:16.2Z,1,REGULAR,3pt,Jump Shot,[],1629661,94.43166885676742,5.147058823529411,1610612751,0,2,2023-04-07T23:41:21Z,110000,False,-224.0,0.0,1,right,MISS C. Johnson 3PT,[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Left Corner 3,24+ Left,,,,22.43,Missed,,,,,,,,,,,,,,,
12,PT11M18.00S,2023-04-07T23:41:16.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612751,0,2,2023-04-07T23:41:21Z,120000,False,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Left Corner 3,24+ Left,,,,,,,,,,11.0,,,,,,,,,,
13,PT11M18.00S,2023-04-07T23:41:21.8Z,1,REGULAR,foul,personal,[],1630532,,,1610612751,0,2,2023-04-07T23:41:31Z,130000,False,,,0,,F. Wagner loose ball personal FOUL (1 PF),"[1630532, 1629651]",1610612753.0,ORL,loose ball,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,2715.0,1.0,0.0,Claxton,1629651.0,,,,,
15,PT11M13.00S,2023-04-07T23:41:38.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628969,73.53810775295663,81.37254901960785,1610612751,0,2,2023-04-07T23:41:43Z,150000,False,157.0,196.0,1,right,MISS M. Bridges 25' 3PT,[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,,,,25.12,Missed,,,,,,,,,,,,,,,
16,PT11M10.00S,2023-04-07T23:41:41.3Z,1,REGULAR,rebound,defensive,[],1630591,,,1610612753,0,2,2023-04-07T23:41:43Z,160000,False,,,0,,J. Suggs REBOUND (Off:0 Def:1),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,15.0,,,,,,1.0,1.0,0.0,,
