actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-02-08T00:32:41.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-08T00:32:41Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2023-02-08T00:32:45.5Z,1,REGULAR,jumpball,recovered,[],1628969,,,1610612756,0,0,2023-02-08T00:32:45Z,40000,False,,,0,,Jump Ball D. Ayton vs. N. Claxton: Tip to M. Bridges,"[1628969, 1629028, 1629651]",1610612756.0,PHX,startperiod,M. Bridges,1628969.0,Bridges,M. Bridges,Ayton,1629028.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2023-02-08T00:33:06.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629028,85.89027595269383,42.15686274509804,1610612756,0,0,2023-02-08T00:33:11Z,70000,False,-39.0,80.0,1,right,MISS D. Ayton 8' turnaround Shot,[1629028],1610612756.0,PHX,turnaround,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),8-16 Center,8.92,Missed,,,,,,,,,,,,,,,,,,
8,PT11M32.00S,2023-02-08T00:33:08.5Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,0,0,2023-02-08T00:33:11Z,80000,False,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M12.00S,2023-02-08T00:33:30.8Z,1,REGULAR,2pt,Jump Shot,[],1630560,17.95335085413929,16.42156862745098,1610612751,0,0,2023-02-08T00:34:13Z,90000,False,168.0,116.0,1,left,MISS C. Thomas 20' driving floating Shot,[1630560],1610612751.0,BKN,driving floating,,,Thomas,C. Thomas,,,,,Mid-Range,16-24 Right,20.42,Missed,,,,,,,,,,,,,,,,,,
10,PT11M11.00S,2023-02-08T00:33:31.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612751,0,0,2023-02-08T00:34:01Z,100000,False,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Mid-Range,16-24 Right,,,9.0,,,,,,,,,,,,,,,,,
11,PT11M11.00S,2023-02-08T00:33:35.9Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612751,0,0,2023-02-08T00:33:52Z,110000,False,,,0,,BKN shot clock Team TURNOVER,[],1610612751.0,BKN,,,,,,,,,,Mid-Range,8-16 Right,,,,,,,202041.0,,,,,,,,,,,,,
13,PT10M57.00S,2023-02-08T00:33:58.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626164,80.3712220762155,91.42156862745098,1610612756,0,3,2023-02-08T00:34:04Z,130000,False,207.0,132.0,1,right,D. Booker 24' 3PT step back (3 PTS),[1626164],1610612756.0,PHX,step back,,,Booker,D. Booker,,,,,Above the Break 3,24+ Right Center,24.56,Made,,,,,,3.0,,,,,,,,,,,,
14,PT10M40.00S,2023-02-08T00:34:15.7Z,1,REGULAR,3pt,Jump Shot,[],1626220,33.98488830486202,34.068627450980394,1610612751,0,3,2023-02-08T00:34:20Z,140000,False,80.0,267.0,1,left,MISS R. O'Neale 27' 3PT,[1626220],1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Center,27.86,Missed,,,,,,,,,,,,,,,,,,
15,PT10M37.00S,2023-02-08T00:34:18.7Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,0,3,2023-02-08T00:34:20Z,150000,False,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,Above the Break 3,24+ Center,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M29.00S,2023-02-08T00:34:26.3Z,1,REGULAR,turnover,bad pass,[],1626164,,,1610612756,0,3,2023-02-08T00:34:30Z,160000,False,,,0,,D. Booker bad pass TURNOVER (1 TO),"[1626164, 1626220]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,Mid-Range,16-24 Left Center,,,,,,,,,1.0,O'Neale,1626220.0,,,,,,,,,
