actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-03-19T19:40:53.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-19T19:40:53Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-03-19T19:40:56.1Z,1,REGULAR,jumpball,recovered,[],203932,,,1610612743,0,0,2023-03-19T19:40:56Z,40000,False,,,0,,Jump Ball N. Jokic vs. N. Claxton: Tip to A. Gordon,"[203932, 203999, 1629651]",1610612743.0,DEN,startperiod,A. Gordon,203932.0,Gordon,A. Gordon,Jokic,203999.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2023-03-19T19:41:06.3Z,1,REGULAR,2pt,Jump Shot,[],1627750,16.245072273324574,73.77450980392157,1610612743,0,0,2023-03-19T19:41:13Z,70000,False,-119.0,100.0,1,left,MISS J. Murray 15' pullup Shot,[1627750],1610612743.0,DEN,pullup,,,Murray,J. Murray,,,,,Mid-Range,8-16 Left,15.55,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2023-03-19T19:41:11.8Z,1,REGULAR,rebound,offensive,[],203932,,,1610612743,0,0,2023-03-19T19:41:11Z,80000,False,,,0,,A. Gordon REBOUND (Off:1 Def:0),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Mid-Range,8-16 Left,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M39.00S,2023-03-19T19:41:12.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203932,8.09789750328515,45.588235294117645,1610612743,0,0,2023-03-19T19:41:17Z,90000,False,22.0,24.0,1,left,MISS A. Gordon putback Layup,[203932],1610612743.0,DEN,putback,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,3.23,Missed,,,,,,,,,,,,,,,,,,
10,PT11M39.00S,2023-03-19T19:41:12.6Z,1,REGULAR,rebound,defensive,[],1629661,,,1610612751,0,0,2023-03-19T19:41:17Z,100000,False,,,0,,C. Johnson REBOUND (Off:0 Def:1),[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M19.00S,2023-03-19T19:41:33.2Z,1,REGULAR,2pt,Jump Shot,[],1628969,90.22667542706965,25.245098039215684,1610612751,0,0,2023-03-19T19:42:03Z,110000,False,-124.0,39.0,1,right,MISS M. Bridges 12' fadeaway Shot,[1628969],1610612751.0,BKN,fadeaway,,,Bridges,M. Bridges,,,,,Mid-Range,8-16 Left,12.99,Missed,,,,,,,,,,,,,,,,,,
12,PT11M13.00S,2023-03-19T19:41:39.2Z,1,REGULAR,rebound,offensive,[],1629661,,,1610612751,0,0,2023-03-19T19:41:41Z,120000,False,,,0,,C. Johnson REBOUND (Off:1 Def:1),[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Mid-Range,8-16 Left,,,11.0,2.0,1.0,1.0,,,,,,,,,,,,,,
13,PT11M13.00S,2023-03-19T19:41:38.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629661,94.40999984741211,50.0,1610612751,2,0,2023-03-19T19:41:38Z,130000,False,0.0,0.0,1,right,C. Johnson tip Layup (2 PTS),[1629661],1610612751.0,BKN,tip,,,Johnson,C. Johnson,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,2.0,,,,,,,,,,,,,
14,PT10M54.00S,2023-03-19T19:41:58.6Z,1,REGULAR,2pt,Jump Shot,[],1627750,17.69053876478318,26.715686274509803,1610612743,2,0,2023-03-19T19:42:03Z,140000,False,116.0,114.0,1,left,MISS J. Murray 16' fadeaway Shot,[1627750],1610612743.0,DEN,fadeaway,,,Murray,J. Murray,,,,,Mid-Range,16-24 Right Center,16.28,Missed,,,,,,,,,,,,,,,,,,
