actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-01-03T00:40:49.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-03T00:40:49Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-01-03T00:40:52.0Z,1,REGULAR,jumpball,recovered,[],202681,,,1610612751,0,0,2023-01-03T00:40:52Z,40000,False,,,0,,Jump Ball N. Claxton vs. J. Poeltl: Tip to K. Irving,"[202681, 1629651, 1627751]",1610612751.0,BKN,startperiod,K. Irving,202681.0,Irving,K. Irving,Claxton,1629651.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2023-01-03T00:41:05.0Z,1,REGULAR,turnover,bad pass,[],1629651,,,1610612751,0,0,2023-01-03T00:41:09Z,70000,False,,,0,,N. Claxton bad pass TURNOVER (1 TO),"[1629651, 1631110]",1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,1.0,Sochan,1631110.0,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2023-01-03T00:41:05.0Z,1,REGULAR,steal,,[],1631110,,,1610612759,0,0,2023-01-03T00:41:07Z,80000,False,,,0,,J. Sochan STEAL (1 STL),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M38.00S,2023-01-03T00:41:10.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629640,5.206964520367937,48.03921568627451,1610612759,0,0,2023-01-03T00:44:00Z,90000,False,10.0,-4.0,1,left,MISS K. Johnson running reverse Layup - blocked,"[1629640, 1629651]",1610612759.0,SAS,running reverse,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,,,,1.04,Missed,Claxton,1629651.0,,,,,,,,,,,,,
10,PT11M38.00S,2023-01-03T00:41:10.1Z,1,REGULAR,block,,[],1629651,,,1610612759,0,0,2023-01-03T00:41:12Z,100000,False,,,0,,N. Claxton BLOCK (1 BLK),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M35.00S,2023-01-03T00:41:13.1Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,0,0,2023-01-03T00:41:15Z,110000,False,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,
12,PT11M33.00S,2023-01-03T00:41:15.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203552,81.15965834428384,92.8921568627451,1610612751,0,0,2023-01-03T00:41:39Z,120000,False,214.0,125.0,1,right,MISS S. Curry 24' running 3PT,[203552],1610612751.0,BKN,running,,,Curry,S. Curry,,,,,Above the Break 3,24+ Right Center,,,,24.81,Missed,,,,,,,,,,,,,,,
13,PT11M28.00S,2023-01-03T00:41:20.0Z,1,REGULAR,rebound,offensive,[],1629651,,,1610612751,0,0,2023-01-03T00:41:21Z,130000,False,,,0,,N. Claxton REBOUND (Off:1 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Right Center,,,,,,,,12.0,2.0,1.0,1.0,,,,,,,,,
14,PT11M28.00S,2023-01-03T00:41:19.9Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1629651,94.40999984741211,50.0,1610612751,2,0,2023-01-03T00:41:28Z,140000,False,0.0,0.0,1,right,N. Claxton tip DUNK (2 PTS),[1629651],1610612751.0,BKN,tip,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,0.0,Made,,,,,,,2.0,,,,,,,,
15,PT11M13.00S,2023-01-03T00:41:34.7Z,1,REGULAR,2pt,Jump Shot,[],1630170,27.808804204993432,52.69607843137255,1610612759,2,0,2023-01-03T00:41:56Z,150000,False,-13.0,209.0,1,left,MISS D. Vassell 20' pullup Shot,[1630170],1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,Mid-Range,16-24 Center,,,,20.93,Missed,,,,,,,,,,,,,,,
16,PT11M13.00S,2023-01-03T00:41:34.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612759,2,0,2023-01-03T00:41:56Z,160000,False,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,Mid-Range,16-24 Center,,,,,,,,15.0,,,,,,,,,,,,
18,PT11M06.00S,2023-01-03T00:42:02.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630200,19.136005256241788,34.31372549019608,1610612759,2,2,2023-01-03T00:42:07Z,180000,False,78.0,127.0,1,left,T. Jones 14' driving floating Jump Shot (2 PTS) (J. Poeltl 1 AST),"[1630200, 1627751]",1610612759.0,SAS,driving floating,,,Jones,T. Jones,,,,,In The Paint (Non-RA),8-16 Right,,,,14.96,Made,,,,,,,2.0,J. Poeltl,1627751.0,1.0,,,,,
20,PT10M49.00S,2023-01-03T00:42:18.2Z,1,REGULAR,2pt,Jump Shot,[],201142,94.03745072273325,73.2843137254902,1610612751,4,2,2023-01-03T00:47:23Z,200000,False,116.0,4.0,1,right,K. Durant 11' step back Jump Shot (2 PTS),[201142],1610612751.0,BKN,step back,,,Durant,K. Durant,,,,,Mid-Range,8-16 Right,,,,11.65,Made,,,,,,,2.0,,,,,,,,
21,PT10M38.00S,2023-01-03T00:42:29.2Z,1,REGULAR,3pt,Jump Shot,[],1629640,26.363337713534822,82.1078431372549,1610612759,4,2,2023-01-03T00:42:33Z,210000,False,-161.0,195.0,1,left,MISS K. Johnson 25' 3PT,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Left Center,,,,25.28,Missed,,,,,,,,,,,,,,,
