actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-01T23:37:25.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-01T23:37:25Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-11-01T23:37:28.5Z,1,REGULAR,jumpball,recovered,[],201942,,,1610612741,0,0,2022-11-01T23:37:28Z,40000,,,0,,Jump Ball N. Vucevic vs. N. Claxton: Tip to D. DeRozan,"[201942, 202696, 1629651]",1610612741.0,CHI,startperiod,D. DeRozan,201942.0,DeRozan,D. DeRozan,Vucevic,202696.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-11-01T23:37:39.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202696,89.17542706964521,50.73529411764706,1610612741,0,0,2022-11-01T23:37:42Z,70000,4.0,49.0,1,right,MISS N. Vucevic Jump Shot,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),0-8 Center,4.94,Missed,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2022-11-01T23:37:40.1Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612751,0,0,2022-11-01T23:37:42Z,80000,,,0,,R. O'Neale REBOUND (Off:0 Def:1),[1626220],1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M28.00S,2022-11-01T23:37:58.8Z,1,REGULAR,turnover,out-of-bounds,[],203925,,,1610612751,0,0,2022-11-01T23:38:05Z,90000,,,0,,J. Harris step out-of-bounds TURNOVER (1 TO),[203925],1610612751.0,BKN,step,,,Harris,J. Harris,,,,,Mid-Range,16-24 Right,,,,,,,202058.0,1.0,,,,,,,,,,,,
10,PT11M18.00S,2022-11-01T23:38:18.8Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203897,93.69250985545335,7.8661151960784315,1610612741,0,2,2022-11-01T23:38:26Z,100000,-211.0,7.0,1,right,Z. LaVine 21' Jump Shot (2 PTS) (A. Dosunmu 1 AST),"[203897, 1630245]",1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,Mid-Range,16-24 Left,21.08,Made,,,,,,,2.0,A. Dosunmu,1630245.0,1.0,,,,,,,,
12,PT10M54.00S,2022-11-01T23:38:42.4Z,1,REGULAR,3pt,Jump Shot,[],1626220,27.94021024967148,19.362745098039216,1610612751,0,2,2022-11-01T23:38:47Z,120000,153.0,210.0,1,left,MISS R. O'Neale 26' 3PT,[1626220],1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Right Center,26.0,Missed,,,,,,,,,,,,,,,,,,
13,PT10M51.00S,2022-11-01T23:38:45.4Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,0,2,2022-11-01T23:38:47Z,130000,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Right Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M44.00S,2022-11-01T23:38:53.0Z,1,REGULAR,3pt,Jump Shot,[],203897,69.20170827858082,72.79411764705883,1610612741,0,2,2022-11-01T23:38:56Z,140000,114.0,237.0,1,right,MISS Z. LaVine 26' pullup 3PT,[203897],1610612741.0,CHI,pullup,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Right Center,26.3,Missed,,,,,,,,,,,,,,,,,,
15,PT10M41.00S,2022-11-01T23:38:56.0Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,0,2,2022-11-01T23:38:56Z,150000,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Right Center,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
