actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-11-10T00:45:37.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-10T00:45:37Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-11-10T00:45:39.7Z,1,REGULAR,jumpball,recovered,[],201142,,,1610612751,0,0,2022-11-10T00:45:39Z,40000,False,,,0,,Jump Ball N. Claxton vs. J. Sims: Tip to K. Durant,"[201142, 1629651, 1630579]",1610612751.0,BKN,startperiod,K. Durant,201142.0,Durant,K. Durant,Claxton,1629651.0,Sims,1630579.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-11-10T00:45:54.7Z,1,REGULAR,2pt,Jump Shot,[],201142,89.30683311432325,19.852941176470587,1610612751,2,0,2022-11-10T00:45:58Z,70000,False,-151.0,48.0,1,right,K. Durant 15' Jump Shot (2 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,Mid-Range,8-16 Left,15.82,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M26.00S,2022-11-10T00:46:11.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,6.915243101182654,60.29411764705882,1610612752,2,0,2022-11-10T00:48:08Z,90000,False,-51.0,13.0,1,left,MISS J. Brunson driving floating Shot,[1628973],1610612752.0,NYK,driving floating,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),0-8 Center,5.3,Missed,,,,,,,,,,,,,,,,,,
10,PT11M23.00S,2022-11-10T00:46:14.4Z,1,REGULAR,rebound,defensive,[],1628410,,,1610612751,2,0,2022-11-10T00:46:18Z,100000,False,,,0,,E. Sumner REBOUND (Off:0 Def:1),[1628410],1610612751.0,BKN,,,,Sumner,E. Sumner,,,,,In The Paint (Non-RA),0-8 Center,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,
11,PT11M19.00S,2022-11-10T00:46:17.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628410,92.85479632063075,39.705882352941174,1610612751,2,0,2022-11-10T00:46:21Z,110000,False,-51.0,15.0,1,right,MISS E. Sumner running Layup - blocked,"[1628410, 1630579]",1610612751.0,BKN,running,,,Sumner,E. Sumner,,,,,In The Paint (Non-RA),0-8 Center,5.36,Missed,,,,,,Sims,1630579.0,,,,,,,,,,,
12,PT11M19.00S,2022-11-10T00:46:17.8Z,1,REGULAR,block,,[],1630579,,,1610612751,2,0,2022-11-10T00:46:19Z,120000,False,,,0,,J. Sims BLOCK (1 BLK),[1630579],1610612752.0,NYK,,,,Sims,J. Sims,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M16.00S,2022-11-10T00:46:20.8Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,2,0,2022-11-10T00:46:21Z,130000,False,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,In The Paint (Non-RA),0-8 Center,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,
14,PT11M13.00S,2022-11-10T00:46:24.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203944,28.86005256241787,81.61764705882352,1610612752,2,0,2022-11-10T00:51:00Z,140000,False,-158.0,219.0,1,left,MISS J. Randle 26' running pullup 3PT,[203944],1610612752.0,NYK,running pullup,,,Randle,J. Randle,,,,,Above the Break 3,24+ Left Center,26.99,Missed,,,,,,,,,,,,,,,,,,
15,PT11M09.00S,2022-11-10T00:46:28.1Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612751,2,0,2022-11-10T00:46:29Z,150000,False,,,0,,R. O'Neale REBOUND (Off:0 Def:1),[1626220],1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Left Center,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,
16,PT10M56.00S,2022-11-10T00:46:41.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629651,91.14651773981603,46.07843137254902,1610612751,4,0,2022-11-10T00:46:45Z,160000,False,-20.0,31.0,1,right,N. Claxton Hook (2 PTS) (K. Durant 1 AST),"[1629651, 201142]",1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,3.64,Made,2.0,,,,,,,K. Durant,201142.0,1.0,,,,,,,,
18,PT10M37.00S,2022-11-10T00:47:02.1Z,1,REGULAR,foul,personal,['2freethrow'],1629651,,,1610612752,4,0,2022-11-10T00:47:19Z,180000,False,,,0,,N. Claxton shooting personal FOUL (1 PF) (Barrett 2 FT),"[1629651, 1629628]",1610612751.0,BKN,shooting,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,201638.0,1.0,0.0,Barrett,1629628.0,,,
20,PT10M37.00S,2022-11-10T00:47:26.3Z,1,REGULAR,freethrow,1 of 2,[],1629628,,,1610612752,4,1,2022-11-10T00:47:26Z,200000,False,,,0,,R. Barrett Free Throw 1 of 2 (1 PTS),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
21,PT10M37.00S,2022-11-10T00:47:38.5Z,1,REGULAR,freethrow,2 of 2,[],1629628,,,1610612752,4,2,2022-11-10T00:47:38Z,210000,False,,,0,,R. Barrett Free Throw 2 of 2 (2 PTS),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
22,PT10M18.00S,2022-11-10T00:47:57.9Z,1,REGULAR,2pt,Jump Shot,[],201142,92.85479632063075,76.9607843137255,1610612751,4,2,2022-11-10T00:48:01Z,220000,False,135.0,15.0,1,right,MISS K. Durant 13' turnaround Shot,[201142],1610612751.0,BKN,turnaround,,,Durant,K. Durant,,,,,Mid-Range,8-16 Right,13.56,Missed,,,,,,,,,,,,,,,,,,
23,PT10M16.00S,2022-11-10T00:47:59.9Z,1,REGULAR,rebound,offensive,[],1629651,,,1610612751,4,2,2022-11-10T00:48:01Z,230000,False,,,0,,N. Claxton REBOUND (Off:1 Def:0),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Mid-Range,8-16 Right,,,,22.0,1.0,0.0,1.0,,,,,,,,,,,,,
24,PT10M14.00S,2022-11-10T00:48:01.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628410,69.85873850197109,18.627450980392158,1610612751,7,2,2022-11-10T00:48:05Z,240000,False,-157.0,231.0,1,right,E. Sumner 27' 3PT  (3 PTS) (N. Claxton 1 AST),"[1628410, 1629651]",1610612751.0,BKN,,,,Sumner,E. Sumner,,,,,Above the Break 3,24+ Left Center,27.91,Made,3.0,,,,,,,N. Claxton,1629651.0,1.0,,,,,,,,
26,PT10M10.00S,2022-11-10T00:48:09.2Z,1,REGULAR,foul,personal,[],1628410,,,1610612752,7,2,2022-11-10T00:48:14Z,260000,False,,,0,,E. Sumner personal FOUL (1 PF),"[1628410, 1628973]",1610612751.0,BKN,,,,Sumner,E. Sumner,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,201638.0,1.0,0.0,Brunson,1628973.0,,,
28,PT09M53.00S,2022-11-10T00:48:37.6Z,1,REGULAR,3pt,Jump Shot,[],203944,24.392247043363994,85.5392156862745,1610612752,7,2,2022-11-10T00:48:50Z,280000,False,-178.0,177.0,1,left,MISS J. Randle 25' 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Left Center,25.07,Missed,,,,,,,,,,,,,,,,,,
29,PT09M52.00S,2022-11-10T00:48:38.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612752,7,2,2022-11-10T00:48:50Z,290000,False,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,Above the Break 3,24+ Left Center,,,,28.0,,,,,,,,,,,,,,,,
30,PT09M52.00S,2022-11-10T00:48:43.6Z,1,REGULAR,foul,personal,[],203925,,,1610612752,7,2,2022-11-10T00:48:48Z,300000,False,,,0,,J. Harris loose ball personal FOUL (1 PF),"[203925, 1630579]",1610612751.0,BKN,loose ball,,,Harris,J. Harris,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,2882.0,1.0,0.0,Sims,1630579.0,,,
33,PT09M44.00S,2022-11-10T00:49:08.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",203944,11.514454664914586,44.6078431372549,1610612752,7,2,2022-11-10T00:53:37Z,320000,False,27.0,56.0,1,left,MISS J. Randle 6' pullup Shot,[203944],1610612752.0,NYK,pullup,,,Randle,J. Randle,,,,,In The Paint (Non-RA),0-8 Center,6.19,Missed,,,,,,,,,,,,,,,,,,
34,PT09M43.00S,2022-11-10T00:49:09.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612752,7,2,2022-11-10T00:49:23Z,330000,False,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,33.0,,,,,,,,,,,,,,,,
36,PT09M37.00S,2022-11-10T00:49:34.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203944,7.30946123521682,44.36274509803921,1610612752,7,4,2022-11-10T00:49:39Z,350000,False,28.0,16.0,1,left,J. Randle driving Layup (2 PTS),[203944],1610612752.0,NYK,driving,,,Randle,J. Randle,,,,,Restricted Area,0-8 Center,3.25,Made,2.0,,,,,,,,,,,,,,,,,
37,PT09M37.00S,2022-11-10T00:49:36.6Z,1,REGULAR,foul,personal,['1freethrow'],1629651,,,1610612752,7,4,2022-11-10T00:49:46Z,360000,False,,,0,,N. Claxton shooting personal FOUL (2 PF) (Randle 1 FT),"[1629651, 203944]",1610612751.0,BKN,shooting,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,2882.0,2.0,0.0,Randle,203944.0,,,
39,PT09M37.00S,2022-11-10T00:50:10.4Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],203944,,,1610612752,7,5,2022-11-10T00:50:10Z,380000,False,,,0,,J. Randle Free Throw 1 of 1 (3 PTS),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
40,PT09M21.00S,2022-11-10T00:50:27.5Z,1,REGULAR,3pt,Jump Shot,[],1628410,93.64323258869908,2.696078431372549,1610612751,10,5,2022-11-10T00:50:33Z,390000,False,-237.0,7.0,1,right,E. Sumner 3PT  (6 PTS) (K. Durant 2 AST),"[1628410, 201142]",1610612751.0,BKN,,,,Sumner,E. Sumner,,,,,Left Corner 3,24+ Left,23.66,Made,6.0,,,,,,,K. Durant,201142.0,2.0,,,,,,,,
42,PT08M59.00S,2022-11-10T00:50:49.1Z,1,REGULAR,2pt,Jump Shot,[],1628973,26.49474375821288,67.15686274509804,1610612752,10,5,2022-11-10T00:50:54Z,410000,False,-86.0,197.0,1,left,MISS J. Brunson 21' pullup Shot,[1628973],1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,Mid-Range,16-24 Left Center,21.45,Missed,,,,,,,,,,,,,,,,,,
43,PT08M58.00S,2022-11-10T00:50:53.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612751,10,5,2022-11-10T00:50:53Z,420000,False,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Mid-Range,16-24 Left Center,,,,42.0,,,,,,,,,,,,,,,,
44,PT08M58.00S,2022-11-10T00:50:54.1Z,1,REGULAR,foul,personal,[],1630579,,,1610612751,10,5,2022-11-10T00:51:04Z,430000,False,,,0,,J. Sims loose ball personal FOUL (1 PF),"[1630579, 1626220]",1610612752.0,NYK,loose ball,,,Sims,J. Sims,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,202037.0,1.0,0.0,O'Neale,1626220.0,,,
46,PT08M45.00S,2022-11-10T00:51:18.7Z,1,REGULAR,3pt,Jump Shot,[],1626220,69.99014454664915,20.588235294117645,1610612751,10,5,2022-11-10T00:51:25Z,450000,False,-147.0,230.0,1,right,MISS R. O'Neale 27' 3PT,[1626220],1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Left Center,27.27,Missed,,,,,,,,,,,,,,,,,,
47,PT08M42.00S,2022-11-10T00:51:21.7Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612752,10,5,2022-11-10T00:51:25Z,460000,False,,,0,,R. Barrett REBOUND (Off:0 Def:1),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Left Center,,,,46.0,1.0,1.0,0.0,,,,,,,,,,,,,
