actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-03-01T00:40:53.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-01T00:40:53Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-03-01T00:40:56.2Z,1,REGULAR,jumpball,recovered,[],203915,,,1610612751,0,0,2023-03-01T00:40:56Z,40000,False,,,0,,Jump Ball N. Claxton vs. B. Lopez: Tip to S. Dinwiddie,"[203915, 1629651, 201572]",1610612751.0,BKN,startperiod,S. Dinwiddie,203915.0,Dinwiddie,S. Dinwiddie,Claxton,1629651.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2023-03-01T00:41:09.8Z,1,REGULAR,foul,personal,['2freethrow'],1626192,,,1610612751,0,0,2023-03-01T00:41:23Z,70000,False,,,0,,P. Connaughton shooting personal FOUL (1 PF) (Johnson 2 FT),"[1626192, 1629661]",1610612749.0,MIL,shooting,,,Connaughton,P. Connaughton,,,,,Mid-Range,16-24 Right Center,2714.0,1.0,0.0,Johnson,1629661.0,,,,,,,,,,,,,,,
9,PT11M42.00S,2023-03-01T00:41:35.7Z,1,REGULAR,freethrow,1 of 2,[],1629661,,,1610612751,0,0,2023-03-01T00:41:35Z,90000,False,,,0,,MISS C. Johnson Free Throw 1 of 2,[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
10,PT11M42.00S,2023-03-01T00:41:35.7Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612751,0,0,2023-03-01T00:41:35Z,100000,False,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,
11,PT11M42.00S,2023-03-01T00:41:47.8Z,1,REGULAR,freethrow,2 of 2,[],1629661,,,1610612751,1,0,2023-03-01T00:41:47Z,110000,False,,,0,,C. Johnson Free Throw 2 of 2 (1 PTS),[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,,,,,,,,Made,,1.0,,,,,,,,,,,,
12,PT11M26.00S,2023-03-01T00:42:04.7Z,1,REGULAR,3pt,Jump Shot,[],1626192,71.17279894875165,23.284313725490197,1610612749,1,3,2023-03-01T00:42:11Z,120000,False,-134.0,218.0,1,right,P. Connaughton 25' 3PT  (3 PTS) (J. Holiday 1 AST),"[1626192, 201950]",1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,Above the Break 3,24+ Left Center,,,,,,Made,,3.0,25.61,J. Holiday,201950.0,1.0,,,,,,,,
14,PT11M11.00S,2023-03-01T00:42:19.8Z,1,REGULAR,3pt,Jump Shot,[],203915,31.750985545335087,56.127450980392155,1610612751,4,3,2023-03-01T00:42:23Z,140000,False,-31.0,246.0,1,left,S. Dinwiddie 24' 3PT  (3 PTS) (N. Claxton 1 AST),"[203915, 1629651]",1610612751.0,BKN,,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Center,,,,,,Made,,3.0,24.79,N. Claxton,1629651.0,1.0,,,,,,,,
16,PT10M52.00S,2023-03-01T00:42:38.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201572,94.82588699080158,57.84313725490197,1610612749,4,3,2023-03-01T00:42:44Z,160000,False,39.0,-4.0,1,right,MISS B. Lopez cutting Layup,[201572],1610612749.0,MIL,cutting,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,3.94,,,,,,,,,,,
17,PT10M50.00S,2023-03-01T00:42:40.9Z,1,REGULAR,rebound,offensive,[],203507,,,1610612749,4,3,2023-03-01T00:42:40Z,170000,False,,,0,,G. Antetokounmpo REBOUND (Off:1 Def:0),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,,,,,16.0,,,,,,1.0,0.0,1.0,,,,,
18,PT10M45.00S,2023-03-01T00:43:17.2Z,1,REGULAR,jumpball,recovered,[],1628969,,,1610612749,4,3,2023-03-01T00:43:17Z,180000,False,,,0,,Jump Ball C. Johnson vs. G. Antetokounmpo: Tip to M. Bridges,"[1628969, 1629661, 203507]",1610612751.0,BKN,heldball,M. Bridges,1628969.0,Bridges,M. Bridges,Johnson,1629661.0,Antetokounmpo,203507.0,,,,,,,,,,,,,,,,,,,,,,
