actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-11-07T01:11:18.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-07T01:11:18Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-11-07T01:11:20.8Z,1,REGULAR,jumpball,recovered,[],1631095,,,1610612745,0,0,2023-11-07T01:11:20Z,40000,False,,,0,,Jump Ball A. Sengun vs. D. Sabonis: Tip to J. Smith Jr.,"[1631095, 1630578, 1627734]",1610612745.0,HOU,startperiod,J. Smith Jr.,1631095.0,Smith Jr.,J. Smith Jr.,Sengun,1630578.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2023-11-07T01:11:35.1Z,1,REGULAR,turnover,out-of-bounds,[],1630224,,,1610612745,0,0,2023-11-07T01:11:44Z,70000,False,,,0,,J. Green lost ball out-of-bounds TURNOVER (1 TO),[1630224],1610612745.0,HOU,lost ball,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,2003.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M30.00S,2023-11-07T01:12:03.3Z,1,REGULAR,foul,personal,[],1630578,,,1610612758,0,0,2023-11-07T01:12:51Z,80000,False,,,0,,A. Sengun personal FOUL (1 PF),"[1630578, 1627734]",1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,2003.0,,1.0,0.0,Sabonis,1627734.0,,,,,,,,,,,,,,
11,PT11M14.00S,2023-11-07T01:13:04.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631099,33.85348226018397,37.99019607843137,1610612758,0,0,2023-11-07T01:13:43Z,110000,False,60.0,266.0,1,left,MISS K. Murray 27' pullup 3PT,[1631099],1610612758.0,SAC,pullup,,,Murray,K. Murray,,,,,Above the Break 3,24+ Center,,,,,,,27.24,Missed,,,,,,,,,,,,
12,PT11M11.00S,2023-11-07T01:13:07.1Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,0,0,2023-11-07T01:13:11Z,120000,False,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Center,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,
13,PT10M55.00S,2023-11-07T01:13:22.6Z,1,REGULAR,2pt,Jump Shot,[],1630578,78.79434954007884,63.725490196078425,1610612745,0,0,2023-11-07T01:13:28Z,130000,False,69.0,147.0,1,right,MISS A. Sengun 16' Jump Shot,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Mid-Range,16-24 Right Center,,,,,,,16.2,Missed,,,,,,,,,,,,
14,PT10M54.00S,2023-11-07T01:13:23.6Z,1,REGULAR,rebound,defensive,[],1631099,,,1610612758,0,0,2023-11-07T01:13:28Z,140000,False,,,0,,K. Murray REBOUND (Off:0 Def:1),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Mid-Range,16-24 Right Center,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,
15,PT10M46.00S,2023-11-07T01:13:32.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631099,9.280551905387648,51.9607843137255,1610612758,0,2,2023-11-07T01:13:36Z,150000,False,-10.0,35.0,1,left,K. Murray driving finger roll Layup (2 PTS) (K. Huerter 1 AST),"[1631099, 1628989]",1610612758.0,SAC,driving finger roll,,,Murray,K. Murray,,,,,Restricted Area,0-8 Center,,,,,,,3.61,Made,,,,,2.0,K. Huerter,1628989.0,1.0,,,,
17,PT10M30.00S,2023-11-07T01:13:47.6Z,1,REGULAR,2pt,Jump Shot,[],1631095,92.46057818659659,27.941176470588236,1610612745,2,2,2023-11-07T01:13:54Z,170000,False,-110.0,18.0,1,right,J. Smith Jr. 11' fadeaway Jump Shot (2 PTS) (A. Sengun 1 AST),"[1631095, 1630578]",1610612745.0,HOU,fadeaway,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,8-16 Left,,,,,,,11.18,Made,,,,,2.0,A. Sengun,1630578.0,1.0,,,,
