actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-02-01T01:11:14.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-01T01:11:14Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-02-01T01:11:16.5Z,1,REGULAR,jumpball,recovered,[],1630224,,,1610612745,0,0,2024-02-01T01:11:16Z,40000,False,,,0,,Jump Ball A. Sengun vs. J. Valanciunas: Tip to J. Green,"[1630224, 1630578, 202685]",1610612745.0,HOU,startperiod,J. Green,1630224.0,Green,J. Green,Sengun,1630578.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2024-02-01T01:11:30.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628415,11.514454664914586,38.72549019607843,1610612745,0,0,2024-02-01T01:11:38Z,70000,False,56.0,56.0,1,left,MISS D. Brooks 7' driving Layup - blocked,"[1628415, 202685]",1610612745.0,HOU,driving,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),0-8 Center,7.93,Missed,Valanciunas,202685.0,,,,,,,,,,,,,,,,
8,PT11M42.00S,2024-02-01T01:11:30.3Z,1,REGULAR,block,,[],202685,,,1610612745,0,0,2024-02-01T01:11:33Z,80000,False,,,0,,J. Valanciunas BLOCK (1 BLK),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M41.00S,2024-02-01T01:11:31.3Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,0,0,2024-02-01T01:11:38Z,90000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),0-8 Center,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M18.00S,2024-02-01T01:11:55.9Z,1,REGULAR,turnover,bad pass,[],202685,,,1610612740,0,0,2024-02-01T01:12:06Z,100000,False,,,0,,J. Valanciunas bad pass TURNOVER (1 TO),"[202685, 1631095]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,16-24 Right Center,,,,,,,,,1.0,Smith Jr.,1631095.0,,,,,,,,,
11,PT11M18.00S,2024-02-01T01:11:55.9Z,1,REGULAR,steal,,[],1631095,,,1610612745,0,0,2024-02-01T01:11:57Z,110000,False,,,0,,J. Smith Jr. STEAL (1 STL),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
12,PT11M14.00S,2024-02-01T01:11:59.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631095,7.703679369250986,46.32352941176471,1610612745,0,0,2024-02-01T01:12:11Z,120000,False,18.0,20.0,1,left,MISS J. Smith Jr. running Layup - blocked,"[1631095, 1627742]",1610612745.0,HOU,running,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,2.71,Missed,Ingram,1627742.0,,,,,,,,,,,,,,,,
140,PT11M14.00S,2024-02-01T01:11:59.4Z,1,REGULAR,block,,[],1627742,,,1610612745,0,0,2024-02-01T01:34:16Z,125000,False,,,0,,B. Ingram BLOCK (1 BLK),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M13.00S,2024-02-01T01:12:00.4Z,1,REGULAR,rebound,defensive,[],1630530,,,1610612740,0,0,2024-02-01T01:12:11Z,130000,False,,,0,,T. Murphy III REBOUND (Off:0 Def:1),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Restricted Area,0-8 Center,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,
14,PT10M59.00S,2024-02-01T01:12:14.7Z,1,REGULAR,3pt,Jump Shot,[],1630700,80.3712220762155,93.38235294117648,1610612740,0,3,2024-02-01T01:12:19Z,140000,False,217.0,132.0,1,right,D. Daniels 25' 3PT  (3 PTS) (T. Murphy III 1 AST),"[1630700, 1630530]",1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Right Center,25.39,Made,,,,,,,,,,3.0,T. Murphy III,1630530.0,1.0,,,,,
16,PT10M39.00S,2024-02-01T01:12:34.2Z,1,REGULAR,2pt,Jump Shot,[],1630224,7.440867279894875,16.911764705882355,1610612745,2,3,2024-02-01T01:12:40Z,160000,False,165.0,17.0,1,left,J. Green 16' step back Jump Shot (2 PTS) (A. Sengun 1 AST),"[1630224, 1630578]",1610612745.0,HOU,step back,,,Green,J. Green,,,,,Mid-Range,16-24 Right,16.63,Made,,,,,,,,,,2.0,A. Sengun,1630578.0,1.0,,,,,
18,PT10M24.00S,2024-02-01T01:12:49.1Z,1,REGULAR,turnover,bad pass,[],1630700,,,1610612740,2,3,2024-02-01T01:12:53Z,180000,False,,,0,,D. Daniels bad pass TURNOVER (1 TO),"[1630700, 1630578]",1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,1.0,Sengun,1630578.0,,,,,,,,,
19,PT10M24.00S,2024-02-01T01:12:49.1Z,1,REGULAR,steal,,[],1630578,,,1610612745,2,3,2024-02-01T01:12:51Z,190000,False,,,0,,A. Sengun STEAL (1 STL),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
20,PT10M20.00S,2024-02-01T01:12:52.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630224,8.09789750328515,49.50980392156863,1610612745,4,3,2024-02-01T01:12:58Z,200000,False,2.0,24.0,1,left,J. Green running DUNK (4 PTS) (A. Sengun 2 AST),"[1630224, 1630578]",1610612745.0,HOU,running,,,Green,J. Green,,,,,Restricted Area,0-8 Center,2.37,Made,,,,,,,,,,4.0,A. Sengun,1630578.0,2.0,,,,,
22,PT10M05.00S,2024-02-01T01:13:07.8Z,1,REGULAR,turnover,bad pass,[],203468,,,1610612740,4,3,2024-02-01T01:13:11Z,220000,False,,,0,,C. McCollum bad pass TURNOVER (1 TO),"[203468, 1630578]",1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,1.0,Sengun,1630578.0,,,,,,,,,
23,PT10M05.00S,2024-02-01T01:13:07.8Z,1,REGULAR,steal,,[],1630578,,,1610612745,4,3,2024-02-01T01:13:09Z,230000,False,,,0,,A. Sengun STEAL (2 STL),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
24,PT09M59.00S,2024-02-01T01:13:14.4Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1630224,35.29894875164258,48.77450980392157,1610612745,4,3,2024-02-01T01:13:43Z,240000,False,6.0,279.0,1,left,MISS J. Green 27' running 3PT,[1630224],1610612745.0,HOU,running,,,Green,J. Green,,,,,Above the Break 3,24+ Center,27.94,Missed,,,,,,,,,,,,,,,,,,
25,PT09M58.00S,2024-02-01T01:13:15.4Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,4,3,2024-02-01T01:13:22Z,250000,False,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Center,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,
26,PT09M50.00S,2024-02-01T01:13:23.5Z,1,REGULAR,3pt,Jump Shot,[],1630530,93.38042049934296,4.166666666666666,1610612740,4,3,2024-02-01T01:13:31Z,260000,False,-229.0,10.0,1,right,MISS T. Murphy III 3PT,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Left Corner 3,24+ Left,22.94,Missed,,,,,,,,,,,,,,,,,,
27,PT09M49.00S,2024-02-01T01:13:24.5Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,4,3,2024-02-01T01:13:31Z,270000,False,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Left Corner 3,24+ Left,,,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,
28,PT09M26.00S,2024-02-01T01:13:49.4Z,1,REGULAR,foul,personal,[],1630530,,,1610612745,4,3,2024-02-01T01:14:03Z,280000,False,,,0,,T. Murphy III personal FOUL (1 PF),"[1630530, 1630578]",1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,200834.0,1.0,0.0,Sengun,1630578.0
30,PT09M17.00S,2024-02-01T01:14:12.4Z,1,REGULAR,3pt,Jump Shot,[],1631095,27.151773981603156,17.15686274509804,1610612745,4,3,2024-02-01T01:14:18Z,300000,False,164.0,203.0,1,left,MISS J. Smith Jr. 26' 3PT,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Right Center,26.09,Missed,,,,,,,,,,,,,,,,,,
