actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-12-23T01:11:09.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-23T01:11:09Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-12-23T01:11:12.1Z,1,REGULAR,jumpball,recovered,[],1629684,,,1610612742,0,0,2023-12-23T01:11:12Z,40000,False,,,0,,Jump Ball D. Jones Jr. vs. A. Sengun: Tip to G. Williams,"[1629684, 1627884, 1630578]",1610612742.0,DAL,startperiod,G. Williams,1629684.0,Williams,G. Williams,Jones Jr.,1627884.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2023-12-23T01:11:23.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203501,14.273981603153747,48.529411764705884,1610612742,0,0,2023-12-23T01:11:34Z,70000,False,7.0,82.0,1,left,MISS T. Hardaway Jr. 8' driving floating Shot,[203501],1610612742.0,DAL,driving floating,,,Hardaway Jr.,T. Hardaway Jr.,,,,,In The Paint (Non-RA),8-16 Center,8.2,Missed,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2023-12-23T01:11:25.6Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,0,0,2023-12-23T01:11:34Z,80000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:1),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M23.00S,2023-12-23T01:11:45.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630578,93.38042049934296,49.26470588235294,1610612745,2,0,2023-12-23T01:11:52Z,90000,False,-4.0,10.0,1,right,A. Sengun driving Layup (2 PTS),[1630578],1610612745.0,HOU,driving,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,1.04,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M10.00S,2023-12-23T01:11:58.3Z,1,REGULAR,3pt,Jump Shot,[],202693,34.90473061760841,52.450980392156865,1610612742,2,3,2023-12-23T01:12:05Z,100000,False,-12.0,276.0,1,left,M. Morris 27' 3PT  (3 PTS) (J. Hardy 1 AST),"[202693, 1630702]",1610612742.0,DAL,,,,Morris,M. Morris,,,,,Above the Break 3,24+ Center,27.59,Made,,,,,3.0,J. Hardy,1630702.0,1.0,,,,,,,,,,
12,PT10M49.00S,2023-12-23T01:12:21.1Z,1,REGULAR,violation,kicked ball,[],202693,,,1610612745,2,3,2023-12-23T01:12:31Z,120000,False,,,0,,M. Morris kicked ball VIOLATION,[202693],1610612742.0,DAL,,,,Morris,M. Morris,,,,,,,,,,,,,,,,,202026.0,,,,,,,,,
13,PT10M40.00S,2023-12-23T01:12:45.1Z,1,REGULAR,3pt,Jump Shot,[],1627832,63.9454664914586,25.49019607843137,1610612745,2,3,2023-12-23T01:12:58Z,130000,False,-123.0,286.0,1,right,MISS F. VanVleet 31' 3PT,[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Left Center,31.15,Missed,,,,,,,,,,,,,,,,,,
14,PT10M39.00S,2023-12-23T01:12:46.1Z,1,REGULAR,rebound,defensive,[],203501,,,1610612742,2,3,2023-12-23T01:12:58Z,140000,False,,,0,,T. Hardaway Jr. REBOUND (Off:0 Def:1),[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Left Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT10M30.00S,2023-12-23T01:12:55.5Z,1,REGULAR,3pt,Jump Shot,[],1629684,27.283180026281208,12.990196078431374,1610612742,2,3,2023-12-23T01:13:04Z,150000,False,185.0,204.0,1,left,MISS G. Williams 27' 3PT,[1629684],1610612742.0,DAL,,,,Williams,G. Williams,,,,,Above the Break 3,24+ Right Center,27.54,Missed,,,,,,,,,,,,,,,,,,
16,PT10M28.00S,2023-12-23T01:12:57.5Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,2,3,2023-12-23T01:13:04Z,160000,False,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Right Center,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT10M22.00S,2023-12-23T01:13:05.6Z,1,REGULAR,turnover,out-of-bounds,[],1630224,,,1610612745,2,3,2023-12-23T01:13:14Z,170000,False,,,0,,J. Green lost ball out-of-bounds TURNOVER (1 TO),[1630224],1610612745.0,HOU,lost ball,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,1627961.0,1.0,,,,,,,,
18,PT10M06.00S,2023-12-23T01:13:26.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203501,32.14520367936925,36.51960784313725,1610612742,2,3,2023-12-23T01:13:37Z,180000,False,67.0,250.0,1,left,MISS T. Hardaway Jr. 25' pullup 3PT,[203501],1610612742.0,DAL,pullup,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Center,25.86,Missed,,,,,,,,,,,,,,,,,,
19,PT10M05.00S,2023-12-23T01:13:27.9Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,2,3,2023-12-23T01:13:37Z,190000,False,,,0,,A. Sengun REBOUND (Off:0 Def:2),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Center,,,18.0,2.0,2.0,0.0,,,,,,,,,,,,,,
20,PT09M59.00S,2023-12-23T01:13:34.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628415,76.03482260183968,89.2156862745098,1610612745,5,3,2023-12-23T01:14:14Z,200000,False,196.0,173.0,1,right,D. Brooks 26' 3PT running (3 PTS) (J. Green 1 AST),"[1628415, 1630224]",1610612745.0,HOU,running,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Right Center,26.14,Made,,,,,3.0,J. Green,1630224.0,1.0,,,,,,,,,,
22,PT09M40.00S,2023-12-23T01:13:54.2Z,1,REGULAR,foul,personal,[],1627832,,,1610612742,5,3,2023-12-23T01:14:01Z,220000,False,,,0,,F. VanVleet personal FOUL (1 PF),"[1627832, 203501]",1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,1199.0,,1.0,0.0,Hardaway Jr.,203501.0,,,,
24,PT09M29.00S,2023-12-23T01:14:21.4Z,1,REGULAR,3pt,Jump Shot,[],202693,33.590670170827856,50.49019607843137,1610612742,5,3,2023-12-23T01:14:31Z,240000,False,-2.0,263.0,1,left,MISS M. Morris 26' step back 3PT,[202693],1610612742.0,DAL,step back,,,Morris,M. Morris,,,,,Above the Break 3,24+ Center,26.33,Missed,,,,,,,,,,,,,,,,,,
25,PT09M27.00S,2023-12-23T01:14:23.4Z,1,REGULAR,rebound,offensive,[],1627884,,,1610612742,5,3,2023-12-23T01:14:31Z,250000,False,,,0,,D. Jones Jr. REBOUND (Off:1 Def:0),[1627884],1610612742.0,DAL,,,,Jones Jr.,D. Jones Jr.,,,,,Above the Break 3,24+ Center,,,24.0,1.0,0.0,1.0,,,,,,,,,,,,,,
