actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-03-07T00:43:57.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-07T00:43:57Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-03-07T00:43:59.3Z,1,REGULAR,jumpball,recovered,[],1631095,,,1610612745,0,0,2024-03-07T00:43:59Z,40000,False,,,0,,Jump Ball A. Sengun vs. I. Zubac: Tip to J. Smith Jr.,"[1631095, 1630578, 1627826]",1610612745.0,HOU,startperiod,J. Smith Jr.,1631095.0,Smith Jr.,J. Smith Jr.,Sengun,1630578.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2024-03-07T00:44:14.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,5.206964520367937,46.32352941176471,1610612745,2,0,2024-03-07T00:44:27Z,70000,False,18.0,-4.0,1,left,J. Green driving finger roll Layup (2 PTS),[1630224],1610612745.0,HOU,driving finger roll,,,Green,J. Green,,,,,Restricted Area,0-8 Center,1.87,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M22.00S,2024-03-07T00:44:34.4Z,1,REGULAR,turnover,bad pass,[],201935,,,1610612746,2,0,2024-03-07T00:44:38Z,80000,False,,,0,,J. Harden bad pass TURNOVER (1 TO),"[201935, 1630578]",1610612746.0,LAC,,,,Harden,J. Harden,,,,,Mid-Range,16-24 Left Center,,,,1.0,Sengun,1630578.0,,,,,,,,,,,,,,
9,PT11M22.00S,2024-03-07T00:44:34.4Z,1,REGULAR,steal,,[],1630578,,,1610612745,2,0,2024-03-07T00:44:36Z,90000,False,,,0,,A. Sengun STEAL (1 STL),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
10,PT11M13.00S,2024-03-07T00:44:43.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630224,12.697109067017081,15.686274509803921,1610612745,2,0,2024-03-07T00:44:48Z,100000,False,172.0,67.0,1,left,MISS J. Green 18' turnaround fadeaway Shot,[1630224],1610612745.0,HOU,turnaround fadeaway,,,Green,J. Green,,,,,Mid-Range,16-24 Right,18.42,Missed,,,,,,,,,,,,,,,,,,
11,PT11M10.00S,2024-03-07T00:44:46.0Z,1,REGULAR,rebound,defensive,[],202695,,,1610612746,2,0,2024-03-07T00:44:48Z,110000,False,,,0,,K. Leonard REBOUND (Off:0 Def:1),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Mid-Range,16-24 Right,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT10M56.00S,2024-03-07T00:44:59.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,93.51182654402102,40.19607843137255,1610612746,2,0,2024-03-07T00:45:05Z,120000,False,-49.0,8.0,1,right,MISS I. Zubac turnaround Hook,[1627826],1610612746.0,LAC,turnaround,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,4.97,Missed,,,,,,,,,,,,,,,,,,
13,PT10M55.00S,2024-03-07T00:45:00.6Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,2,0,2024-03-07T00:45:05Z,130000,False,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,
14,PT10M49.00S,2024-03-07T00:45:06.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631095,5.732588699080158,48.03921568627451,1610612745,2,0,2024-03-07T00:45:12Z,140000,False,10.0,1.0,1,left,MISS J. Smith Jr. running Layup,[1631095],1610612745.0,HOU,running,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,0.99,Missed,,,,,,,,,,,,,,,,,,
15,PT10M48.00S,2024-03-07T00:45:08.4Z,1,REGULAR,rebound,offensive,[],1627832,,,1610612745,2,0,2024-03-07T00:45:08Z,150000,False,,,0,,F. VanVleet REBOUND (Off:1 Def:0),[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Restricted Area,0-8 Center,,,,,,,14.0,1.0,0.0,1.0,,,,,,,,,,
