actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-03-06T01:11:09.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-06T01:11:09Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-03-06T01:11:11.5Z,1,REGULAR,jumpball,recovered,[],1630577,,,1610612759,0,0,2024-03-06T01:11:11Z,40000,False,,,0,,Jump Ball V. Wembanyama vs. A. Sengun: Tip to J. Champagnie,"[1630577, 1641705, 1630578]",1610612759.0,SAS,startperiod,J. Champagnie,1630577.0,Champagnie,J. Champagnie,Wembanyama,1641705.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2024-03-06T01:11:32.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641705,91.80354796320631,36.76470588235294,1610612759,0,2,2024-03-06T01:11:44Z,70000,False,-66.0,25.0,1,right,V. Wembanyama 7' turnaround fadeaway bank Jump Shot (2 PTS) (T. Jones 1 AST),"[1641705, 1630200]",1610612759.0,SAS,turnaround fadeaway bank,,,Wembanyama,V. Wembanyama,,,,,In The Paint (Non-RA),0-8 Center,7.06,Made,2.0,T. Jones,1630200.0,1.0,,,,,,,,,,,,,,
9,PT11M15.00S,2024-03-06T01:11:52.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630578,8.360709592641262,51.71568627450981,1610612745,0,2,2024-03-06T01:12:01Z,90000,False,-9.0,26.0,1,left,MISS A. Sengun Hook - blocked,"[1630578, 1641705]",1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,2.75,Missed,,,,,Wembanyama,1641705.0,,,,,,,,,,,,
10,PT11M15.00S,2024-03-06T01:11:52.8Z,1,REGULAR,block,,[],1641705,,,1610612745,0,2,2024-03-06T01:11:56Z,100000,False,,,0,,V. Wembanyama BLOCK (1 BLK),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M11.00S,2024-03-06T01:11:56.8Z,1,REGULAR,rebound,defensive,[],1641705,,,1610612759,0,2,2024-03-06T01:12:01Z,110000,False,,,0,,V. Wembanyama REBOUND (Off:0 Def:1),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,
12,PT11M08.00S,2024-03-06T01:12:00.8Z,1,REGULAR,3pt,Jump Shot,[],1641705,67.49342969776609,64.2156862745098,1610612759,0,5,2024-03-06T01:18:05Z,120000,False,71.0,253.0,1,right,V. Wembanyama 26' 3PT step back (5 PTS),[1641705],1610612759.0,SAS,step back,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Center,26.29,Made,5.0,,,,,,,,,,,,,,,,,
13,PT10M46.00S,2024-03-06T01:12:21.5Z,1,REGULAR,3pt,Jump Shot,[],1630224,34.90473061760841,49.50980392156863,1610612745,0,5,2024-03-06T01:12:28Z,130000,False,2.0,276.0,1,left,MISS J. Green 27' 3PT,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Center,27.56,Missed,,,,,,,,,,,,,,,,,,
14,PT10M43.00S,2024-03-06T01:12:24.5Z,1,REGULAR,rebound,defensive,[],1630577,,,1610612759,0,5,2024-03-06T01:12:28Z,140000,False,,,0,,J. Champagnie REBOUND (Off:0 Def:1),[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Center,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,
15,PT10M34.00S,2024-03-06T01:12:36.7Z,1,REGULAR,turnover,traveling,[],1630577,,,1610612759,0,5,2024-03-06T01:12:42Z,150000,False,,,0,,J. Champagnie traveling TURNOVER (1 TO),[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,201639.0,1.0,,,,,,
16,PT10M22.00S,2024-03-06T01:12:59.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627832,32.14520367936925,32.35294117647059,1610612745,3,5,2024-03-06T01:13:11Z,160000,False,88.0,250.0,1,left,F. VanVleet 26' 3PT pullup (3 PTS) (A. Sengun 1 AST),"[1627832, 1630578]",1610612745.0,HOU,pullup,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Right Center,26.48,Made,3.0,A. Sengun,1630578.0,1.0,,,,,,,,,,,,,,
18,PT10M08.00S,2024-03-06T01:13:13.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630200,92.59198423127464,41.42156862745098,1610612759,3,7,2024-03-06T01:13:19Z,180000,False,-43.0,17.0,1,right,T. Jones driving Layup (2 PTS),[1630200],1610612759.0,SAS,driving,,,Jones,T. Jones,,,,,In The Paint (Non-RA),0-8 Center,4.62,Made,2.0,,,,,,,,,,,,,,,,,
19,PT09M58.00S,2024-03-06T01:13:22.9Z,1,REGULAR,3pt,Jump Shot,[],1630578,32.53942181340342,32.1078431372549,1610612745,3,7,2024-03-06T01:13:29Z,190000,False,89.0,253.0,1,left,MISS A. Sengun 26' 3PT,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Right Center,26.87,Missed,,,,,,,,,,,,,,,,,,
20,PT09M55.00S,2024-03-06T01:13:25.9Z,1,REGULAR,rebound,defensive,[],1641705,,,1610612759,3,7,2024-03-06T01:13:29Z,200000,False,,,0,,V. Wembanyama REBOUND (Off:0 Def:2),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Right Center,,,,,,,,,19.0,2.0,2.0,0.0,,,,,,,,
21,PT09M48.00S,2024-03-06T01:13:33.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631110,92.9862023653088,50.73529411764706,1610612759,3,9,2024-03-06T01:14:48Z,210000,False,4.0,13.0,1,right,J. Sochan DUNK (2 PTS) (D. Vassell 1 AST),"[1631110, 1630170]",1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Restricted Area,0-8 Center,1.39,Made,2.0,D. Vassell,1630170.0,1.0,,,,,,,,,,,,,,
23,PT09M38.00S,2024-03-06T01:13:43.0Z,1,REGULAR,3pt,Jump Shot,[],1628415,24.655059132720105,86.51960784313727,1610612745,3,9,2024-03-06T01:13:49Z,230000,False,-183.0,179.0,1,left,MISS D. Brooks 25' 3PT,[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Left Center,25.59,Missed,,,,,,,,,,,,,,,,,,
24,PT09M38.00S,2024-03-06T01:13:43.0Z,1,REGULAR,rebound,defensive,[],1631110,,,1610612759,3,9,2024-03-06T01:13:49Z,240000,False,,,0,,J. Sochan REBOUND (Off:0 Def:1),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Above the Break 3,24+ Left Center,,,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,
25,PT09M20.00S,2024-03-06T01:14:01.2Z,1,REGULAR,3pt,Jump Shot,[],1630577,88.64980289093299,95.09803921568627,1610612759,3,9,2024-03-06T01:14:07Z,250000,False,225.0,54.0,1,right,MISS J. Champagnie 3PT,[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Right Corner 3,24+ Right,23.19,Missed,,,,,,,,,,,,,,,,,,
26,PT09M17.00S,2024-03-06T01:14:04.2Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612745,3,9,2024-03-06T01:14:07Z,260000,False,,,0,,F. VanVleet REBOUND (Off:0 Def:1),[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Right Corner 3,24+ Right,,,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,
27,PT09M09.00S,2024-03-06T01:14:12.6Z,1,REGULAR,3pt,Jump Shot,[],1631095,27.414586070959263,80.14705882352942,1610612745,3,9,2024-03-06T01:14:18Z,270000,False,-151.0,205.0,1,left,MISS J. Smith Jr. 25' 3PT,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Left Center,25.46,Missed,,,,,,,,,,,,,,,,,,
28,PT09M06.00S,2024-03-06T01:14:15.6Z,1,REGULAR,rebound,defensive,[],1630170,,,1610612759,3,9,2024-03-06T01:14:18Z,280000,False,,,0,,D. Vassell REBOUND (Off:0 Def:1),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Left Center,,,,,,,,,27.0,1.0,1.0,0.0,,,,,,,,
29,PT08M54.00S,2024-03-06T01:14:28.5Z,1,REGULAR,3pt,Jump Shot,[],1631110,79.58278580814718,7.107843137254902,1610612759,3,9,2024-03-06T01:14:44Z,290000,False,-214.0,139.0,1,right,MISS J. Sochan 25' 3PT,[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Above the Break 3,24+ Left Center,25.58,Missed,,,,,,,,,,,,,,,,,,
30,PT08M52.00S,2024-03-06T01:14:30.5Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,3,9,2024-03-06T01:14:44Z,300000,False,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Left Center,,,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,
31,PT08M41.00S,2024-03-06T01:14:40.4Z,1,REGULAR,3pt,Jump Shot,[],1627832,28.728646517739815,77.20588235294117,1610612745,6,9,2024-03-06T01:14:48Z,310000,False,-136.0,218.0,1,left,F. VanVleet 25' 3PT pullup (6 PTS) (A. Sengun 2 AST),"[1627832, 1630578]",1610612745.0,HOU,pullup,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Left Center,25.65,Made,6.0,A. Sengun,1630578.0,2.0,,,,,,,,,,,,,,
33,PT08M13.00S,2024-03-06T01:15:09.0Z,1,REGULAR,turnover,lost ball,[],1641705,,,1610612759,6,9,2024-03-06T01:15:13Z,330000,False,,,0,,V. Wembanyama lost ball TURNOVER (1 TO),"[1641705, 1628415]",1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,1.0,Brooks,1628415.0,,,,
34,PT08M13.00S,2024-03-06T01:15:09.0Z,1,REGULAR,steal,,[],1628415,,,1610612745,6,9,2024-03-06T01:15:10Z,340000,False,,,0,,D. Brooks STEAL (1 STL),[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
35,PT08M04.00S,2024-03-06T01:15:17.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630578,6.389618922470433,54.166666666666664,1610612745,8,9,2024-03-06T01:15:23Z,350000,False,-21.0,8.0,1,left,A. Sengun driving Layup (2 PTS),[1630578],1610612745.0,HOU,driving,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,2.21,Made,2.0,,,,,,,,,,,,,,,,,
36,PT08M03.00S,2024-03-06T01:15:22.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,8,9,2024-03-06T01:15:22Z,360000,False,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PT07M40.00S,2024-03-06T01:18:35.5Z,1,REGULAR,3pt,Jump Shot,[],1630200,95.87713534822602,94.85294117647058,1610612759,8,9,2024-03-06T01:18:41Z,370000,False,224.0,-14.0,1,right,MISS T. Jones 3PT,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,Right Corner 3,24+ Right,22.47,Missed,,,,,,,,,,,,,,,,,,
38,PT07M37.00S,2024-03-06T01:18:38.5Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,8,9,2024-03-06T01:18:41Z,380000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:1),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Right Corner 3,24+ Right,,,,,,,,,37.0,1.0,1.0,0.0,,,,,,,,
39,PT07M35.00S,2024-03-06T01:18:41.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627832,21.76412614980289,5.637254901960785,1610612745,8,9,2024-03-06T01:20:40Z,390000,False,222.0,152.0,1,left,MISS F. VanVleet 26' running 3PT,[1627832],1610612745.0,HOU,running,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Right Center,26.89,Missed,,,,,,,,,,,,,,,,,,
